Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-22	3.693	299.693	0.0	2.0
2020-06-23	3.659	303.352	0.0	2.0
2020-06-24	3.612	306.964	0.0	2.0
2020-06-25	3.557	310.521	0.0	2.0
2020-06-26	3.489	314.01	0.0	2.0
2020-06-27	3.406	317.416	0.0	2.0
2020-06-28	3.318	320.734	0.0	2.0
2020-06-29	3.229	323.963	0.0	2.0
2020-06-30	3.141	327.104	0.0	2.0
2020-07-01	3.06	330.164	0.0	2.0
2020-07-02	2.986	333.15	0.0	2.0
2020-07-03	2.91	336.06	0.0	2.0
2020-07-04	2.828	338.888	0.0	2.0
2020-07-05	2.738	341.626	0.0	2.0
2020-07-06	2.641	344.267	0.0	2.0
2020-07-07	2.538	346.805	0.0	2.0
2020-07-08	2.435	349.24	0.0	2.0
2020-07-09	2.332	351.572	0.0	2.0
2020-07-10	2.229	353.801	0.0	2.0
2020-07-11	2.129	355.93	0.0	2.0
2020-07-12	2.032	357.962	0.0	2.0
2020-07-13	1.936	359.898	0.0	2.0
2020-07-14	1.843	361.741	0.0	2.0
2020-07-15	1.752	363.493	0.0	2.0
2020-07-16	1.664	365.157	0.0	2.0
2020-07-17	1.579	366.736	0.0	2.0
2020-07-18	1.497	368.233	0.0	2.0
2020-07-19	1.42	369.653	0.0	2.0
2020-07-20	1.346	370.999	0.0	2.0
2020-07-21	1.275	372.274	0.0	2.0
2020-07-22	1.206	373.48	0.0	2.0
2020-07-23	1.139	374.619	0.0	2.0
2020-07-24	1.074	375.693	0.0	2.0
2020-07-25	1.009	376.702	0.0	2.0
2020-07-26	0.945	377.647	0.0	2.0
2020-07-27	0.88	378.527	0.0	2.0
2020-07-28	0.816	379.343	0.0	2.0
2020-07-29	0.757	380.1	0.0	2.0
2020-07-30	0.705	380.805	0.0	2.0
2020-07-31	0.66	381.465	0.0	2.0
2020-08-01	0.621	382.086	0.0	2.0
2020-08-02	0.587	382.673	0.0	2.0
2020-08-03	0.556	383.229	0.0	2.0
2020-08-04	0.524	383.753	0.0	2.0
2020-08-05	0.493	384.246	0.0	2.0
2020-08-06	0.462	384.708	0.0	2.0
2020-08-07	0.431	385.139	0.0	2.0
2020-08-08	0.401	385.54	0.0	2.0
2020-08-09	0.373	385.913	0.0	2.0
2020-08-10	0.348	386.261	0.0	2.0
2020-08-11	0.325	386.586	0.0	2.0
2020-08-12	0.305	386.891	0.0	2.0
2020-08-13	0.287	387.178	0.0	2.0
2020-08-14	0.269	387.447	0.0	2.0
2020-08-15	0.251	387.698	0.0	2.0
2020-08-16	0.233	387.931	0.0	2.0
2020-08-17	0.214	388.145	0.0	2.0
2020-08-18	0.196	388.341	0.0	2.0
2020-08-19	0.178	388.519	0.0	2.0
2020-08-20	0.161	388.68	0.0	2.0
2020-08-21	0.144	388.824	0.0	2.0
2020-08-22	0.129	388.953	0.0	2.0
2020-08-23	0.115	389.068	0.0	2.0
2020-08-24	0.103	389.171	0.0	2.0
2020-08-25	0.091	389.262	0.0	2.0
2020-08-26	0.079	389.341	0.0	2.0
2020-08-27	0.067	389.408	0.0	2.0
2020-08-28	0.055	389.463	0.0	2.0
2020-08-29	0.043	389.506	0.0	2.0
2020-08-30	0.031	389.537	0.0	2.0
2020-08-31	0.02	389.557	0.0	2.0
2020-09-01	0.012	389.569	0.0	2.0
2020-09-02	0.008	389.577	0.0	2.0
2020-09-03	0.005	389.582	0.0	2.0
2020-09-04	0.004	389.586	0.0	2.0
2020-09-05	0.003	389.589	0.0	2.0
2020-09-06	0.002	389.591	0.0	2.0
2020-09-07	0.002	389.593	0.0	2.0
2020-09-08	0.001	389.594	0.0	2.0
2020-09-09	0.001	389.595	0.0	2.0
2020-09-10	0.001	389.596	0.0	2.0
