Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-05	9.333	568.333	0.307	22.307
2020-06-06	9.248	577.581	0.333	22.64
2020-06-07	9.127	586.708	0.362	23.002
2020-06-08	8.99	595.698	0.391	23.393
2020-06-09	8.816	604.514	0.42	23.813
2020-06-10	8.608	613.122	0.443	24.256
2020-06-11	8.384	621.506	0.462	24.718
2020-06-12	8.16	629.666	0.473	25.191
2020-06-13	7.938	637.604	0.479	25.67
2020-06-14	7.733	645.337	0.48	26.15
2020-06-15	7.545	652.882	0.48	26.63
2020-06-16	7.354	660.236	0.475	27.105
2020-06-17	7.145	667.381	0.469	27.574
2020-06-18	6.919	674.3	0.462	28.036
2020-06-19	6.675	680.975	0.453	28.489
2020-06-20	6.414	687.389	0.442	28.931
2020-06-21	6.153	693.542	0.431	29.362
2020-06-22	5.892	699.434	0.419	29.781
2020-06-23	5.634	705.068	0.408	30.189
2020-06-24	5.381	710.449	0.397	30.586
2020-06-25	5.135	715.584	0.388	30.974
2020-06-26	4.893	720.477	0.378	31.352
2020-06-27	4.657	725.134	0.367	31.719
2020-06-28	4.427	729.561	0.356	32.075
2020-06-29	4.205	733.766	0.343	32.418
2020-06-30	3.99	737.756	0.33	32.748
2020-07-01	3.784	741.54	0.316	33.064
2020-07-02	3.588	745.128	0.303	33.367
2020-07-03	3.401	748.529	0.289	33.656
2020-07-04	3.221	751.75	0.276	33.932
2020-07-05	3.048	754.798	0.264	34.196
2020-07-06	2.88	757.678	0.251	34.447
2020-07-07	2.714	760.392	0.239	34.686
2020-07-08	2.551	762.943	0.227	34.913
2020-07-09	2.387	765.33	0.216	35.129
2020-07-10	2.223	767.553	0.205	35.334
2020-07-11	2.062	769.615	0.194	35.528
2020-07-12	1.913	771.528	0.184	35.712
2020-07-13	1.781	773.309	0.175	35.887
2020-07-14	1.667	774.976	0.166	36.053
2020-07-15	1.568	776.544	0.157	36.21
2020-07-16	1.483	778.027	0.148	36.358
2020-07-17	1.404	779.431	0.139	36.497
2020-07-18	1.325	780.756	0.131	36.628
2020-07-19	1.247	782.003	0.123	36.751
2020-07-20	1.168	783.171	0.114	36.865
2020-07-21	1.09	784.261	0.106	36.971
2020-07-22	1.012	785.273	0.098	37.069
2020-07-23	0.942	786.215	0.092	37.161
2020-07-24	0.879	787.094	0.086	37.247
2020-07-25	0.822	787.916	0.081	37.328
2020-07-26	0.771	788.687	0.076	37.404
2020-07-27	0.725	789.412	0.072	37.476
2020-07-28	0.679	790.091	0.068	37.544
2020-07-29	0.633	790.724	0.064	37.608
2020-07-30	0.588	791.312	0.06	37.668
2020-07-31	0.542	791.854	0.056	37.724
2020-08-01	0.496	792.35	0.052	37.776
2020-08-02	0.45	792.8	0.048	37.824
2020-08-03	0.406	793.206	0.045	37.869
2020-08-04	0.364	793.57	0.042	37.911
2020-08-05	0.326	793.896	0.04	37.951
2020-08-06	0.291	794.187	0.037	37.988
2020-08-07	0.259	794.446	0.035	38.023
2020-08-08	0.229	794.675	0.033	38.056
2020-08-09	0.2	794.875	0.03	38.086
2020-08-10	0.17	795.045	0.028	38.114
2020-08-11	0.14	795.185	0.025	38.139
2020-08-12	0.109	795.294	0.023	38.162
2020-08-13	0.078	795.372	0.021	38.183
2020-08-14	0.05	795.422	0.019	38.202
2020-08-15	0.031	795.453	0.017	38.219
2020-08-16	0.019	795.472	0.015	38.234
2020-08-17	0.013	795.485	0.013	38.247
2020-08-18	0.009	795.494	0.012	38.259
2020-08-19	0.007	795.501	0.01	38.269
2020-08-20	0.006	795.507	0.009	38.278
2020-08-21	0.004	795.511	0.007	38.285
2020-08-22	0.004	795.515	0.006	38.291
2020-08-23	0.003	795.518	0.004	38.295
2020-08-24	0.002	795.52	0.003	38.298
2020-08-25	0.0	795.52	0.002	38.3
2020-08-26	0.0	795.52	0.001	38.301
2020-08-27	0.0	795.52	0.001	38.302
2020-08-28	0.0	795.52	0.0	38.302
2020-08-29	0.0	795.52	0.0	38.302
2020-08-30	0.0	795.52	0.0	38.302
2020-08-31	0.0	795.52	0.0	38.302
2020-09-01	0.0	795.52	0.0	38.302
2020-09-02	0.0	795.52	0.0	38.302
