Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-15	0.0	6.0	4.467	4.467
2020-04-16	0.0	6.0	4.426	8.893
2020-04-17	0.0	6.0	4.368	13.261
2020-04-18	0.0	6.0	4.302	17.563
2020-04-19	0.0	6.0	4.219	21.782
2020-04-20	0.0	6.0	4.12	25.902
2020-04-21	0.0	6.0	4.012	29.914
2020-04-22	0.0	6.0	3.905	33.819
2020-04-23	0.0	6.0	3.799	37.618
2020-04-24	0.0	6.0	3.701	41.319
2020-04-25	0.0	6.0	3.611	44.93
2020-04-26	0.0	6.0	3.519	48.449
2020-04-27	0.0	6.0	3.42	51.869
2020-04-28	0.0	6.0	3.311	55.18
2020-04-29	0.0	6.0	3.194	58.374
2020-04-30	0.0	6.0	3.069	61.443
2020-05-01	0.0	6.0	2.945	64.388
2020-05-02	0.0	6.0	2.82	67.208
2020-05-03	0.0	6.0	2.696	69.904
2020-05-04	0.0	6.0	2.575	72.479
2020-05-05	0.0	6.0	2.458	74.937
2020-05-06	0.0	6.0	2.342	77.279
2020-05-07	0.0	6.0	2.229	79.508
2020-05-08	0.0	6.0	2.119	81.627
2020-05-09	0.0	6.0	2.013	83.64
2020-05-10	0.0	6.0	1.909	85.549
2020-05-11	0.0	6.0	1.811	87.36
2020-05-12	0.0	6.0	1.717	89.077
2020-05-13	0.0	6.0	1.628	90.705
2020-05-14	0.0	6.0	1.542	92.247
2020-05-15	0.0	6.0	1.459	93.706
2020-05-16	0.0	6.0	1.378	95.084
2020-05-17	0.0	6.0	1.299	96.383
2020-05-18	0.0	6.0	1.221	97.604
2020-05-19	0.0	6.0	1.142	98.746
2020-05-20	0.0	6.0	1.064	99.81
2020-05-21	0.0	6.0	0.987	100.797
2020-05-22	0.0	6.0	0.915	101.712
2020-05-23	0.0	6.0	0.852	102.564
2020-05-24	0.0	6.0	0.798	103.362
2020-05-25	0.0	6.0	0.751	104.113
2020-05-26	0.0	6.0	0.71	104.823
2020-05-27	0.0	6.0	0.672	105.495
2020-05-28	0.0	6.0	0.634	106.129
2020-05-29	0.0	6.0	0.597	106.726
2020-05-30	0.0	6.0	0.559	107.285
2020-05-31	0.0	6.0	0.522	107.807
2020-06-01	0.0	6.0	0.485	108.292
2020-06-02	0.0	6.0	0.451	108.743
2020-06-03	0.0	6.0	0.421	109.164
2020-06-04	0.0	6.0	0.393	109.557
2020-06-05	0.0	6.0	0.369	109.926
2020-06-06	0.0	6.0	0.347	110.273
2020-06-07	0.0	6.0	0.325	110.598
2020-06-08	0.0	6.0	0.303	110.901
2020-06-09	0.0	6.0	0.281	111.182
2020-06-10	0.0	6.0	0.259	111.441
2020-06-11	0.0	6.0	0.237	111.678
2020-06-12	0.0	6.0	0.216	111.894
2020-06-13	0.0	6.0	0.194	112.088
2020-06-14	0.0	6.0	0.174	112.262
2020-06-15	0.0	6.0	0.156	112.418
2020-06-16	0.0	6.0	0.139	112.557
2020-06-17	0.0	6.0	0.124	112.681
2020-06-18	0.0	6.0	0.11	112.791
2020-06-19	0.0	6.0	0.096	112.887
2020-06-20	0.0	6.0	0.081	112.968
2020-06-21	0.0	6.0	0.067	113.035
2020-06-22	0.0	6.0	0.052	113.087
2020-06-23	0.0	6.0	0.037	113.124
2020-06-24	0.0	6.0	0.024	113.148
2020-06-25	0.0	6.0	0.015	113.163
2020-06-26	0.0	6.0	0.009	113.172
2020-06-27	0.0	6.0	0.006	113.178
2020-06-28	0.0	6.0	0.004	113.182
2020-06-29	0.0	6.0	0.003	113.185
2020-06-30	0.0	6.0	0.003	113.188
2020-07-01	0.0	6.0	0.002	113.19
2020-07-02	0.0	6.0	0.002	113.192
2020-07-03	0.0	6.0	0.001	113.193
2020-07-04	0.0	6.0	0.001	113.194
2020-07-05	0.0	6.0	0.0	113.194
2020-07-06	0.0	6.0	0.0	113.194
2020-07-07	0.0	6.0	0.0	113.194
2020-07-08	0.0	6.0	0.0	113.194
2020-07-09	0.0	6.0	0.0	113.194
2020-07-10	0.0	6.0	0.0	113.194
2020-07-11	0.0	6.0	0.0	113.194
2020-07-12	0.0	6.0	0.0	113.194
2020-07-13	0.0	6.0	0.0	113.194
2020-07-14	0.0	6.0	0.0	113.194
2020-07-15	0.0	6.0	0.0	113.194
2020-07-16	0.0	6.0	0.0	113.194
2020-07-17	0.0	6.0	0.0	113.194
2020-07-18	0.0	6.0	0.0	113.194
2020-07-19	0.0	6.0	0.0	113.194
2020-07-20	0.0	6.0	0.0	113.194
2020-07-21	0.0	6.0	0.0	113.194
2020-07-22	0.0	6.0	0.0	113.194
2020-07-23	0.0	6.0	0.0	113.194
2020-07-24	0.0	6.0	0.0	113.194
2020-07-25	0.0	6.0	0.0	113.194
2020-07-26	0.0	6.0	0.0	113.194
2020-07-27	0.0	6.0	0.0	113.194
2020-07-28	0.0	6.0	0.0	113.194
2020-07-29	0.0	6.0	0.0	113.194
2020-07-30	0.0	6.0	0.0	113.194
2020-07-31	0.0	6.0	0.0	113.194
2020-08-01	0.0	6.0	0.0	113.194
2020-08-02	0.0	6.0	0.0	113.194
2020-08-03	0.0	6.0	0.0	113.194
2020-08-04	0.0	6.0	0.0	113.194
2020-08-05	0.0	6.0	0.0	113.194
2020-08-06	0.0	6.0	0.0	113.194
2020-08-07	0.0	6.0	0.0	113.194
2020-08-08	0.0	6.0	0.0	113.194
2020-08-09	0.0	6.0	0.0	113.194
2020-08-10	0.0	6.0	0.0	113.194
2020-08-11	0.0	6.0	0.0	113.194
2020-08-12	0.0	6.0	0.0	113.194
2020-08-13	0.0	6.0	0.0	113.194
2020-08-14	0.0	6.0	0.0	113.194
2020-08-15	0.0	6.0	0.0	113.194
2020-08-16	0.0	6.0	0.0	113.194
2020-08-17	0.0	6.0	0.0	113.194
2020-08-18	0.0	6.0	0.0	113.194
2020-08-19	0.0	6.0	0.0	113.194
2020-08-20	0.0	6.0	0.0	113.194
2020-08-21	0.0	6.0	0.0	113.194
2020-08-22	0.0	6.0	0.0	113.194
2020-08-23	0.0	6.0	0.0	113.194
2020-08-24	0.0	6.0	0.0	113.194
2020-08-25	0.0	6.0	0.0	113.194
2020-08-26	0.0	6.0	0.0	113.194
2020-08-27	0.0	6.0	0.0	113.194
2020-08-28	0.0	6.0	0.0	113.194
2020-08-29	0.0	6.0	0.0	113.194
2020-08-30	0.0	6.0	0.0	113.194
