Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-25	11.578	939.578	0.418	61.418
2020-05-26	11.471	951.049	0.326	61.744
2020-05-27	11.322	962.371	0.232	61.976
2020-05-28	11.151	973.522	0.149	62.125
2020-05-29	10.937	984.459	0.092	62.217
2020-05-30	10.678	995.137	0.058	62.275
2020-05-31	10.4	1005.537	0.038	62.313
2020-06-01	10.122	1015.659	0.027	62.34
2020-06-02	9.846	1025.505	0.021	62.361
2020-06-03	9.592	1035.097	0.017	62.378
2020-06-04	9.359	1044.456	0.013	62.391
2020-06-05	9.123	1053.579	0.01	62.401
2020-06-06	8.864	1062.443	0.008	62.409
2020-06-07	8.583	1071.026	0.006	62.415
2020-06-08	8.28	1079.306	0.0	62.415
2020-06-09	7.956	1087.262	0.0	62.415
2020-06-10	7.633	1094.895	0.0	62.415
2020-06-11	7.309	1102.204	0.0	62.415
2020-06-12	6.988	1109.192	0.0	62.415
2020-06-13	6.675	1115.867	0.0	62.415
2020-06-14	6.37	1122.237	0.0	62.415
2020-06-15	6.07	1128.307	0.0	62.415
2020-06-16	5.777	1134.084	0.0	62.415
2020-06-17	5.492	1139.576	0.0	62.415
2020-06-18	5.217	1144.793	0.0	62.415
2020-06-19	4.949	1149.742	0.0	62.415
2020-06-20	4.694	1154.436	0.0	62.415
2020-06-21	4.451	1158.887	0.0	62.415
2020-06-22	4.219	1163.106	0.0	62.415
2020-06-23	3.996	1167.102	0.0	62.415
2020-06-24	3.781	1170.883	0.0	62.415
2020-06-25	3.572	1174.455	0.0	62.415
2020-06-26	3.367	1177.822	0.0	62.415
2020-06-27	3.164	1180.986	0.0	62.415
2020-06-28	2.961	1183.947	0.0	62.415
2020-06-29	2.758	1186.705	0.0	62.415
2020-06-30	2.558	1189.263	0.0	62.415
2020-07-01	2.373	1191.636	0.0	62.415
2020-07-02	2.209	1193.845	0.0	62.415
2020-07-03	2.067	1195.912	0.0	62.415
2020-07-04	1.945	1197.857	0.0	62.415
2020-07-05	1.84	1199.697	0.0	62.415
2020-07-06	1.741	1201.438	0.0	62.415
2020-07-07	1.644	1203.082	0.0	62.415
2020-07-08	1.547	1204.629	0.0	62.415
2020-07-09	1.449	1206.078	0.0	62.415
2020-07-10	1.352	1207.43	0.0	62.415
2020-07-11	1.256	1208.686	0.0	62.415
2020-07-12	1.169	1209.855	0.0	62.415
2020-07-13	1.09	1210.945	0.0	62.415
2020-07-14	1.019	1211.964	0.0	62.415
2020-07-15	0.956	1212.92	0.0	62.415
2020-07-16	0.899	1213.819	0.0	62.415
2020-07-17	0.843	1214.662	0.0	62.415
2020-07-18	0.786	1215.448	0.0	62.415
2020-07-19	0.729	1216.177	0.0	62.415
2020-07-20	0.672	1216.849	0.0	62.415
2020-07-21	0.616	1217.465	0.0	62.415
2020-07-22	0.559	1218.024	0.0	62.415
2020-07-23	0.503	1218.527	0.0	62.415
2020-07-24	0.452	1218.979	0.0	62.415
2020-07-25	0.404	1219.383	0.0	62.415
2020-07-26	0.361	1219.744	0.0	62.415
2020-07-27	0.322	1220.066	0.0	62.415
2020-07-28	0.284	1220.35	0.0	62.415
2020-07-29	0.248	1220.598	0.0	62.415
2020-07-30	0.211	1220.809	0.0	62.415
2020-07-31	0.173	1220.982	0.0	62.415
2020-08-01	0.136	1221.118	0.0	62.415
2020-08-02	0.096	1221.214	0.0	62.415
2020-08-03	0.062	1221.276	0.0	62.415
2020-08-04	0.038	1221.314	0.0	62.415
2020-08-05	0.024	1221.338	0.0	62.415
2020-08-06	0.016	1221.354	0.0	62.415
2020-08-07	0.011	1221.365	0.0	62.415
2020-08-08	0.009	1221.374	0.0	62.415
2020-08-09	0.007	1221.381	0.0	62.415
2020-08-10	0.006	1221.387	0.0	62.415
2020-08-11	0.004	1221.391	0.0	62.415
2020-08-12	0.003	1221.394	0.0	62.415
2020-08-13	0.002	1221.396	0.0	62.415
2020-08-14	0.0	1221.396	0.0	62.415
2020-08-15	0.0	1221.396	0.0	62.415
2020-08-16	0.0	1221.396	0.0	62.415
2020-08-17	0.0	1221.396	0.0	62.415
2020-08-18	0.0	1221.396	0.0	62.415
2020-08-19	0.0	1221.396	0.0	62.415
2020-08-20	0.0	1221.396	0.0	62.415
2020-08-21	0.0	1221.396	0.0	62.415
2020-08-22	0.0	1221.396	0.0	62.415
2020-08-23	0.0	1221.396	0.0	62.415
2020-08-24	0.0	1221.396	0.0	62.415
2020-08-25	0.0	1221.396	0.0	62.415
2020-08-26	0.0	1221.396	0.0	62.415
2020-08-27	0.0	1221.396	0.0	62.415
2020-08-28	0.0	1221.396	0.0	62.415
2020-08-29	0.0	1221.396	0.0	62.415
2020-08-30	0.0	1221.396	0.0	62.415
