Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-17	0.724	11.724	0.0	0.0
2020-04-18	0.741	12.465	0.0	0.0
2020-04-19	0.751	13.216	0.0	0.0
2020-04-20	0.753	13.969	0.0	0.0
2020-04-21	0.752	14.721	0.0	0.0
2020-04-22	0.745	15.466	0.0	0.0
2020-04-23	0.735	16.201	0.0	0.0
2020-04-24	0.724	16.925	0.0	0.0
2020-04-25	0.71	17.635	0.0	0.0
2020-04-26	0.694	18.329	0.0	0.0
2020-04-27	0.675	19.004	0.0	0.0
2020-04-28	0.657	19.661	0.0	0.0
2020-04-29	0.64	20.301	0.0	0.0
2020-04-30	0.623	20.924	0.0	0.0
2020-05-01	0.608	21.532	0.0	0.0
2020-05-02	0.593	22.125	0.0	0.0
2020-05-03	0.576	22.701	0.0	0.0
2020-05-04	0.557	23.258	0.0	0.0
2020-05-05	0.538	23.796	0.0	0.0
2020-05-06	0.517	24.313	0.0	0.0
2020-05-07	0.496	24.809	0.0	0.0
2020-05-08	0.475	25.284	0.0	0.0
2020-05-09	0.454	25.738	0.0	0.0
2020-05-10	0.434	26.172	0.0	0.0
2020-05-11	0.414	26.586	0.0	0.0
2020-05-12	0.394	26.98	0.0	0.0
2020-05-13	0.375	27.355	0.0	0.0
2020-05-14	0.357	27.712	0.0	0.0
2020-05-15	0.339	28.051	0.0	0.0
2020-05-16	0.321	28.372	0.0	0.0
2020-05-17	0.305	28.677	0.0	0.0
2020-05-18	0.289	28.966	0.0	0.0
2020-05-19	0.274	29.24	0.0	0.0
2020-05-20	0.26	29.5	0.0	0.0
2020-05-21	0.246	29.746	0.0	0.0
2020-05-22	0.232	29.978	0.0	0.0
2020-05-23	0.219	30.197	0.0	0.0
2020-05-24	0.206	30.403	0.0	0.0
2020-05-25	0.192	30.595	0.0	0.0
2020-05-26	0.179	30.774	0.0	0.0
2020-05-27	0.166	30.94	0.0	0.0
2020-05-28	0.154	31.094	0.0	0.0
2020-05-29	0.143	31.237	0.0	0.0
2020-05-30	0.134	31.371	0.0	0.0
2020-05-31	0.126	31.497	0.0	0.0
2020-06-01	0.119	31.616	0.0	0.0
2020-06-02	0.113	31.729	0.0	0.0
2020-06-03	0.107	31.836	0.0	0.0
2020-06-04	0.1	31.936	0.0	0.0
2020-06-05	0.094	32.03	0.0	0.0
2020-06-06	0.088	32.118	0.0	0.0
2020-06-07	0.082	32.2	0.0	0.0
2020-06-08	0.076	32.276	0.0	0.0
2020-06-09	0.071	32.347	0.0	0.0
2020-06-10	0.066	32.413	0.0	0.0
2020-06-11	0.062	32.475	0.0	0.0
2020-06-12	0.058	32.533	0.0	0.0
2020-06-13	0.055	32.588	0.0	0.0
2020-06-14	0.051	32.639	0.0	0.0
2020-06-15	0.047	32.686	0.0	0.0
2020-06-16	0.044	32.73	0.0	0.0
2020-06-17	0.04	32.77	0.0	0.0
2020-06-18	0.036	32.806	0.0	0.0
2020-06-19	0.033	32.839	0.0	0.0
2020-06-20	0.029	32.868	0.0	0.0
2020-06-21	0.026	32.894	0.0	0.0
2020-06-22	0.023	32.917	0.0	0.0
2020-06-23	0.021	32.938	0.0	0.0
2020-06-24	0.018	32.956	0.0	0.0
2020-06-25	0.016	32.972	0.0	0.0
2020-06-26	0.014	32.986	0.0	0.0
2020-06-27	0.011	32.997	0.0	0.0
2020-06-28	0.009	33.006	0.0	0.0
2020-06-29	0.006	33.012	0.0	0.0
2020-06-30	0.004	33.016	0.0	0.0
2020-07-01	0.002	33.018	0.0	0.0
2020-07-02	0.002	33.02	0.0	0.0
2020-07-03	0.001	33.021	0.0	0.0
2020-07-04	0.001	33.022	0.0	0.0
2020-07-05	0.001	33.023	0.0	0.0
2020-07-06	0.0	33.023	0.0	0.0
2020-07-07	0.0	33.023	0.0	0.0
2020-07-08	0.0	33.023	0.0	0.0
2020-07-09	0.0	33.023	0.0	0.0
