Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Logan	0.243	9.672	1.129e-05	0.00044927
Mesa	0.607	24.18	3.96e-06	0.00015783
San Miguel	0.437	17.41	5.339e-05	0.00212544
Delta	0.721	24.025	2.329e-05	0.00077617
Weld	16.108	641.251	5.125e-05	0.00204022
Lincoln	0.0	0.0	0.0	0.0
Ouray	-98.361	-1435.312	-0.02035205	-0.29698167
Washington	0.0	0.0	0.0	0.0
Crowley	0.0	0.0	0.0	0.0
Huerfano	0.0	0.0	0.0	0.0
Broomfield	1.919	76.408	2.771e-05	0.0011031
Jefferson	15.428	614.169	2.659e-05	0.00105849
Park	0.146	5.803	7.86e-06	0.00031274
Custer	0.0	0.0	0.0	0.0
Douglas	5.758	229.225	1.68e-05	0.00066873
Summit	1.774	70.605	5.72e-05	0.00227708
Rio Grande	0.0	-0.3	0.0	-2.663e-05
Fremont	0.065	2.681	1.36e-06	5.584e-05
Pueblo	1.458	58.032	8.7e-06	0.0003464
Grand	0.0	0.0	0.0	0.0
Eagle	7.289	290.159	0.00013254	0.00527628
La Plata	36.993	578.189	0.00065695	0.01026796
Teller	0.276	11.164	1.101e-05	0.00044508
Montrose	1.409	56.097	3.338e-05	0.00132888
Las Animas	0.0	0.0	0.0	0.0
El Paso	10.009	404.689	1.402e-05	0.00056691
Moffat	0.0	-0.07	0.0	-5.35e-06
Hinsdale	0.0	0.0	0.0	0.0
Mineral	0.0	0.0	0.0	0.0
Yuma	0.0	0.0	0.0	0.0
Elbert	0.267	10.639	1.017e-05	0.00040481
Larimer	3.96	157.653	1.13e-05	0.00044977
Lake	0.0	0.0	0.0	0.0
Unassigned	5.272	209.881	N/A	N/A
Adams	12.488	497.138	2.44e-05	0.00097122
Gunnison	0.802	31.917	4.649e-05	0.00185072
Chaffee	0.34	13.541	1.698e-05	0.00067612
Baca	0.0	0.0	0.0	0.0
Costilla	0.0	0.0	0.0	0.0
Phillips	-7.144	-104.249	-0.00166686	-0.02432321
Routt	0.826	32.885	3.21e-05	0.00127792
Otero	0.0	0.0	0.0	0.0
Saguache	-7.21	-98.028	-0.0010537	-0.01432533
Denver	20.773	826.952	2.899e-05	0.00115417
Out of CO	0.0	223.733	N/A	N/A
Archuleta	-28.842	-392.113	-0.0020953	-0.02848624
Pitkin	0.559	22.245	3.113e-05	0.0012393
Morgan	0.729	29.016	2.552e-05	0.00101603
Montezuma	0.0	0.0	0.0	0.0
Rio Blanco	-28.842	-392.113	-0.00455205	-0.06188654
Clear Creek	0.097	3.869	1.012e-05	0.00040279
Alamosa	-0.069	-2.791	-4.14e-06	-0.0001673
Boulder	4.981	198.275	1.527e-05	0.00060806
Kit Carson	0.0	0.0	0.0	0.0
Garfield	0.551	27.097	9.22e-06	0.00045335
Arapahoe	20.724	825.018	3.182e-05	0.00126689
