Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Logan	5.663	348.824	372.896	0.0	0.0	1.0	0.00026305	0.01620327	0.01732144	0.0	0.0	4.645e-05
Mesa	0.0	0.095	35.196	0.0	0.0	0.0	0.0	6.2e-07	0.00022973	0.0	0.0	0.0
San Miguel	0.023	6.012	23.543	0.0	0.0	0.0	2.81e-06	0.00073398	0.00287425	0.0	0.0	0.0
Delta	0.783	114.639	142.864	0.0	0.0	1.0	2.53e-05	0.00370365	0.00461551	0.0	0.0	3.231e-05
Weld	3.987	1020.428	2290.572	0.0	31.053	105.624	1.269e-05	0.00324662	0.00728774	0.0	9.88e-05	0.00033606
Lincoln	0.022	5.119	8.522	0.0	31.053	36.624	3.92e-06	0.00091248	0.00151907	0.0	0.00553529	0.00652834
Ouray	0.018	4.509	9.907	0.0	0.0	1.0	3.72e-06	0.00093296	0.00204987	0.0	0.0	0.00020691
Washington	0.045	11.619	18.646	0.0	0.0	0.0	9.17e-06	0.00236688	0.00379833	0.0	0.0	0.0
Crowley	0.0	0.467	2.62	0.0	0.0	1.0	0.0	7.972e-05	0.00044725	0.0	0.0	0.00017071
Kiowa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Huerfano	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00014516	0.0	0.0	0.0
Broomfield	0.0	46.881	160.459	0.0	0.0	2.0	0.0	0.00067682	0.00231653	0.0	0.0	2.887e-05
Jefferson	0.0	299.086	1362.255	0.0	14.345	56.593	0.0	0.00051546	0.00234777	0.0	2.472e-05	9.753e-05
Park	0.0	0.045	6.124	0.0	14.345	16.593	0.0	2.43e-06	0.00033003	0.0	0.00077307	0.00089421
Custer	0.0	0.0	2.0	0.001	14.346	16.594	0.0	0.0	0.00040371	2e-07	0.00289584	0.00334962
Douglas	0.667	182.303	583.795	0.104	21.051	39.294	1.95e-06	0.00053184	0.00170314	3e-07	6.141e-05	0.00011463
San Juan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Summit	0.384	92.664	193.278	0.0	0.0	1.0	1.238e-05	0.00298849	0.00623337	0.0	0.0	3.225e-05
Rio Grande	3.565	219.628	227.303	0.0	0.0	0.0	0.00031689	0.01952249	0.02020471	0.0	0.0	0.0
Fremont	0.014	7.665	19.63	0.0	0.0	0.0	2.9e-07	0.00015962	0.00040878	0.0	0.0	0.0
Gilpin	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00016337	0.0	0.0	0.0
Pueblo	0.351	84.539	183.485	0.154	25.529	33.434	2.1e-06	0.00050462	0.00109524	9.2e-07	0.00015239	0.00019957
Grand	0.0	0.0	5.0	0.154	25.529	26.434	0.0	0.0	0.00032206	9.92e-06	0.00164438	0.00170267
Eagle	0.0	26.668	529.111	0.0	1.16	8.477	0.0	0.00048493	0.00962142	0.0	2.109e-05	0.00015415
La Plata	0.002	15.267	68.501	0.0	1.16	1.477	4e-08	0.00027112	0.0012165	0.0	2.06e-05	2.623e-05
Teller	0.1	22.429	49.102	0.0	0.045	2.124	3.99e-06	0.00089419	0.00195758	0.0	1.79e-06	8.468e-05
