Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-19	6.893	831.893	0.347	50.347
2020-06-20	7.053	838.946	0.393	50.74
2020-06-21	7.143	846.089	0.441	51.181
2020-06-22	7.169	853.258	0.49	51.671
2020-06-23	7.155	860.413	0.538	52.209
2020-06-24	7.09	867.503	0.586	52.795
2020-06-25	6.997	874.5	0.637	53.432
2020-06-26	6.892	881.392	0.693	54.125
2020-06-27	6.759	888.151	0.748	54.873
2020-06-28	6.599	894.75	0.802	55.675
2020-06-29	6.427	901.177	0.848	56.523
2020-06-30	6.256	907.433	0.883	57.406
2020-07-01	6.085	913.518	0.904	58.31
2020-07-02	5.928	919.446	0.915	59.225
2020-07-03	5.784	925.23	0.919	60.144
2020-07-04	5.638	930.868	0.917	61.061
2020-07-05	5.478	936.346	0.908	61.969
2020-07-06	5.304	941.65	0.897	62.866
2020-07-07	5.117	946.767	0.883	63.749
2020-07-08	4.917	951.684	0.866	64.615
2020-07-09	4.717	956.401	0.846	65.461
2020-07-10	4.517	960.918	0.824	66.285
2020-07-11	4.319	965.237	0.802	67.087
2020-07-12	4.125	969.362	0.78	67.867
2020-07-13	3.937	973.299	0.76	68.627
2020-07-14	3.752	977.051	0.741	69.368
2020-07-15	3.57	980.621	0.722	70.09
2020-07-16	3.394	984.015	0.702	70.792
2020-07-17	3.224	987.239	0.68	71.472
2020-07-18	3.059	990.298	0.656	72.128
2020-07-19	2.901	993.199	0.63	72.758
2020-07-20	2.751	995.95	0.604	73.362
2020-07-21	2.608	998.558	0.579	73.941
2020-07-22	2.47	1001.028	0.553	74.494
2020-07-23	2.337	1003.365	0.529	75.023
2020-07-24	2.208	1005.573	0.505	75.528
2020-07-25	2.081	1007.654	0.481	76.009
2020-07-26	1.956	1009.61	0.458	76.467
2020-07-27	1.83	1011.44	0.435	76.902
2020-07-28	1.704	1013.144	0.413	77.315
2020-07-29	1.581	1014.725	0.392	77.707
2020-07-30	1.466	1016.191	0.372	78.079
2020-07-31	1.365	1017.556	0.353	78.432
2020-08-01	1.278	1018.834	0.334	78.766
2020-08-02	1.202	1020.036	0.316	79.082
2020-08-03	1.137	1021.173	0.299	79.381
2020-08-04	1.076	1022.249	0.283	79.664
2020-08-05	1.016	1023.265	0.267	79.931
2020-08-06	0.956	1024.221	0.251	80.182
2020-08-07	0.896	1025.117	0.234	80.416
2020-08-08	0.835	1025.952	0.218	80.634
2020-08-09	0.776	1026.728	0.203	80.837
2020-08-10	0.722	1027.45	0.188	81.025
2020-08-11	0.674	1028.124	0.175	81.2
2020-08-12	0.63	1028.754	0.164	81.364
2020-08-13	0.591	1029.345	0.154	81.518
2020-08-14	0.556	1029.901	0.146	81.664
2020-08-15	0.521	1030.422	0.138	81.802
2020-08-16	0.486	1030.908	0.13	81.932
2020-08-17	0.451	1031.359	0.122	82.054
2020-08-18	0.416	1031.775	0.115	82.169
2020-08-19	0.38	1032.155	0.107	82.276
2020-08-20	0.345	1032.5	0.099	82.375
2020-08-21	0.311	1032.811	0.093	82.468
2020-08-22	0.279	1033.09	0.086	82.554
2020-08-23	0.25	1033.34	0.081	82.635
2020-08-24	0.223	1033.563	0.076	82.711
2020-08-25	0.199	1033.762	0.071	82.782
2020-08-26	0.176	1033.938	0.067	82.849
2020-08-27	0.153	1034.091	0.062	82.911
2020-08-28	0.13	1034.221	0.058	82.969
2020-08-29	0.107	1034.328	0.053	83.022
2020-08-30	0.084	1034.412	0.049	83.071
2020-08-31	0.059	1034.471	0.044	83.115
2020-09-01	0.038	1034.509	0.04	83.155
2020-09-02	0.024	1034.533	0.036	83.191
2020-09-03	0.015	1034.548	0.032	83.223
2020-09-04	0.01	1034.558	0.029	83.252
2020-09-05	0.007	1034.565	0.025	83.277
2020-09-06	0.005	1034.57	0.023	83.3
2020-09-07	0.004	1034.574	0.02	83.32
2020-09-08	0.003	1034.577	0.017	83.337
2020-09-09	0.003	1034.58	0.014	83.351
2020-09-10	0.002	1034.582	0.011	83.362
2020-09-11	0.002	1034.584	0.008	83.37
2020-09-12	0.0	1034.584	0.005	83.375
2020-09-13	0.0	1034.584	0.003	83.378
2020-09-14	0.0	1034.584	0.002	83.38
2020-09-15	0.0	1034.584	0.001	83.381
2020-09-16	0.0	1034.584	0.001	83.382
2020-09-17	0.0	1034.584	0.001	83.383
2020-09-18	0.0	1034.584	0.001	83.384
2020-09-19	0.0	1034.584	0.0	83.384
2020-09-20	0.0	1034.584	0.0	83.384
2020-09-21	0.0	1034.584	0.0	83.384
