Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-11	0.249	54.249	0.0	2.0
2020-06-12	0.247	54.496	0.0	2.0
2020-06-13	0.243	54.739	0.0	2.0
2020-06-14	0.24	54.979	0.0	2.0
2020-06-15	0.235	55.214	0.0	2.0
2020-06-16	0.23	55.444	0.0	2.0
2020-06-17	0.224	55.668	0.0	2.0
2020-06-18	0.218	55.886	0.0	2.0
2020-06-19	0.212	56.098	0.0	2.0
2020-06-20	0.206	56.304	0.0	2.0
2020-06-21	0.201	56.505	0.0	2.0
2020-06-22	0.196	56.701	0.0	2.0
2020-06-23	0.191	56.892	0.0	2.0
2020-06-24	0.185	57.077	0.0	2.0
2020-06-25	0.178	57.255	0.0	2.0
2020-06-26	0.171	57.426	0.0	2.0
2020-06-27	0.164	57.59	0.0	2.0
2020-06-28	0.157	57.747	0.0	2.0
2020-06-29	0.15	57.897	0.0	2.0
2020-06-30	0.143	58.04	0.0	2.0
2020-07-01	0.137	58.177	0.0	2.0
2020-07-02	0.13	58.307	0.0	2.0
2020-07-03	0.124	58.431	0.0	2.0
2020-07-04	0.118	58.549	0.0	2.0
2020-07-05	0.112	58.661	0.0	2.0
2020-07-06	0.106	58.767	0.0	2.0
2020-07-07	0.101	58.868	0.0	2.0
2020-07-08	0.096	58.964	0.0	2.0
2020-07-09	0.091	59.055	0.0	2.0
2020-07-10	0.086	59.141	0.0	2.0
2020-07-11	0.081	59.222	0.0	2.0
2020-07-12	0.077	59.299	0.0	2.0
2020-07-13	0.072	59.371	0.0	2.0
2020-07-14	0.068	59.439	0.0	2.0
2020-07-15	0.064	59.503	0.0	2.0
2020-07-16	0.059	59.562	0.0	2.0
2020-07-17	0.055	59.617	0.0	2.0
2020-07-18	0.051	59.668	0.0	2.0
2020-07-19	0.047	59.715	0.0	2.0
2020-07-20	0.044	59.759	0.0	2.0
2020-07-21	0.042	59.801	0.0	2.0
2020-07-22	0.04	59.841	0.0	2.0
2020-07-23	0.037	59.878	0.0	2.0
2020-07-24	0.035	59.913	0.0	2.0
2020-07-25	0.033	59.946	0.0	2.0
2020-07-26	0.031	59.977	0.0	2.0
2020-07-27	0.029	60.006	0.0	2.0
2020-07-28	0.027	60.033	0.0	2.0
2020-07-29	0.025	60.058	0.0	2.0
2020-07-30	0.023	60.081	0.0	2.0
2020-07-31	0.022	60.103	0.0	2.0
2020-08-01	0.021	60.124	0.0	2.0
2020-08-02	0.019	60.143	0.0	2.0
2020-08-03	0.018	60.161	0.0	2.0
2020-08-04	0.017	60.178	0.0	2.0
2020-08-05	0.016	60.194	0.0	2.0
2020-08-06	0.014	60.208	0.0	2.0
2020-08-07	0.013	60.221	0.0	2.0
2020-08-08	0.012	60.233	0.0	2.0
2020-08-09	0.011	60.244	0.0	2.0
2020-08-10	0.01	60.254	0.0	2.0
2020-08-11	0.009	60.263	0.0	2.0
2020-08-12	0.008	60.271	0.0	2.0
2020-08-13	0.007	60.278	0.0	2.0
2020-08-14	0.006	60.284	0.0	2.0
2020-08-15	0.005	60.289	0.0	2.0
2020-08-16	0.005	60.294	0.0	2.0
2020-08-17	0.004	60.298	0.0	2.0
2020-08-18	0.003	60.301	0.0	2.0
2020-08-19	0.002	60.303	0.0	2.0
2020-08-20	0.001	60.304	0.0	2.0
2020-08-21	0.001	60.305	0.0	2.0
2020-08-22	0.001	60.306	0.0	2.0
2020-08-23	0.0	60.306	0.0	2.0
2020-08-24	0.0	60.306	0.0	2.0
2020-08-25	0.0	60.306	0.0	2.0
2020-08-26	0.0	60.306	0.0	2.0
2020-08-27	0.0	60.306	0.0	2.0
2020-08-28	0.0	60.306	0.0	2.0
2020-08-29	0.0	60.306	0.0	2.0
2020-08-30	0.0	60.306	0.0	2.0
