Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-16	0.041	0.231	1.127	1.127
2020-08-17	0.037	0.268	1.117	2.244
2020-08-18	0.034	0.302	1.102	3.346
2020-08-19	0.031	0.333	1.086	4.432
2020-08-20	0.027	0.36	1.065	5.497
2020-08-21	0.025	0.385	1.04	6.537
2020-08-22	0.022	0.407	1.013	7.55
2020-08-23	0.02	0.427	0.986	8.536
2020-08-24	0.017	0.444	0.959	9.495
2020-08-25	0.015	0.459	0.934	10.429
2020-08-26	0.013	0.472	0.911	11.34
2020-08-27	0.011	0.483	0.888	12.228
2020-08-28	0.008	0.491	0.863	13.091
2020-08-29	0.006	0.497	0.836	13.927
2020-08-30	0.004	0.501	0.806	14.733
2020-08-31	0.002	0.503	0.775	15.508
2020-09-01	0.001	0.504	0.743	16.251
2020-09-02	0.001	0.505	0.712	16.963
2020-09-03	0.001	0.506	0.68	17.643
2020-09-04	0.001	0.507	0.65	18.293
2020-09-05	0.0	0.507	0.62	18.913
2020-09-06	0.0	0.507	0.591	19.504
2020-09-07	0.0	0.507	0.563	20.067
2020-09-08	0.0	0.507	0.535	20.602
2020-09-09	0.0	0.507	0.508	21.11
2020-09-10	0.0	0.507	0.482	21.592
2020-09-11	0.0	0.507	0.457	22.049
2020-09-12	0.0	0.507	0.433	22.482
2020-09-13	0.0	0.507	0.411	22.893
2020-09-14	0.0	0.507	0.389	23.282
2020-09-15	0.0	0.507	0.368	23.65
2020-09-16	0.0	0.507	0.348	23.998
2020-09-17	0.0	0.507	0.328	24.326
2020-09-18	0.0	0.507	0.308	24.634
2020-09-19	0.0	0.507	0.288	24.922
2020-09-20	0.0	0.507	0.269	25.191
2020-09-21	0.0	0.507	0.249	25.44
2020-09-22	0.0	0.507	0.231	25.671
2020-09-23	0.0	0.507	0.215	25.886
2020-09-24	0.0	0.507	0.201	26.087
2020-09-25	0.0	0.507	0.189	26.276
2020-09-26	0.0	0.507	0.179	26.455
2020-09-27	0.0	0.507	0.17	26.625
2020-09-28	0.0	0.507	0.16	26.785
2020-09-29	0.0	0.507	0.151	26.936
2020-09-30	0.0	0.507	0.141	27.077
2020-10-01	0.0	0.507	0.132	27.209
2020-10-02	0.0	0.507	0.122	27.331
2020-10-03	0.0	0.507	0.114	27.445
2020-10-04	0.0	0.507	0.106	27.551
2020-10-05	0.0	0.507	0.099	27.65
2020-10-06	0.0	0.507	0.093	27.743
2020-10-07	0.0	0.507	0.088	27.831
2020-10-08	0.0	0.507	0.082	27.913
2020-10-09	0.0	0.507	0.077	27.99
2020-10-10	0.0	0.507	0.071	28.061
2020-10-11	0.0	0.507	0.065	28.126
2020-10-12	0.0	0.507	0.06	28.186
2020-10-13	0.0	0.507	0.054	28.24
2020-10-14	0.0	0.507	0.049	28.289
2020-10-15	0.0	0.507	0.044	28.333
2020-10-16	0.0	0.507	0.039	28.372
2020-10-17	0.0	0.507	0.035	28.407
2020-10-18	0.0	0.507	0.031	28.438
2020-10-19	0.0	0.507	0.028	28.466
2020-10-20	0.0	0.507	0.024	28.49
2020-10-21	0.0	0.507	0.021	28.511
2020-10-22	0.0	0.507	0.017	28.528
2020-10-23	0.0	0.507	0.013	28.541
2020-10-24	0.0	0.507	0.009	28.55
2020-10-25	0.0	0.507	0.006	28.556
2020-10-26	0.0	0.507	0.004	28.56
2020-10-27	0.0	0.507	0.002	28.562
2020-10-28	0.0	0.507	0.002	28.564
2020-10-29	0.0	0.507	0.001	28.565
2020-10-30	0.0	0.507	0.001	28.566
2020-10-31	0.0	0.507	0.001	28.567
2020-11-01	0.0	0.507	0.001	28.568
2020-11-02	0.0	0.507	0.0	28.568
2020-11-03	0.0	0.507	0.0	28.568
