Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-04	0.493	42.493	0.0	1.0
2020-08-05	0.455	42.948	0.0	1.0
2020-08-06	0.416	43.364	0.0	1.0
2020-08-07	0.378	43.742	0.0	1.0
2020-08-08	0.34	44.082	0.0	1.0
2020-08-09	0.306	44.388	0.0	1.0
2020-08-10	0.274	44.662	0.0	1.0
2020-08-11	0.244	44.906	0.0	1.0
2020-08-12	0.218	45.124	0.0	1.0
2020-08-13	0.192	45.316	0.0	1.0
2020-08-14	0.168	45.484	0.0	1.0
2020-08-15	0.143	45.627	0.0	1.0
2020-08-16	0.117	45.744	0.0	1.0
2020-08-17	0.092	45.836	0.0	1.0
2020-08-18	0.065	45.901	0.0	1.0
2020-08-19	0.042	45.943	0.0	1.0
2020-08-20	0.026	45.969	0.0	1.0
2020-08-21	0.016	45.985	0.0	1.0
2020-08-22	0.011	45.996	0.0	1.0
2020-08-23	0.008	46.004	0.0	1.0
2020-08-24	0.006	46.01	0.0	1.0
2020-08-25	0.005	46.015	0.0	1.0
2020-08-26	0.004	46.019	0.0	1.0
2020-08-27	0.003	46.022	0.0	1.0
2020-08-28	0.002	46.024	0.0	1.0
2020-08-29	0.002	46.026	0.0	1.0
2020-08-30	0.0	46.026	0.0	1.0
