Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-09	51.582	7212.582	0.498	291.498
2020-08-10	49.566	7262.148	0.493	291.991
2020-08-11	47.55	7309.698	0.487	292.478
2020-08-12	45.534	7355.232	0.479	292.957
2020-08-13	43.538	7398.77	0.47	293.427
2020-08-14	41.583	7440.353	0.459	293.886
2020-08-15	39.687	7480.04	0.447	294.333
2020-08-16	37.816	7517.856	0.435	294.768
2020-08-17	35.99	7553.846	0.423	295.191
2020-08-18	34.213	7588.059	0.412	295.603
2020-08-19	32.499	7620.558	0.402	296.005
2020-08-20	30.833	7651.391	0.392	296.397
2020-08-21	29.245	7680.636	0.381	296.778
2020-08-22	27.73	7708.366	0.369	297.147
2020-08-23	26.286	7734.652	0.356	297.503
2020-08-24	24.895	7759.547	0.342	297.845
2020-08-25	23.554	7783.101	0.328	298.173
2020-08-26	22.253	7805.354	0.314	298.487
2020-08-27	20.977	7826.331	0.3	298.787
2020-08-28	19.712	7846.043	0.287	299.074
2020-08-29	18.446	7864.489	0.274	299.348
2020-08-30	17.179	7881.668	0.261	299.609
2020-08-31	15.935	7897.603	0.248	299.857
2020-09-01	14.781	7912.384	0.236	300.093
2020-09-02	13.764	7926.148	0.224	300.317
2020-09-03	12.88	7939.028	0.213	300.53
2020-09-04	12.12	7951.148	0.202	300.732
2020-09-05	11.461	7962.609	0.191	300.923
2020-09-06	10.849	7973.458	0.181	301.104
2020-09-07	10.242	7983.7	0.172	301.276
2020-09-08	9.636	7993.336	0.163	301.439
2020-09-09	9.029	8002.365	0.154	301.593
2020-09-10	8.421	8010.786	0.145	301.738
2020-09-11	7.824	8018.61	0.136	301.874
2020-09-12	7.281	8025.891	0.127	302.001
2020-09-13	6.791	8032.682	0.119	302.12
2020-09-14	6.351	8039.033	0.11	302.23
2020-09-15	5.958	8044.991	0.102	302.332
2020-09-16	5.602	8050.593	0.095	302.427
2020-09-17	5.249	8055.842	0.089	302.516
2020-09-18	4.896	8060.738	0.084	302.6
2020-09-19	4.542	8065.28	0.079	302.679
2020-09-20	4.189	8069.469	0.075	302.754
2020-09-21	3.835	8073.304	0.071	302.825
2020-09-22	3.48	8076.784	0.066	302.891
2020-09-23	3.135	8079.919	0.062	302.953
2020-09-24	2.813	8082.732	0.058	303.011
2020-09-25	2.519	8085.251	0.054	303.065
2020-09-26	2.25	8087.501	0.05	303.115
2020-09-27	2.004	8089.505	0.047	303.162
2020-09-28	1.772	8091.277	0.044	303.206
2020-09-29	1.543	8092.82	0.041	303.247
2020-09-30	1.313	8094.133	0.039	303.286
2020-10-01	1.081	8095.214	0.036	303.322
2020-10-02	0.845	8096.059	0.034	303.356
2020-10-03	0.6	8096.659	0.031	303.387
2020-10-04	0.386	8097.045	0.029	303.416
2020-10-05	0.238	8097.283	0.026	303.442
2020-10-06	0.15	8097.433	0.024	303.466
2020-10-07	0.099	8097.532	0.022	303.488
2020-10-08	0.071	8097.603	0.019	303.507
2020-10-09	0.055	8097.658	0.017	303.524
2020-10-10	0.044	8097.702	0.016	303.54
2020-10-11	0.035	8097.737	0.014	303.554
2020-10-12	0.027	8097.764	0.012	303.566
2020-10-13	0.021	8097.785	0.011	303.577
2020-10-14	0.015	8097.8	0.009	303.586
2020-10-15	0.0	8097.8	0.007	303.593
2020-10-16	0.0	8097.8	0.006	303.599
2020-10-17	0.0	8097.8	0.004	303.603
2020-10-18	0.0	8097.8	0.003	303.606
2020-10-19	0.0	8097.8	0.002	303.608
2020-10-20	0.0	8097.8	0.001	303.609
2020-10-21	0.0	8097.8	0.001	303.61
2020-10-22	0.0	8097.8	0.0	303.61
2020-10-23	0.0	8097.8	0.0	303.61
2020-10-24	0.0	8097.8	0.0	303.61
2020-10-25	0.0	8097.8	0.0	303.61
2020-10-26	0.0	8097.8	0.0	303.61
2020-10-27	0.0	8097.8	0.0	303.61
