Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-04	0.347	122.347	0.0	12.0
2020-06-05	0.343	122.69	0.0	12.0
2020-06-06	0.339	123.029	0.0	12.0
2020-06-07	0.334	123.363	0.0	12.0
2020-06-08	0.327	123.69	0.0	12.0
2020-06-09	0.32	124.01	0.0	12.0
2020-06-10	0.311	124.321	0.0	12.0
2020-06-11	0.303	124.624	0.0	12.0
2020-06-12	0.295	124.919	0.0	12.0
2020-06-13	0.287	125.206	0.0	12.0
2020-06-14	0.28	125.486	0.0	12.0
2020-06-15	0.273	125.759	0.0	12.0
2020-06-16	0.265	126.024	0.0	12.0
2020-06-17	0.257	126.281	0.0	12.0
2020-06-18	0.248	126.529	0.0	12.0
2020-06-19	0.238	126.767	0.0	12.0
2020-06-20	0.229	126.996	0.0	12.0
2020-06-21	0.219	127.215	0.0	12.0
2020-06-22	0.209	127.424	0.0	12.0
2020-06-23	0.2	127.624	0.0	12.0
2020-06-24	0.191	127.815	0.0	12.0
2020-06-25	0.182	127.997	0.0	12.0
2020-06-26	0.173	128.17	0.0	12.0
2020-06-27	0.164	128.334	0.0	12.0
2020-06-28	0.156	128.49	0.0	12.0
2020-06-29	0.148	128.638	0.0	12.0
2020-06-30	0.141	128.779	0.0	12.0
2020-07-01	0.133	128.912	0.0	12.0
2020-07-02	0.126	129.038	0.0	12.0
2020-07-03	0.12	129.158	0.0	12.0
2020-07-04	0.113	129.271	0.0	12.0
2020-07-05	0.107	129.378	0.0	12.0
2020-07-06	0.101	129.479	0.0	12.0
2020-07-07	0.095	129.574	0.0	12.0
2020-07-08	0.089	129.663	0.0	12.0
2020-07-09	0.083	129.746	0.0	12.0
2020-07-10	0.077	129.823	0.0	12.0
2020-07-11	0.071	129.894	0.0	12.0
2020-07-12	0.066	129.96	0.0	12.0
2020-07-13	0.062	130.022	0.0	12.0
2020-07-14	0.058	130.08	0.0	12.0
2020-07-15	0.055	130.135	0.0	12.0
2020-07-16	0.052	130.187	0.0	12.0
2020-07-17	0.049	130.236	0.0	12.0
2020-07-18	0.046	130.282	0.0	12.0
2020-07-19	0.043	130.325	0.0	12.0
2020-07-20	0.04	130.365	0.0	12.0
2020-07-21	0.038	130.403	0.0	12.0
2020-07-22	0.035	130.438	0.0	12.0
2020-07-23	0.033	130.471	0.0	12.0
2020-07-24	0.031	130.502	0.0	12.0
2020-07-25	0.029	130.531	0.0	12.0
2020-07-26	0.027	130.558	0.0	12.0
2020-07-27	0.025	130.583	0.0	12.0
2020-07-28	0.024	130.607	0.0	12.0
2020-07-29	0.022	130.629	0.0	12.0
2020-07-30	0.02	130.649	0.0	12.0
2020-07-31	0.018	130.667	0.0	12.0
2020-08-01	0.017	130.684	0.0	12.0
2020-08-02	0.015	130.699	0.0	12.0
2020-08-03	0.014	130.713	0.0	12.0
2020-08-04	0.012	130.725	0.0	12.0
2020-08-05	0.011	130.736	0.0	12.0
2020-08-06	0.01	130.746	0.0	12.0
2020-08-07	0.009	130.755	0.0	12.0
2020-08-08	0.007	130.762	0.0	12.0
2020-08-09	0.006	130.768	0.0	12.0
2020-08-10	0.005	130.773	0.0	12.0
2020-08-11	0.004	130.777	0.0	12.0
2020-08-12	0.003	130.78	0.0	12.0
2020-08-13	0.002	130.782	0.0	12.0
2020-08-14	0.001	130.783	0.0	12.0
2020-08-15	0.001	130.784	0.0	12.0
2020-08-16	0.0	130.784	0.0	12.0
2020-08-17	0.0	130.784	0.0	12.0
2020-08-18	0.0	130.784	0.0	12.0
2020-08-19	0.0	130.784	0.0	12.0
2020-08-20	0.0	130.784	0.0	12.0
2020-08-21	0.0	130.784	0.0	12.0
2020-08-22	0.0	130.784	0.0	12.0
2020-08-23	0.0	130.784	0.0	12.0
2020-08-24	0.0	130.784	0.0	12.0
2020-08-25	0.0	130.784	0.0	12.0
2020-08-26	0.0	130.784	0.0	12.0
2020-08-27	0.0	130.784	0.0	12.0
2020-08-28	0.0	130.784	0.0	12.0
2020-08-29	0.0	130.784	0.0	12.0
2020-08-30	0.0	130.784	0.0	12.0
2020-08-31	0.0	130.784	0.0	12.0
2020-09-01	0.0	130.784	0.0	12.0
