Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-28	8.689	239.689	0.0	4.0
2020-07-29	8.558	248.247	0.0	4.0
2020-07-30	8.393	256.64	0.0	4.0
2020-07-31	8.195	264.835	0.0	4.0
2020-08-01	7.981	272.816	0.0	4.0
2020-08-02	7.768	280.584	0.0	4.0
2020-08-03	7.556	288.14	0.0	4.0
2020-08-04	7.361	295.501	0.0	4.0
2020-08-05	7.183	302.684	0.0	4.0
2020-08-06	7.001	309.685	0.0	4.0
2020-08-07	6.802	316.487	0.0	4.0
2020-08-08	6.586	323.073	0.0	4.0
2020-08-09	6.354	329.427	0.0	4.0
2020-08-10	6.106	335.533	0.0	4.0
2020-08-11	5.857	341.39	0.0	4.0
2020-08-12	5.609	346.999	0.0	4.0
2020-08-13	5.363	352.362	0.0	4.0
2020-08-14	5.122	357.484	0.0	4.0
2020-08-15	4.889	362.373	0.0	4.0
2020-08-16	4.658	367.031	0.0	4.0
2020-08-17	4.433	371.464	0.0	4.0
2020-08-18	4.214	375.678	0.0	4.0
2020-08-19	4.003	379.681	0.0	4.0
2020-08-20	3.798	383.479	0.0	4.0
2020-08-21	3.602	387.081	0.0	4.0
2020-08-22	3.416	390.497	0.0	4.0
2020-08-23	3.238	393.735	0.0	4.0
2020-08-24	3.067	396.802	0.0	4.0
2020-08-25	2.901	399.703	0.0	4.0
2020-08-26	2.741	402.444	0.0	4.0
2020-08-27	2.584	405.028	0.0	4.0
2020-08-28	2.428	407.456	0.0	4.0
2020-08-29	2.272	409.728	0.0	4.0
2020-08-30	2.116	411.844	0.0	4.0
2020-08-31	1.963	413.807	0.0	4.0
2020-09-01	1.821	415.628	0.0	4.0
2020-09-02	1.695	417.323	0.0	4.0
2020-09-03	1.587	418.91	0.0	4.0
2020-09-04	1.493	420.403	0.0	4.0
2020-09-05	1.412	421.815	0.0	4.0
2020-09-06	1.336	423.151	0.0	4.0
2020-09-07	1.262	424.413	0.0	4.0
2020-09-08	1.187	425.6	0.0	4.0
2020-09-09	1.112	426.712	0.0	4.0
2020-09-10	1.037	427.749	0.0	4.0
2020-09-11	0.964	428.713	0.0	4.0
2020-09-12	0.897	429.61	0.0	4.0
2020-09-13	0.837	430.447	0.0	4.0
2020-09-14	0.782	431.229	0.0	4.0
2020-09-15	0.734	431.963	0.0	4.0
2020-09-16	0.69	432.653	0.0	4.0
2020-09-17	0.647	433.3	0.0	4.0
2020-09-18	0.603	433.903	0.0	4.0
2020-09-19	0.56	434.463	0.0	4.0
2020-09-20	0.516	434.979	0.0	4.0
2020-09-21	0.472	435.451	0.0	4.0
2020-09-22	0.429	435.88	0.0	4.0
2020-09-23	0.386	436.266	0.0	4.0
2020-09-24	0.347	436.613	0.0	4.0
2020-09-25	0.31	436.923	0.0	4.0
2020-09-26	0.277	437.2	0.0	4.0
2020-09-27	0.247	437.447	0.0	4.0
2020-09-28	0.218	437.665	0.0	4.0
2020-09-29	0.19	437.855	0.0	4.0
2020-09-30	0.162	438.017	0.0	4.0
2020-10-01	0.133	438.15	0.0	4.0
2020-10-02	0.104	438.254	0.0	4.0
2020-10-03	0.074	438.328	0.0	4.0
2020-10-04	0.048	438.376	0.0	4.0
2020-10-05	0.029	438.405	0.0	4.0
2020-10-06	0.018	438.423	0.0	4.0
2020-10-07	0.012	438.435	0.0	4.0
2020-10-08	0.009	438.444	0.0	4.0
2020-10-09	0.007	438.451	0.0	4.0
2020-10-10	0.005	438.456	0.0	4.0
2020-10-11	0.004	438.46	0.0	4.0
2020-10-12	0.003	438.463	0.0	4.0
2020-10-13	0.003	438.466	0.0	4.0
2020-10-14	0.002	438.468	0.0	4.0
2020-10-15	0.0	438.468	0.0	4.0
2020-10-16	0.0	438.468	0.0	4.0
2020-10-17	0.0	438.468	0.0	4.0
2020-10-18	0.0	438.468	0.0	4.0
2020-10-19	0.0	438.468	0.0	4.0
2020-10-20	0.0	438.468	0.0	4.0
2020-10-21	0.0	438.468	0.0	4.0
2020-10-22	0.0	438.468	0.0	4.0
2020-10-23	0.0	438.468	0.0	4.0
