Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-28	474.409	20475.409	4.564	147.564
2020-07-29	459.362	20934.771	5.636	153.2
2020-07-30	443.155	21377.926	6.96	160.16
2020-07-31	425.837	21803.763	8.59	168.75
2020-08-01	408.516	22212.279	10.565	179.315
2020-08-02	391.193	22603.472	12.755	192.07
2020-08-03	374.041	22977.513	15.11	207.18
2020-08-04	357.25	23334.763	17.846	225.026
2020-08-05	340.962	23675.725	21.068	246.094
2020-08-06	324.888	24000.613	24.908	271.002
2020-08-07	309.202	24309.815	29.409	300.411
2020-08-08	293.929	24603.744	34.659	335.07
2020-08-09	279.21	24882.954	40.607	375.677
2020-08-10	264.896	25147.85	47.194	422.871
2020-08-11	251.247	25399.097	54.358	477.229
2020-08-12	238.237	25637.334	62.216	539.445
2020-08-13	225.833	25863.167	70.565	610.01
2020-08-14	213.881	26077.048	79.167	689.177
2020-08-15	202.358	26279.406	87.853	777.03
2020-08-16	191.182	26470.588	96.504	873.534
2020-08-17	180.22	26650.808	105.229	978.763
2020-08-18	169.35	26820.158	114.308	1093.071
2020-08-19	158.475	26978.633	124.316	1217.387
2020-08-20	147.593	27126.226	134.299	1351.686
2020-08-21	136.901	27263.127	143.959	1495.645
2020-08-22	126.986	27390.113	152.162	1647.807
2020-08-23	118.247	27508.36	158.531	1806.338
2020-08-24	110.652	27619.012	162.201	1968.539
2020-08-25	104.124	27723.136	164.28	2132.819
2020-08-26	98.463	27821.599	164.869	2297.688
2020-08-27	93.205	27914.804	164.559	2462.247
2020-08-28	87.995	28002.799	163.046	2625.293
2020-08-29	82.782	28085.581	160.926	2786.219
2020-08-30	77.567	28163.148	158.498	2944.717
2020-08-31	72.35	28235.498	155.445	3100.162
2020-09-01	67.221	28302.719	151.773	3251.935
2020-09-02	62.549	28365.268	147.818	3399.753
2020-09-03	58.341	28423.609	143.871	3543.624
2020-09-04	54.563	28478.172	139.949	3683.573
2020-09-05	51.187	28529.359	136.338	3819.911
2020-09-06	48.125	28577.484	133.029	3952.94
2020-09-07	45.093	28622.577	129.661	4082.601
2020-09-08	42.06	28664.637	125.983	4208.584
2020-09-09	39.025	28703.662	121.987	4330.571
2020-09-10	35.986	28739.648	117.683	4448.254
2020-09-11	32.945	28772.593	113.084	4561.338
2020-09-12	29.899	28802.492	108.484	4669.822
2020-09-13	26.93	28829.422	103.884	4773.706
2020-09-14	24.166	28853.588	99.329	4873.035
2020-09-15	21.642	28875.23	94.87	4967.905
2020-09-16	19.334	28894.564	90.545	5058.45
2020-09-17	17.218	28911.782	86.276	5144.726
2020-09-18	15.224	28927.006	82.111	5226.837
2020-09-19	13.258	28940.264	78.055	5304.892
2020-09-20	11.281	28951.545	74.146	5379.038
2020-09-21	9.285	28960.83	70.345	5449.383
2020-09-22	7.256	28968.086	66.72	5516.103
2020-09-23	5.152	28973.238	63.266	5579.369
2020-09-24	3.314	28976.552	59.972	5639.341
2020-09-25	2.044	28978.596	56.798	5696.139
2020-09-26	1.288	28979.884	53.738	5749.877
2020-09-27	0.851	28980.735	50.77	5800.647
2020-09-28	0.609	28981.344	47.859	5848.506
2020-09-29	0.47	28981.814	44.972	5893.478
2020-09-30	0.376	28982.19	42.084	5935.562
2020-10-01	0.298	28982.488	39.194	5974.756
2020-10-02	0.233	28982.721	36.355	6011.111
2020-10-03	0.177	28982.898	33.722	6044.833
2020-10-04	0.13	28983.028	31.401	6076.234
2020-10-05	0.0	28983.028	29.385	6105.619
2020-10-06	0.0	28983.028	27.651	6133.27
2020-10-07	0.0	28983.028	26.148	6159.418
2020-10-08	0.0	28983.028	24.751	6184.169
2020-10-09	0.0	28983.028	23.368	6207.537
2020-10-10	0.0	28983.028	21.983	6229.52
2020-10-11	0.0	28983.028	20.599	6250.119
2020-10-12	0.0	28983.028	19.213	6269.332
2020-10-13	0.0	28983.028	17.851	6287.183
2020-10-14	0.0	28983.028	16.61	6303.793
2020-10-15	0.0	28983.028	15.493	6319.286
2020-10-16	0.0	28983.028	14.49	6333.776
2020-10-17	0.0	28983.028	13.593	6347.369
2020-10-18	0.0	28983.028	12.78	6360.149
2020-10-19	0.0	28983.028	11.975	6372.124
2020-10-20	0.0	28983.028	11.169	6383.293
2020-10-21	0.0	28983.028	10.363	6393.656
2020-10-22	0.0	28983.028	9.556	6403.212
2020-10-23	0.0	28983.028	8.749	6411.961
2020-10-24	0.0	28983.028	7.94	6419.901
2020-10-25	0.0	28983.028	7.152	6427.053
2020-10-26	0.0	28983.028	6.418	6433.471
2020-10-27	0.0	28983.028	5.747	6439.218
2020-10-28	0.0	28983.028	5.134	6444.352
2020-10-29	0.0	28983.028	4.572	6448.924
2020-10-30	0.0	28983.028	4.043	6452.967
2020-10-31	0.0	28983.028	3.521	6456.488
2020-11-01	0.0	28983.028	2.996	6459.484
2020-11-02	0.0	28983.028	2.466	6461.95
2020-11-03	0.0	28983.028	1.927	6463.877
2020-11-04	0.0	28983.028	1.368	6465.245
2020-11-05	0.0	28983.028	0.88	6466.125
2020-11-06	0.0	28983.028	0.543	6466.668
2020-11-07	0.0	28983.028	0.342	6467.01
2020-11-08	0.0	28983.028	0.226	6467.236
2020-11-09	0.0	28983.028	0.162	6467.398
2020-11-10	0.0	28983.028	0.125	6467.523
2020-11-11	0.0	28983.028	0.1	6467.623
2020-11-12	0.0	28983.028	0.079	6467.702
2020-11-13	0.0	28983.028	0.062	6467.764
2020-11-14	0.0	28983.028	0.047	6467.811
