Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Highlands	1.673	44.954	105.954	0.499	10.736	15.736	1.587e-05	0.00042641	0.00100503	4.73e-06	0.00010184	0.00014926
Dixie	0.0	0.0	2.0	0.499	10.736	10.736	0.0	0.0	0.00011976	2.988e-05	0.00064287	0.00064287
Hillsborough	0.546	248.572	1061.572	0.238	11.966	27.966	3.8e-07	0.00017299	0.0007388	1.7e-07	8.33e-06	1.946e-05
Collier	10.194	264.314	640.314	1.33	26.702	31.702	2.693e-05	0.00069834	0.00169177	3.51e-06	7.055e-05	8.376e-05
Indian River	0.041	22.651	99.651	0.0	0.0	1.0	2.6e-07	0.0001439	0.00063305	0.0	0.0	6.35e-06
Santa Rosa	8.985	172.773	285.773	0.405	4.302	8.302	5.01e-05	0.00096333	0.00159339	2.26e-06	2.399e-05	4.629e-05
Citrus	2.683	69.556	141.556	0.975	19.582	26.582	1.814e-05	0.0004702	0.00095692	6.59e-06	0.00013237	0.00017969
Palm Beach	34.448	1045.103	2749.103	3.89	100.856	192.856	2.318e-05	0.00070333	0.00185008	2.62e-06	6.787e-05	0.00012979
Hamilton	0.0	0.0	2.0	3.89	100.856	100.856	0.0	0.0	0.00013976	0.00027184	0.00704794	0.00704794
Lee	19.981	518.05	1160.05	0.91	18.277	36.277	2.648e-05	0.00068651	0.00153728	1.21e-06	2.422e-05	4.807e-05
Washington	0.241	6.259	10.259	0.91	18.277	18.277	9.69e-06	0.00025157	0.00041234	3.658e-05	0.00073461	0.00073461
Sumter	3.018	78.25	190.25	0.0	0.0	9.0	2.344e-05	0.00060775	0.00147762	0.0	0.0	6.99e-05
Levy	0.241	6.259	13.259	0.0	0.0	0.0	5.91e-06	0.00015352	0.00032521	0.0	0.0	0.0
Hardee	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.00011011	0.0	0.0	0.0
Miami-Dade	210.936	5862.577	13321.577	7.819	186.068	295.068	7.638e-05	0.00212291	0.0048239	2.83e-06	6.738e-05	0.00010685
Saint Lucie	7.018	181.959	342.959	0.266	5.338	12.338	2.185e-05	0.00056662	0.00106798	8.3e-07	1.662e-05	3.842e-05
Martin	6.028	156.293	285.293	0.0	0.0	3.0	3.746e-05	0.00097129	0.00177298	0.0	0.0	1.864e-05
Desoto	0.891	23.095	45.095	0.0	0.0	3.0	2.377e-05	0.00061605	0.00120289	0.0	0.0	8.002e-05
Bradford	25.552	223.054	253.054	0.0	0.0	1.0	0.00092139	0.0080432	0.00912498	0.0	0.0	3.606e-05
Jefferson	0.0	0.0	12.0	0.0	0.0	1.0	0.0	0.0	0.00083987	0.0	0.0	6.999e-05
Bay	0.795	26.465	64.465	0.0	0.0	1.0	4.29e-06	0.00014283	0.00034792	0.0	0.0	5.4e-06
Nassau	0.79	25.392	59.392	0.0	0.0	0.0	9.2e-06	0.00029583	0.00069196	0.0	0.0	0.0
Baker	0.483	12.52	29.52	0.0	0.0	2.0	1.703e-05	0.00044154	0.00104109	0.0	0.0	7.053e-05
Monroe	0.05	18.685	82.685	0.0	0.0	3.0	6.7e-07	0.00024904	0.00110207	0.0	0.0	3.999e-05
Marion	4.09	99.647	200.647	0.0	0.0	3.0	1.136e-05	0.00027681	0.00055739	0.0	0.0	8.33e-06
Leon	12.668	232.294	382.294	0.0	0.0	1.0	4.331e-05	0.00079416	0.00130698	0.0	0.0	3.42e-06
Columbia	1.245	32.275	59.275	0.0	0.0	0.0	1.766e-05	0.00045778	0.00084074	0.0	0.0	0.0
Madison	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.00075557	0.0	0.0	0.0
Alachua	5.277	131.399	318.399	0.0	0.0	0.0	1.955e-05	0.00048674	0.00117945	0.0	0.0	0.0
Brevard	4.469	118.025	266.025	0.0	0.0	6.0	7.49e-06	0.00019775	0.00044572	0.0	0.0	1.005e-05
Liberty	0.604	15.649	17.649	0.0	0.0	0.0	7.142e-05	0.00185042	0.00208691	0.0	0.0	0.0
Walton	0.612	15.859	44.859	0.0	0.0	0.0	8.57e-06	0.00022219	0.0006285	0.0	0.0	0.0
Calhoun	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.00034277	0.0	0.0	0.0
Gadsden	13.084	118.48	154.48	0.0	0.0	0.0	0.00028509	0.0025816	0.00336602	0.0	0.0	0.0
Charlotte	5.851	135.964	254.964	0.0	0.0	5.0	3.163e-05	0.00073495	0.0013782	0.0	0.0	2.703e-05
Seminole	0.118	71.207	339.207	0.0	0.0	2.0	2.5e-07	0.00015221	0.00072506	0.0	0.0	4.28e-06
Hernando	1.893	53.456	124.456	0.0	0.0	2.0	9.92e-06	0.00028007	0.00065206	0.0	0.0	1.048e-05
Lake	5.054	131.041	293.041	0.0	0.0	4.0	1.418e-05	0.00036758	0.00082201	0.0	0.0	1.122e-05
Unassigned	0.0	0.677	2.677	0.0	0.0	29.0	N/A	N/A	N/A	N/A	N/A	N/A
Osceola	0.226	116.566	449.566	0.0	0.0	5.0	6.1e-07	0.00031676	0.00122168	0.0	0.0	1.359e-05
Broward	89.026	2308.203	5485.203	3.901	101.134	178.134	4.562e-05	0.00118293	0.00281111	2e-06	5.183e-05	9.129e-05
Clay	4.939	128.052	293.052	0.284	5.697	14.697	2.286e-05	0.00059264	0.00135627	1.31e-06	2.637e-05	6.802e-05
Wakulla	0.0	0.0	12.0	0.0	0.0	1.0	0.0	0.0	0.00036967	0.0	0.0	3.081e-05
Sarasota	7.241	191.243	421.243	0.716	14.915	28.915	1.697e-05	0.00044817	0.00098717	1.68e-06	3.495e-05	6.776e-05
Pinellas	0.0	67.174	546.174	0.0	4.55	17.55	0.0	6.888e-05	0.00056002	0.0	4.67e-06	1.799e-05
Putnam	3.297	57.398	99.398	0.0	0.0	1.0	4.446e-05	0.00077394	0.00134026	0.0	0.0	1.348e-05
Franklin	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.00017042	0.0	0.0	0.0
Hendry	3.579	62.292	84.292	0.0	0.0	0.0	8.612e-05	0.00149899	0.0020284	0.0	0.0	0.0
Gulf	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.187e-05	0.0	0.0	0.0
Lafayette	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00011452	0.0	0.0	0.0
Escambia	8.503	211.715	452.715	0.0	0.0	3.0	2.695e-05	0.00067097	0.00143476	0.0	0.0	9.51e-06
Union	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.00013387	0.0	0.0	0.0
Pasco	3.629	115.112	284.112	0.009	0.259	3.259	6.72e-06	0.00021332	0.00052649	2e-08	4.8e-07	6.04e-06
Okaloosa	2.771	71.85	174.85	0.0	0.0	1.0	1.337e-05	0.00034665	0.00084359	0.0	0.0	4.82e-06
Flagler	1.171	30.94	75.94	0.0	0.0	2.0	1.045e-05	0.00027608	0.00067763	0.0	0.0	1.785e-05
Holmes	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.00010269	0.0	0.0	0.0
Glades	0.604	15.649	20.649	0.0	0.0	1.0	4.401e-05	0.00114027	0.00150459	0.0	0.0	7.287e-05
Saint Johns	0.0	27.834	203.834	0.0	0.0	2.0	0.0	0.00010947	0.00080167	0.0	0.0	7.87e-06
