Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita
Alachua	551.0	10.0	0.0	541.0	0.00204107	3.704e-05	3333.33333333	1538.46153846	1000.0	0.0123466666667	0.00569846153846	0.003704
Osceola	848.0	21.0	0.0	827.0	0.00230441	5.707e-05	7000.0	3230.76923077	2100.0	0.0190233333333	0.00878	0.005707
Okaloosa	337.0	6.0	0.0	331.0	0.00162591	2.895e-05	2000.0	923.076923077	600.0	0.00965	0.00445384615385	0.002895
Jackson	320.0	1.0	0.0	319.0	0.00662457	2.07e-05	333.333333333	153.846153846	100.0	0.0069	0.00318461538462	0.00207
Seminole	790.0	13.0	0.0	777.0	0.00168864	2.779e-05	4333.33333333	2000.0	1300.0	0.00926333333333	0.00427538461538	0.002779
Gulf	9.0	0.0	0.0	9.0	0.00055679	0.0	45.0	18.0	11.25	0.00278395	0.00111358	0.0006959875
Lake	482.0	16.0	0.0	466.0	0.00135205	4.488e-05	5333.33333333	2461.53846154	1600.0	0.01496	0.00690461538462	0.004488
Volusia	946.0	48.0	0.0	898.0	0.00172773	8.767e-05	16000.0	7384.61538462	4800.0	0.0292233333333	0.0134876923077	0.008767
Duval	2032.0	57.0	0.0	1975.0	0.00213854	5.999e-05	19000.0	8769.23076923	5700.0	0.0199966666667	0.00922923076923	0.005999
Sumter	267.0	17.0	0.0	250.0	0.00207372	0.00013203	5666.66666667	2615.38461538	1700.0	0.04401	0.0203123076923	0.013203
Calhoun	66.0	5.0	0.0	61.0	0.00452458	0.00034277	1666.66666667	769.230769231	500.0	0.114256666667	0.0527338461538	0.034277
Liberty	220.0	1.0	0.0	219.0	0.02601395	0.00011825	333.333333333	153.846153846	100.0	0.0394166666667	0.0181923076923	0.011825
Hillsborough	3826.0	99.0	0.0	3727.0	0.0026627	6.89e-05	33000.0	15230.7692308	9900.0	0.0229666666667	0.0106	0.00689
Orange	3282.0	46.0	0.0	3236.0	0.00237715	3.332e-05	15333.3333333	7076.92307692	4600.0	0.0111066666667	0.00512615384615	0.003332
Brevard	565.0	15.0	0.0	550.0	0.00094664	2.513e-05	5000.0	2307.69230769	1500.0	0.00837666666667	0.00386615384615	0.002513
Miami-Dade	22197.0	826.0	0.0	21371.0	0.00803779	0.0002991	275333.333333	127076.923077	82600.0	0.0997	0.0460153846154	0.02991
Santa Rosa	293.0	9.0	0.0	284.0	0.00163369	5.018e-05	3000.0	1384.61538462	900.0	0.0167266666667	0.00772	0.005018
Flagler	207.0	5.0	0.0	202.0	0.00184711	4.462e-05	1666.66666667	769.230769231	500.0	0.0148733333333	0.00686461538462	0.004462
Desoto	387.0	10.0	0.0	377.0	0.01032303	0.00026674	3333.33333333	1538.46153846	1000.0	0.0889133333333	0.0410369230769	0.026674
Pasco	543.0	15.0	0.0	528.0	0.00100625	2.78e-05	5000.0	2307.69230769	1500.0	0.00926666666667	0.00427692307692	0.00278
Indian River	216.0	12.0	0.0	204.0	0.00137219	7.623e-05	4000.0	1846.15384615	1200.0	0.02541	0.0117276923077	0.007623
Levy	101.0	1.0	0.0	100.0	0.00247731	2.453e-05	333.333333333	153.846153846	100.0	0.00817666666667	0.00377384615385	0.002453
Columbia	183.0	2.0	0.0	181.0	0.00259563	2.837e-05	666.666666667	307.692307692	200.0	0.00945666666667	0.00436461538462	0.002837
Lee	2877.0	132.0	0.0	2745.0	0.00381257	0.00017492	44000.0	20307.6923077	13200.0	0.0583066666667	0.0269107692308	0.017492
Walton	150.0	9.0	0.0	141.0	0.00210158	0.00012609	3000.0	1384.61538462	900.0	0.04203	0.0193984615385	0.012609
Citrus	150.0	12.0	0.0	138.0	0.001014	8.112e-05	4000.0	1846.15384615	1200.0	0.02704	0.01248	0.008112
Martin	1218.0	18.0	0.0	1200.0	0.00756935	0.00011186	6000.0	2769.23076923	1800.0	0.0372866666667	0.0172092307692	0.011186
Okeechobee	189.0	0.0	0.0	189.0	0.00455016	0.0	945.0	378.0	236.25	0.0227508	0.00910032	0.0056877
Manatee	1421.0	115.0	0.0	1306.0	0.00359879	0.00029125	38333.3333333	17692.3076923	11500.0	0.0970833333333	0.0448076923077	0.029125
Union	38.0	1.0	0.0	37.0	0.00254351	6.693e-05	333.333333333	153.846153846	100.0	0.02231	0.0102969230769	0.006693
Hernando	141.0	5.0	0.0	136.0	0.00073874	2.62e-05	1666.66666667	769.230769231	500.0	0.00873333333333	0.00403076923077	0.00262
Hamilton	272.0	2.0	0.0	270.0	0.01900769	0.00013976	666.666666667	307.692307692	200.0	0.0465866666667	0.0215015384615	0.013976
Nassau	93.0	1.0	0.0	92.0	0.00108351	1.165e-05	333.333333333	153.846153846	100.0	0.00388333333333	0.00179230769231	0.001165
Broward	9086.0	358.0	0.0	8728.0	0.00465648	0.00018347	119333.333333	55076.9230769	35800.0	0.0611566666667	0.0282261538462	0.018347
Putnam	191.0	6.0	0.0	185.0	0.00257541	8.09e-05	2000.0	923.076923077	600.0	0.0269666666667	0.0124461538462	0.00809
Saint Lucie	926.0	36.0	0.0	890.0	0.00288359	0.0001121	12000.0	5538.46153846	3600.0	0.0373666666667	0.0172461538462	0.01121
Suwannee	200.0	18.0	0.0	182.0	0.00452581	0.00040732	6000.0	2769.23076923	1800.0	0.135773333333	0.0626646153846	0.040732
Bradford	52.0	2.0	0.0	50.0	0.00187509	7.212e-05	666.666666667	307.692307692	200.0	0.02404	0.0110953846154	0.007212
Hendry	650.0	20.0	0.0	630.0	0.01564154	0.00048128	6666.66666667	3076.92307692	2000.0	0.160426666667	0.0740430769231	0.048128
Highlands	172.0	9.0	0.0	163.0	0.00163151	8.537e-05	3000.0	1384.61538462	900.0	0.0284566666667	0.0131338461538	0.008537
Gadsden	305.0	4.0	0.0	301.0	0.00664575	8.716e-05	1333.33333333	615.384615385	400.0	0.0290533333333	0.0134092307692	0.008716
Baker	30.0	4.0	0.0	26.0	0.00105801	0.00014107	1333.33333333	615.384615385	400.0	0.0470233333333	0.0217030769231	0.014107
Bay	153.0	4.0	0.0	149.0	0.00082575	2.159e-05	1333.33333333	615.384615385	400.0	0.00719666666667	0.00332153846154	0.002159
Gilchrist	26.0	0.0	0.0	26.0	0.00142419	0.0	130.0	52.0	32.5	0.00712095	0.00284838	0.0017802375
Taylor	59.0	0.0	0.0	59.0	0.00272858	0.0	295.0	118.0	73.75	0.0136429	0.00545716	0.003410725
Glades	116.0	1.0	0.0	115.0	0.00845235	7.287e-05	333.333333333	153.846153846	100.0	0.02429	0.0112107692308	0.007287
Franklin	2.0	0.0	0.0	2.0	0.00017042	0.0	10.0	4.0	2.5	0.0008521	0.00034084	0.000213025
Pinellas	2389.0	102.0	0.0	2287.0	0.00244955	0.00010459	34000.0	15692.3076923	10200.0	0.0348633333333	0.0160907692308	0.010459
Clay	440.0	32.0	0.0	408.0	0.00203636	0.0001481	10666.6666667	4923.07692308	3200.0	0.0493666666667	0.0227846153846	0.01481
Hardee	205.0	0.0	0.0	205.0	0.00752432	0.0	1025.0	410.0	256.25	0.0376216	0.01504864	0.0094054
Saint Johns	315.0	6.0	0.0	309.0	0.00123888	2.36e-05	2000.0	923.076923077	600.0	0.00786666666667	0.00363076923077	0.00236
Holmes	31.0	0.0	0.0	31.0	0.00159162	0.0	155.0	62.0	38.75	0.0079581	0.00318324	0.001989525
Charlotte	537.0	73.0	0.0	464.0	0.00290273	0.0003946	24333.3333333	11230.7692308	7300.0	0.131533333333	0.0607076923077	0.03946
Madison	82.0	3.0	0.0	79.0	0.0044255	0.00016191	1000.0	461.538461538	300.0	0.05397	0.0249092307692	0.016191
Palm Beach	9015.0	429.0	0.0	8586.0	0.00606686	0.00028871	143000.0	66000.0	42900.0	0.0962366666667	0.0444169230769	0.028871
Dixie	60.0	3.0	0.0	57.0	0.00359281	0.00017964	1000.0	461.538461538	300.0	0.05988	0.0276369230769	0.017964
Polk	1509.0	75.0	0.0	1434.0	0.00213133	0.00010593	25000.0	11538.4615385	7500.0	0.03531	0.0162969230769	0.010593
Washington	91.0	9.0	0.0	82.0	0.00365756	0.00036174	3000.0	1384.61538462	900.0	0.12058	0.0556523076923	0.036174
Leon	474.0	8.0	0.0	466.0	0.0016205	2.735e-05	2666.66666667	1230.76923077	800.0	0.00911666666667	0.00420769230769	0.002735
Sarasota	780.0	91.0	0.0	689.0	0.00182791	0.00021326	30333.3333333	14000.0	9100.0	0.0710866666667	0.0328092307692	0.021326
Jefferson	32.0	4.0	0.0	28.0	0.00223964	0.00027996	1333.33333333	615.384615385	400.0	0.09332	0.0430707692308	0.027996
Marion	315.0	8.0	0.0	307.0	0.00087506	2.222e-05	2666.66666667	1230.76923077	800.0	0.00740666666667	0.00341846153846	0.002222
Wakulla	35.0	1.0	0.0	34.0	0.00107822	3.081e-05	333.333333333	153.846153846	100.0	0.01027	0.00474	0.003081
Escambia	999.0	38.0	0.0	961.0	0.00316606	0.00012043	12666.6666667	5846.15384615	3800.0	0.0401433333333	0.0185276923077	0.012043
Collier	2592.0	60.0	0.0	2532.0	0.0068483	0.00015853	20000.0	9230.76923077	6000.0	0.0528433333333	0.0243892307692	0.015853
Unassigned	97.0	0.0	0.0	97.0	N/A	N/A	485.0	194.0	121.25	N/A	N/A	N/A
Lafayette	13.0	0.0	0.0	13.0	0.00148878	0.0	65.0	26.0	16.25	0.0074439	0.00297756	0.001860975
Monroe	130.0	4.0	0.0	126.0	0.00173271	5.331e-05	1333.33333333	615.384615385	400.0	0.01777	0.00820153846154	0.005331
