Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-28	43.689	1313.689	1.396	20.396
2020-07-29	44.7	1358.389	1.566	21.962
2020-07-30	45.273	1403.662	1.737	23.699
2020-07-31	45.436	1449.098	1.909	25.608
2020-08-01	45.35	1494.448	2.081	27.689
2020-08-02	44.933	1539.381	2.261	29.95
2020-08-03	44.349	1583.73	2.459	32.409
2020-08-04	43.68	1627.41	2.656	35.065
2020-08-05	42.838	1670.248	2.847	37.912
2020-08-06	41.827	1712.075	3.009	40.921
2020-08-07	40.736	1752.811	3.135	44.056
2020-08-08	39.649	1792.46	3.208	47.264
2020-08-09	38.568	1831.028	3.249	50.513
2020-08-10	37.573	1868.601	3.261	53.774
2020-08-11	36.661	1905.262	3.254	57.028
2020-08-12	35.733	1940.995	3.225	60.253
2020-08-13	34.719	1975.714	3.183	63.436
2020-08-14	33.618	2009.332	3.135	66.571
2020-08-15	32.432	2041.764	3.074	69.645
2020-08-16	31.164	2072.928	3.002	72.647
2020-08-17	29.897	2102.825	2.923	75.57
2020-08-18	28.629	2131.454	2.845	78.415
2020-08-19	27.374	2158.828	2.768	81.183
2020-08-20	26.145	2184.973	2.696	83.879
2020-08-21	24.953	2209.926	2.631	86.51
2020-08-22	23.776	2233.702	2.564	89.074
2020-08-23	22.629	2256.331	2.492	91.566
2020-08-24	21.511	2277.842	2.413	93.979
2020-08-25	20.434	2298.276	2.327	96.306
2020-08-26	19.386	2317.662	2.236	98.542
2020-08-27	18.387	2336.049	2.145	100.687
2020-08-28	17.435	2353.484	2.054	102.741
2020-08-29	16.527	2370.011	1.964	104.705
2020-08-30	15.653	2385.664	1.876	106.581
2020-08-31	14.809	2400.473	1.791	108.372
2020-09-01	13.991	2414.464	1.706	110.078
2020-09-02	13.189	2427.653	1.624	111.702
2020-09-03	12.394	2440.047	1.544	113.246
2020-09-04	11.598	2451.645	1.466	114.712
2020-09-05	10.801	2462.446	1.391	116.103
2020-09-06	10.019	2472.465	1.32	117.423
2020-09-07	9.293	2481.758	1.251	118.674
2020-09-08	8.654	2490.412	1.186	119.86
2020-09-09	8.098	2498.51	1.123	120.983
2020-09-10	7.62	2506.13	1.063	122.046
2020-09-11	7.206	2513.336	1.004	123.05
2020-09-12	6.821	2520.157	0.946	123.996
2020-09-13	6.44	2526.597	0.889	124.885
2020-09-14	6.058	2532.655	0.832	125.717
2020-09-15	5.677	2538.332	0.775	126.492
2020-09-16	5.295	2543.627	0.719	127.211
2020-09-17	4.919	2548.546	0.667	127.878
2020-09-18	4.578	2553.124	0.621	128.499
2020-09-19	4.27	2557.394	0.581	129.08
2020-09-20	3.993	2561.387	0.547	129.627
2020-09-21	3.746	2565.133	0.517	130.144
2020-09-22	3.522	2568.655	0.489	130.633
2020-09-23	3.3	2571.955	0.462	131.095
2020-09-24	3.078	2575.033	0.435	131.53
2020-09-25	2.856	2577.889	0.407	131.937
2020-09-26	2.634	2580.523	0.38	132.317
2020-09-27	2.411	2582.934	0.353	132.67
2020-09-28	2.188	2585.122	0.328	132.998
2020-09-29	1.971	2587.093	0.306	133.304
2020-09-30	1.769	2588.862	0.287	133.591
2020-10-01	1.584	2590.446	0.269	133.86
2020-10-02	1.415	2591.861	0.253	134.113
2020-10-03	1.26	2593.121	0.237	134.35
2020-10-04	1.114	2594.235	0.221	134.571
2020-10-05	0.97	2595.205	0.205	134.776
2020-10-06	0.826	2596.031	0.189	134.965
2020-10-07	0.68	2596.711	0.173	135.138
2020-10-08	0.531	2597.242	0.157	135.295
2020-10-09	0.377	2597.619	0.141	135.436
2020-10-10	0.243	2597.862	0.127	135.563
2020-10-11	0.15	2598.012	0.114	135.677
2020-10-12	0.094	2598.106	0.102	135.779
2020-10-13	0.062	2598.168	0.09	135.869
2020-10-14	0.045	2598.213	0.08	135.949
2020-10-15	0.034	2598.247	0.07	136.019
2020-10-16	0.027	2598.274	0.059	136.078
2020-10-17	0.022	2598.296	0.049	136.127
2020-10-18	0.017	2598.313	0.038	136.165
2020-10-19	0.013	2598.326	0.027	136.192
2020-10-20	0.01	2598.336	0.017	136.209
2020-10-21	0.0	2598.336	0.011	136.22
2020-10-22	0.0	2598.336	0.007	136.227
2020-10-23	0.0	2598.336	0.004	136.231
2020-10-24	0.0	2598.336	0.003	136.234
2020-10-25	0.0	2598.336	0.002	136.236
2020-10-26	0.0	2598.336	0.002	136.238
2020-10-27	0.0	2598.336	0.002	136.24
2020-10-28	0.0	2598.336	0.001	136.241
2020-10-29	0.0	2598.336	0.001	136.242
