Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-02	2.773	113.773	0.0	1.0
2020-08-03	3.223	116.996	0.0	1.0
2020-08-04	3.712	120.708	0.0	1.0
2020-08-05	4.249	124.957	0.0	1.0
2020-08-06	4.819	129.776	0.0	1.0
2020-08-07	5.407	135.183	0.0	1.0
2020-08-08	6.0	141.183	0.0	1.0
2020-08-09	6.591	147.774	0.0	1.0
2020-08-10	7.187	154.961	0.0	1.0
2020-08-11	7.807	162.768	0.0	1.0
2020-08-12	8.49	171.258	0.0	1.0
2020-08-13	9.172	180.43	0.0	1.0
2020-08-14	9.832	190.262	0.0	1.0
2020-08-15	10.392	200.654	0.0	1.0
2020-08-16	10.827	211.481	0.0	1.0
2020-08-17	11.078	222.559	0.0	1.0
2020-08-18	11.22	233.779	0.0	1.0
2020-08-19	11.26	245.039	0.0	1.0
2020-08-20	11.239	256.278	0.0	1.0
2020-08-21	11.135	267.413	0.0	1.0
2020-08-22	10.991	278.404	0.0	1.0
2020-08-23	10.825	289.229	0.0	1.0
2020-08-24	10.616	299.845	0.0	1.0
2020-08-25	10.366	310.211	0.0	1.0
2020-08-26	10.095	320.306	0.0	1.0
2020-08-27	9.826	330.132	0.0	1.0
2020-08-28	9.558	339.69	0.0	1.0
2020-08-29	9.311	349.001	0.0	1.0
2020-08-30	9.085	358.086	0.0	1.0
2020-08-31	8.855	366.941	0.0	1.0
2020-09-01	8.604	375.545	0.0	1.0
2020-09-02	8.331	383.876	0.0	1.0
2020-09-03	8.037	391.913	0.0	1.0
2020-09-04	7.723	399.636	0.0	1.0
2020-09-05	7.409	407.045	0.0	1.0
2020-09-06	7.095	414.14	0.0	1.0
2020-09-07	6.784	420.924	0.0	1.0
2020-09-08	6.479	427.403	0.0	1.0
2020-09-09	6.184	433.587	0.0	1.0
2020-09-10	5.892	439.479	0.0	1.0
2020-09-11	5.608	445.087	0.0	1.0
2020-09-12	5.331	450.418	0.0	1.0
2020-09-13	5.064	455.482	0.0	1.0
2020-09-14	4.804	460.286	0.0	1.0
2020-09-15	4.557	464.843	0.0	1.0
2020-09-16	4.321	469.164	0.0	1.0
2020-09-17	4.096	473.26	0.0	1.0
2020-09-18	3.879	477.139	0.0	1.0
2020-09-19	3.67	480.809	0.0	1.0
2020-09-20	3.467	484.276	0.0	1.0
2020-09-21	3.269	487.545	0.0	1.0
2020-09-22	3.071	490.616	0.0	1.0
2020-09-23	2.874	493.49	0.0	1.0
2020-09-24	2.677	496.167	0.0	1.0
2020-09-25	2.483	498.65	0.0	1.0
2020-09-26	2.303	500.953	0.0	1.0
2020-09-27	2.145	503.098	0.0	1.0
2020-09-28	2.007	505.105	0.0	1.0
2020-09-29	1.888	506.993	0.0	1.0
2020-09-30	1.786	508.779	0.0	1.0
2020-10-01	1.69	510.469	0.0	1.0
2020-10-02	1.596	512.065	0.0	1.0
2020-10-03	1.501	513.566	0.0	1.0
2020-10-04	1.407	514.973	0.0	1.0
2020-10-05	1.312	516.285	0.0	1.0
2020-10-06	1.219	517.504	0.0	1.0
2020-10-07	1.134	518.638	0.0	1.0
2020-10-08	1.058	519.696	0.0	1.0
2020-10-09	0.99	520.686	0.0	1.0
2020-10-10	0.928	521.614	0.0	1.0
2020-10-11	0.873	522.487	0.0	1.0
2020-10-12	0.818	523.305	0.0	1.0
2020-10-13	0.763	524.068	0.0	1.0
2020-10-14	0.708	524.776	0.0	1.0
2020-10-15	0.653	525.429	0.0	1.0
2020-10-16	0.598	526.027	0.0	1.0
2020-10-17	0.542	526.569	0.0	1.0
2020-10-18	0.488	527.057	0.0	1.0
2020-10-19	0.438	527.495	0.0	1.0
2020-10-20	0.393	527.888	0.0	1.0
2020-10-21	0.351	528.239	0.0	1.0
2020-10-22	0.312	528.551	0.0	1.0
2020-10-23	0.276	528.827	0.0	1.0
2020-10-24	0.24	529.067	0.0	1.0
2020-10-25	0.205	529.272	0.0	1.0
2020-10-26	0.168	529.44	0.0	1.0
2020-10-27	0.132	529.572	0.0	1.0
2020-10-28	0.093	529.665	0.0	1.0
2020-10-29	0.06	529.725	0.0	1.0
2020-10-30	0.037	529.762	0.0	1.0
2020-10-31	0.023	529.785	0.0	1.0
2020-11-01	0.015	529.8	0.0	1.0
2020-11-02	0.011	529.811	0.0	1.0
2020-11-03	0.009	529.82	0.0	1.0
2020-11-04	0.007	529.827	0.0	1.0
2020-11-05	0.005	529.832	0.0	1.0
2020-11-06	0.004	529.836	0.0	1.0
2020-11-07	0.003	529.839	0.0	1.0
2020-11-08	0.002	529.841	0.0	1.0
