Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-18	32.467	753.467	0.876	25.876
2020-04-19	32.168	785.635	0.951	26.827
2020-04-20	31.75	817.385	1.034	27.861
2020-04-21	31.271	848.656	1.117	28.978
2020-04-22	30.669	879.325	1.198	30.176
2020-04-23	29.944	909.269	1.266	31.442
2020-04-24	29.164	938.433	1.319	32.761
2020-04-25	28.385	966.818	1.35	34.111
2020-04-26	27.611	994.429	1.367	35.478
2020-04-27	26.899	1021.328	1.372	36.85
2020-04-28	26.246	1047.574	1.369	38.219
2020-04-29	25.582	1073.156	1.357	39.576
2020-04-30	24.856	1098.012	1.339	40.915
2020-05-01	24.067	1122.079	1.319	42.234
2020-05-02	23.218	1145.297	1.293	43.527
2020-05-03	22.311	1167.608	1.263	44.79
2020-05-04	21.403	1189.011	1.23	46.02
2020-05-05	20.496	1209.507	1.197	47.217
2020-05-06	19.597	1229.104	1.164	48.381
2020-05-07	18.717	1247.821	1.134	49.515
2020-05-08	17.864	1265.685	1.107	50.622
2020-05-09	17.022	1282.707	1.079	51.701
2020-05-10	16.2	1298.907	1.048	52.749
2020-05-11	15.4	1314.307	1.015	53.764
2020-05-12	14.629	1328.936	0.979	54.743
2020-05-13	13.879	1342.815	0.941	55.684
2020-05-14	13.164	1355.979	0.903	56.587
2020-05-15	12.482	1368.461	0.864	57.451
2020-05-16	11.832	1380.293	0.826	58.277
2020-05-17	11.206	1391.499	0.789	59.066
2020-05-18	10.602	1402.101	0.753	59.819
2020-05-19	10.017	1412.118	0.718	60.537
2020-05-20	9.442	1421.56	0.683	61.22
2020-05-21	8.873	1430.433	0.649	61.869
2020-05-22	8.303	1438.736	0.617	62.486
2020-05-23	7.733	1446.469	0.585	63.071
2020-05-24	7.173	1453.642	0.555	63.626
2020-05-25	6.653	1460.295	0.526	64.152
2020-05-26	6.195	1466.49	0.499	64.651
2020-05-27	5.797	1472.287	0.473	65.124
2020-05-28	5.455	1477.742	0.447	65.571
2020-05-29	5.159	1482.901	0.422	65.993
2020-05-30	4.883	1487.784	0.398	66.391
2020-05-31	4.61	1492.394	0.374	66.765
2020-06-01	4.337	1496.731	0.35	67.115
2020-06-02	4.064	1500.795	0.326	67.441
2020-06-03	3.791	1504.586	0.302	67.743
2020-06-04	3.522	1508.108	0.281	68.024
2020-06-05	3.277	1511.385	0.261	68.285
