Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-16	7.449	35.562	2.062	85.061
2020-08-17	7.381	42.943	2.035	87.096
2020-08-18	7.285	50.228	2.005	89.101
2020-08-19	7.175	57.403	1.966	91.067
2020-08-20	7.037	64.44	1.92	92.987
2020-08-21	6.871	71.311	1.87	94.857
2020-08-22	6.692	78.003	1.82	96.677
2020-08-23	6.513	84.516	1.77	98.447
2020-08-24	6.335	90.851	1.724	100.171
2020-08-25	6.172	97.023	1.683	101.854
2020-08-26	6.022	103.045	1.64	103.494
2020-08-27	5.87	108.915	1.593	105.087
2020-08-28	5.703	114.618	1.543	106.63
2020-08-29	5.522	120.14	1.488	108.118
2020-08-30	5.327	125.467	1.43	109.548
2020-08-31	5.119	130.586	1.372	110.92
2020-09-01	4.911	135.497	1.314	112.234
2020-09-02	4.703	140.2	1.256	113.49
2020-09-03	4.497	144.697	1.2	114.69
2020-09-04	4.295	148.992	1.145	115.835
2020-09-05	4.099	153.091	1.091	116.926
2020-09-06	3.906	156.997	1.039	117.965
2020-09-07	3.717	160.714	0.987	118.952
2020-09-08	3.533	164.247	0.938	119.89
2020-09-09	3.357	167.604	0.89	120.78
2020-09-10	3.184	170.788	0.844	121.624
2020-09-11	3.02	173.808	0.8	122.424
2020-09-12	2.864	176.672	0.759	123.183
2020-09-13	2.715	179.387	0.718	123.901
2020-09-14	2.571	181.958	0.68	124.581
2020-09-15	2.433	184.391	0.642	125.223
2020-09-16	2.298	186.689	0.605	125.828
2020-09-17	2.167	188.856	0.569	126.397
2020-09-18	2.036	190.892	0.532	126.929
2020-09-19	1.905	192.797	0.496	127.425
2020-09-20	1.774	194.571	0.46	127.885
2020-09-21	1.646	196.217	0.427	128.312
2020-09-22	1.527	197.744	0.397	128.709
2020-09-23	1.421	199.165	0.372	129.081
2020-09-24	1.33	200.495	0.35	129.431
2020-09-25	1.252	201.747	0.331	129.762
2020-09-26	1.184	202.931	0.313	130.075
2020-09-27	1.12	204.051	0.296	130.371
2020-09-28	1.058	205.109	0.278	130.649
2020-09-29	0.995	206.104	0.261	130.91
2020-09-30	0.932	207.036	0.243	131.153
2020-10-01	0.87	207.906	0.226	131.379
2020-10-02	0.808	208.714	0.21	131.589
2020-10-03	0.752	209.466	0.196	131.785
2020-10-04	0.701	210.167	0.183	131.968
2020-10-05	0.656	210.823	0.172	132.14
2020-10-06	0.615	211.438	0.162	132.302
2020-10-07	0.579	212.017	0.151	132.453
2020-10-08	0.542	212.559	0.141	132.594
2020-10-09	0.506	213.065	0.131	132.725
2020-10-10	0.469	213.534	0.121	132.846
2020-10-11	0.433	213.967	0.111	132.957
2020-10-12	0.396	214.363	0.1	133.057
2020-10-13	0.359	214.722	0.09	133.147
2020-10-14	0.324	215.046	0.081	133.228
2020-10-15	0.291	215.337	0.073	133.301
2020-10-16	0.26	215.597	0.065	133.366
2020-10-17	0.232	215.829	0.058	133.424
2020-10-18	0.207	216.036	0.051	133.475
2020-10-19	0.183	216.219	0.045	133.52
2020-10-20	0.159	216.378	0.038	133.558
2020-10-21	0.136	216.514	0.031	133.589
2020-10-22	0.112	216.626	0.024	133.613
2020-10-23	0.087	216.713	0.017	133.63
2020-10-24	0.062	216.775	0.011	133.641
2020-10-25	0.04	216.815	0.007	133.648
2020-10-26	0.025	216.84	0.004	133.652
2020-10-27	0.015	216.855	0.003	133.655
2020-10-28	0.01	216.865	0.002	133.657
2020-10-29	0.007	216.872	0.002	133.659
2020-10-30	0.006	216.878	0.001	133.66
2020-10-31	0.005	216.883	0.001	133.661
2020-11-01	0.004	216.887	0.001	133.662
2020-11-02	0.003	216.89	0.001	133.663
2020-11-03	0.002	216.892	0.0	133.663
2020-11-04	0.002	216.894	0.0	133.663
