Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-17	10.551	780.551	0.0	47.0
2020-08-18	10.454	791.005	0.0	47.0
2020-08-19	10.318	801.323	0.0	47.0
2020-08-20	10.163	811.486	0.0	47.0
2020-08-21	9.967	821.453	0.0	47.0
2020-08-22	9.731	831.184	0.0	47.0
2020-08-23	9.478	840.662	0.0	47.0
2020-08-24	9.225	849.887	0.0	47.0
2020-08-25	8.973	858.86	0.0	47.0
2020-08-26	8.742	867.602	0.0	47.0
2020-08-27	8.529	876.131	0.0	47.0
2020-08-28	8.314	884.445	0.0	47.0
2020-08-29	8.078	892.523	0.0	47.0
2020-08-30	7.822	900.345	0.0	47.0
2020-08-31	7.546	907.891	0.0	47.0
2020-09-01	7.251	915.142	0.0	47.0
2020-09-02	6.956	922.098	0.0	47.0
2020-09-03	6.661	928.759	0.0	47.0
2020-09-04	6.369	935.128	0.0	47.0
2020-09-05	6.083	941.211	0.0	47.0
2020-09-06	5.806	947.017	0.0	47.0
2020-09-07	5.532	952.549	0.0	47.0
2020-09-08	5.265	957.814	0.0	47.0
2020-09-09	5.005	962.819	0.0	47.0
2020-09-10	4.754	967.573	0.0	47.0
2020-09-11	4.51	972.083	0.0	47.0
2020-09-12	4.278	976.361	0.0	47.0
2020-09-13	4.056	980.417	0.0	47.0
2020-09-14	3.845	984.262	0.0	47.0
2020-09-15	3.642	987.904	0.0	47.0
2020-09-16	3.446	991.35	0.0	47.0
2020-09-17	3.255	994.605	0.0	47.0
2020-09-18	3.069	997.674	0.0	47.0
2020-09-19	2.884	1000.558	0.0	47.0
2020-09-20	2.698	1003.256	0.0	47.0
2020-09-21	2.513	1005.769	0.0	47.0
2020-09-22	2.331	1008.1	0.0	47.0
2020-09-23	2.162	1010.262	0.0	47.0
2020-09-24	2.013	1012.275	0.0	47.0
2020-09-25	1.884	1014.159	0.0	47.0
2020-09-26	1.773	1015.932	0.0	47.0
2020-09-27	1.677	1017.609	0.0	47.0
2020-09-28	1.587	1019.196	0.0	47.0
2020-09-29	1.498	1020.694	0.0	47.0
2020-09-30	1.41	1022.104	0.0	47.0
2020-10-01	1.321	1023.425	0.0	47.0
2020-10-02	1.232	1024.657	0.0	47.0
2020-10-03	1.145	1025.802	0.0	47.0
2020-10-04	1.065	1026.867	0.0	47.0
2020-10-05	0.993	1027.86	0.0	47.0
2020-10-06	0.929	1028.789	0.0	47.0
2020-10-07	0.872	1029.661	0.0	47.0
2020-10-08	0.819	1030.48	0.0	47.0
2020-10-09	0.768	1031.248	0.0	47.0
2020-10-10	0.716	1031.964	0.0	47.0
2020-10-11	0.664	1032.628	0.0	47.0
2020-10-12	0.613	1033.241	0.0	47.0
2020-10-13	0.561	1033.802	0.0	47.0
2020-10-14	0.509	1034.311	0.0	47.0
2020-10-15	0.459	1034.77	0.0	47.0
2020-10-16	0.411	1035.181	0.0	47.0
2020-10-17	0.369	1035.55	0.0	47.0
2020-10-18	0.329	1035.879	0.0	47.0
2020-10-19	0.293	1036.172	0.0	47.0
2020-10-20	0.259	1036.431	0.0	47.0
2020-10-21	0.226	1036.657	0.0	47.0
2020-10-22	0.192	1036.849	0.0	47.0
2020-10-23	0.158	1037.007	0.0	47.0
2020-10-24	0.124	1037.131	0.0	47.0
2020-10-25	0.088	1037.219	0.0	47.0
2020-10-26	0.056	1037.275	0.0	47.0
2020-10-27	0.035	1037.31	0.0	47.0
2020-10-28	0.022	1037.332	0.0	47.0
2020-10-29	0.014	1037.346	0.0	47.0
2020-10-30	0.01	1037.356	0.0	47.0
2020-10-31	0.008	1037.364	0.0	47.0
2020-11-01	0.006	1037.37	0.0	47.0
2020-11-02	0.005	1037.375	0.0	47.0
2020-11-03	0.004	1037.379	0.0	47.0
2020-11-04	0.003	1037.382	0.0	47.0
2020-11-05	0.002	1037.384	0.0	47.0
2020-11-06	0.0	1037.384	0.0	47.0
2020-11-07	0.0	1037.384	0.0	47.0
2020-11-08	0.0	1037.384	0.0	47.0
2020-11-09	0.0	1037.384	0.0	47.0
2020-11-10	0.0	1037.384	0.0	47.0
2020-11-11	0.0	1037.384	0.0	47.0
2020-11-12	0.0	1037.384	0.0	47.0
2020-11-13	0.0	1037.384	0.0	47.0
2020-11-14	0.0	1037.384	0.0	47.0
