Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-04	4.178	174.178	0.004	13.004
2020-06-05	4.139	178.317	0.005	13.009
2020-06-06	4.086	182.403	0.005	13.014
2020-06-07	4.024	186.427	0.006	13.02
2020-06-08	3.946	190.373	0.006	13.026
2020-06-09	3.853	194.226	0.006	13.032
2020-06-10	3.753	197.979	0.007	13.039
2020-06-11	3.653	201.632	0.007	13.046
2020-06-12	3.553	205.185	0.007	13.053
2020-06-13	3.461	208.646	0.007	13.06
2020-06-14	3.377	212.023	0.007	13.067
2020-06-15	3.292	215.315	0.007	13.074
2020-06-16	3.198	218.513	0.007	13.081
2020-06-17	3.097	221.61	0.007	13.088
2020-06-18	2.988	224.598	0.007	13.095
2020-06-19	2.871	227.469	0.006	13.101
2020-06-20	2.754	230.223	0.006	13.107
2020-06-21	2.637	232.86	0.006	13.113
2020-06-22	2.522	235.382	0.006	13.119
2020-06-23	2.409	237.791	0.006	13.125
2020-06-24	2.299	240.09	0.006	13.131
2020-06-25	2.19	242.28	0.005	13.136
2020-06-26	2.085	244.365	0.005	13.141
2020-06-27	1.982	246.347	0.005	13.146
2020-06-28	1.882	248.229	0.005	13.151
2020-06-29	1.786	250.015	0.005	13.156
2020-06-30	1.694	251.709	0.005	13.161
2020-07-01	1.606	253.315	0.004	13.165
2020-07-02	1.523	254.838	0.004	13.169
2020-07-03	1.442	256.28	0.004	13.173
2020-07-04	1.364	257.644	0.004	13.177
2020-07-05	1.289	258.933	0.004	13.181
2020-07-06	1.215	260.148	0.003	13.184
2020-07-07	1.142	261.29	0.003	13.187
2020-07-08	1.068	262.358	0.003	13.19
2020-07-09	0.995	263.353	0.003	13.193
2020-07-10	0.923	264.276	0.003	13.196
2020-07-11	0.856	265.132	0.003	13.199
2020-07-12	0.797	265.929	0.003	13.202
2020-07-13	0.746	266.675	0.002	13.204
2020-07-14	0.702	267.377	0.002	13.206
2020-07-15	0.664	268.041	0.002	13.208
2020-07-16	0.628	268.669	0.002	13.21
2020-07-17	0.593	269.262	0.002	13.212
2020-07-18	0.558	269.82	0.002	13.214
2020-07-19	0.523	270.343	0.002	13.216
2020-07-20	0.488	270.831	0.002	13.218
2020-07-21	0.453	271.284	0.001	13.219
2020-07-22	0.422	271.706	0.001	13.22
2020-07-23	0.393	272.099	0.001	13.221
2020-07-24	0.368	272.467	0.001	13.222
2020-07-25	0.345	272.812	0.001	13.223
2020-07-26	0.324	273.136	0.001	13.224
2020-07-27	0.304	273.44	0.001	13.225
2020-07-28	0.284	273.724	0.001	13.226
2020-07-29	0.263	273.987	0.001	13.227
2020-07-30	0.243	274.23	0.001	13.228
2020-07-31	0.222	274.452	0.001	13.229
2020-08-01	0.202	274.654	0.001	13.23
2020-08-02	0.182	274.836	0.001	13.231
2020-08-03	0.163	274.999	0.001	13.232
2020-08-04	0.146	275.145	0.001	13.233
2020-08-05	0.13	275.275	0.001	13.234
2020-08-06	0.116	275.391	0.001	13.235
2020-08-07	0.103	275.494	0.0	13.235
2020-08-08	0.089	275.583	0.0	13.235
2020-08-09	0.076	275.659	0.0	13.235
2020-08-10	0.063	275.722	0.0	13.235
2020-08-11	0.049	275.771	0.0	13.235
2020-08-12	0.035	275.806	0.0	13.235
2020-08-13	0.022	275.828	0.0	13.235
2020-08-14	0.014	275.842	0.0	13.235
2020-08-15	0.009	275.851	0.0	13.235
2020-08-16	0.006	275.857	0.0	13.235
2020-08-17	0.004	275.861	0.0	13.235
2020-08-18	0.003	275.864	0.0	13.235
2020-08-19	0.003	275.867	0.0	13.235
2020-08-20	0.002	275.869	0.0	13.235
2020-08-21	0.002	275.871	0.0	13.235
2020-08-22	0.001	275.872	0.0	13.235
2020-08-23	0.001	275.873	0.0	13.235
2020-08-24	0.0	275.873	0.0	13.235
2020-08-25	0.0	275.873	0.0	13.235
2020-08-26	0.0	275.873	0.0	13.235
2020-08-27	0.0	275.873	0.0	13.235
2020-08-28	0.0	275.873	0.0	13.235
2020-08-29	0.0	275.873	0.0	13.235
2020-08-30	0.0	275.873	0.0	13.235
2020-08-31	0.0	275.873	0.0	13.235
2020-09-01	0.0	275.873	0.0	13.235
