Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-19	0.36	20.36	0.0	1.0
2020-05-20	0.444	20.804	0.0	1.0
2020-05-21	0.546	21.35	0.0	1.0
2020-05-22	0.66	22.01	0.0	1.0
2020-05-23	0.782	22.792	0.0	1.0
2020-05-24	0.923	23.715	0.0	1.0
2020-05-25	1.09	24.805	0.0	1.0
2020-05-26	1.288	26.093	0.0	1.0
2020-05-27	1.521	27.614	0.0	1.0
2020-05-28	1.793	29.407	0.0	1.0
2020-05-29	2.1	31.507	0.0	1.0
2020-05-30	2.441	33.948	0.0	1.0
2020-05-31	2.812	36.76	0.0	1.0
2020-06-01	3.218	39.978	0.0	1.0
2020-06-02	3.65	43.628	0.0	1.0
2020-06-03	4.095	47.723	0.0	1.0
2020-06-04	4.544	52.267	0.0	1.0
2020-06-05	4.991	57.258	0.0	1.0
2020-06-06	5.443	62.701	0.0	1.0
2020-06-07	5.912	68.613	0.0	1.0
2020-06-08	6.43	75.043	0.0	1.0
2020-06-09	6.946	81.989	0.0	1.0
2020-06-10	7.446	89.435	0.0	1.0
2020-06-11	7.87	97.305	0.0	1.0
2020-06-12	8.2	105.505	0.0	1.0
2020-06-13	8.389	113.894	0.0	1.0
2020-06-14	8.497	122.391	0.0	1.0
2020-06-15	8.527	130.918	0.0	1.0
2020-06-16	8.511	139.429	0.0	1.0
2020-06-17	8.433	147.862	0.0	1.0
2020-06-18	8.323	156.185	0.0	1.0
2020-06-19	8.198	164.383	0.0	1.0
2020-06-20	8.04	172.423	0.0	1.0
2020-06-21	7.85	180.273	0.0	1.0
2020-06-22	7.645	187.918	0.0	1.0
2020-06-23	7.441	195.359	0.0	1.0
2020-06-24	7.238	202.597	0.0	1.0
2020-06-25	7.052	209.649	0.0	1.0
2020-06-26	6.881	216.53	0.0	1.0
2020-06-27	6.706	223.236	0.0	1.0
2020-06-28	6.516	229.752	0.0	1.0
2020-06-29	6.309	236.061	0.0	1.0
2020-06-30	6.087	242.148	0.0	1.0
2020-07-01	5.849	247.997	0.0	1.0
2020-07-02	5.611	253.608	0.0	1.0
2020-07-03	5.373	258.981	0.0	1.0
2020-07-04	5.138	264.119	0.0	1.0
2020-07-05	4.907	269.026	0.0	1.0
2020-07-06	4.683	273.709	0.0	1.0
2020-07-07	4.462	278.171	0.0	1.0
2020-07-08	4.247	282.418	0.0	1.0
2020-07-09	4.037	286.455	0.0	1.0
2020-07-10	3.835	290.29	0.0	1.0
2020-07-11	3.638	293.928	0.0	1.0
2020-07-12	3.451	297.379	0.0	1.0
2020-07-13	3.272	300.651	0.0	1.0
2020-07-14	3.102	303.753	0.0	1.0
2020-07-15	2.938	306.691	0.0	1.0
2020-07-16	2.779	309.47	0.0	1.0
2020-07-17	2.626	312.096	0.0	1.0
2020-07-18	2.475	314.571	0.0	1.0
2020-07-19	2.326	316.897	0.0	1.0
2020-07-20	2.177	319.074	0.0	1.0
2020-07-21	2.027	321.101	0.0	1.0
2020-07-22	1.88	322.981	0.0	1.0
2020-07-23	1.744	324.725	0.0	1.0
2020-07-24	1.624	326.349	0.0	1.0
2020-07-25	1.52	327.869	0.0	1.0
2020-07-26	1.43	329.299	0.0	1.0
2020-07-27	1.352	330.651	0.0	1.0
2020-07-28	1.28	331.931	0.0	1.0
2020-07-29	1.209	333.14	0.0	1.0
2020-07-30	1.137	334.277	0.0	1.0
2020-07-31	1.065	335.342	0.0	1.0
2020-08-01	0.994	336.336	0.0	1.0
2020-08-02	0.923	337.259	0.0	1.0
2020-08-03	0.859	338.118	0.0	1.0
2020-08-04	0.801	338.919	0.0	1.0
2020-08-05	0.749	339.668	0.0	1.0
2020-08-06	0.703	340.371	0.0	1.0
2020-08-07	0.661	341.032	0.0	1.0
2020-08-08	0.619	341.651	0.0	1.0
2020-08-09	0.578	342.229	0.0	1.0
2020-08-10	0.536	342.765	0.0	1.0
2020-08-11	0.494	343.259	0.0	1.0
2020-08-12	0.453	343.712	0.0	1.0
2020-08-13	0.411	344.123	0.0	1.0
2020-08-14	0.37	344.493	0.0	1.0
2020-08-15	0.332	344.825	0.0	1.0
2020-08-16	0.297	345.122	0.0	1.0
2020-08-17	0.266	345.388	0.0	1.0
2020-08-18	0.236	345.624	0.0	1.0
2020-08-19	0.209	345.833	0.0	1.0
2020-08-20	0.182	346.015	0.0	1.0
2020-08-21	0.155	346.17	0.0	1.0
2020-08-22	0.128	346.298	0.0	1.0
2020-08-23	0.1	346.398	0.0	1.0
2020-08-24	0.071	346.469	0.0	1.0
2020-08-25	0.046	346.515	0.0	1.0
2020-08-26	0.028	346.543	0.0	1.0
2020-08-27	0.018	346.561	0.0	1.0
2020-08-28	0.012	346.573	0.0	1.0
2020-08-29	0.008	346.581	0.0	1.0
2020-08-30	0.006	346.587	0.0	1.0
2020-08-31	0.005	346.592	0.0	1.0
2020-09-01	0.004	346.596	0.0	1.0
2020-09-02	0.003	346.599	0.0	1.0
2020-09-03	0.002	346.601	0.0	1.0
2020-09-04	0.002	346.603	0.0	1.0
