Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-13	4.396	247.396	0.018	3.018
2020-08-14	5.063	252.459	0.013	3.031
2020-08-15	5.795	258.254	0.01	3.041
2020-08-16	6.572	264.826	0.008	3.049
2020-08-17	7.373	272.199	0.006	3.055
2020-08-18	8.182	280.381	0.005	3.06
2020-08-19	8.988	289.369	0.004	3.064
2020-08-20	9.801	299.17	0.003	3.067
2020-08-21	10.646	309.816	0.0	3.067
2020-08-22	11.579	321.395	0.0	3.067
2020-08-23	12.508	333.903	0.0	3.067
2020-08-24	13.408	347.311	0.0	3.067
2020-08-25	14.172	361.483	0.0	3.067
2020-08-26	14.765	376.248	0.0	3.067
2020-08-27	15.107	391.355	0.0	3.067
2020-08-28	15.301	406.656	0.0	3.067
2020-08-29	15.356	422.012	0.0	3.067
2020-08-30	15.327	437.339	0.0	3.067
2020-08-31	15.186	452.525	0.0	3.067
2020-09-01	14.988	467.513	0.0	3.067
2020-09-02	14.762	482.275	0.0	3.067
2020-09-03	14.478	496.753	0.0	3.067
2020-09-04	14.136	510.889	0.0	3.067
2020-09-05	13.767	524.656	0.0	3.067
2020-09-06	13.4	538.056	0.0	3.067
2020-09-07	13.035	551.091	0.0	3.067
2020-09-08	12.698	563.789	0.0	3.067
2020-09-09	12.39	576.179	0.0	3.067
2020-09-10	12.076	588.255	0.0	3.067
2020-09-11	11.734	599.989	0.0	3.067
2020-09-12	11.362	611.351	0.0	3.067
2020-09-13	10.961	622.312	0.0	3.067
2020-09-14	10.532	632.844	0.0	3.067
2020-09-15	10.104	642.948	0.0	3.067
2020-09-16	9.676	652.624	0.0	3.067
2020-09-17	9.251	661.875	0.0	3.067
2020-09-18	8.836	670.711	0.0	3.067
2020-09-19	8.433	679.144	0.0	3.067
2020-09-20	8.036	687.18	0.0	3.067
2020-09-21	7.648	694.828	0.0	3.067
2020-09-22	7.27	702.098	0.0	3.067
2020-09-23	6.906	709.004	0.0	3.067
2020-09-24	6.552	715.556	0.0	3.067
2020-09-25	6.214	721.77	0.0	3.067
2020-09-26	5.892	727.662	0.0	3.067
2020-09-27	5.586	733.248	0.0	3.067
2020-09-28	5.29	738.538	0.0	3.067
2020-09-29	5.005	743.543	0.0	3.067
2020-09-30	4.729	748.272	0.0	3.067
2020-10-01	4.457	752.729	0.0	3.067
2020-10-02	4.189	756.918	0.0	3.067
2020-10-03	3.92	760.838	0.0	3.067
2020-10-04	3.65	764.488	0.0	3.067
2020-10-05	3.386	767.874	0.0	3.067
2020-10-06	3.141	771.015	0.0	3.067
2020-10-07	2.925	773.94	0.0	3.067
2020-10-08	2.737	776.677	0.0	3.067
2020-10-09	2.575	779.252	0.0	3.067
2020-10-10	2.435	781.687	0.0	3.067
2020-10-11	2.305	783.992	0.0	3.067
2020-10-12	2.176	786.168	0.0	3.067
2020-10-13	2.047	788.215	0.0	3.067
2020-10-14	1.919	790.134	0.0	3.067
2020-10-15	1.789	791.923	0.0	3.067
2020-10-16	1.663	793.586	0.0	3.067
2020-10-17	1.547	795.133	0.0	3.067
2020-10-18	1.443	796.576	0.0	3.067
2020-10-19	1.35	797.926	0.0	3.067
2020-10-20	1.266	799.192	0.0	3.067
2020-10-21	1.19	800.382	0.0	3.067
2020-10-22	1.115	801.497	0.0	3.067
2020-10-23	1.04	802.537	0.0	3.067
2020-10-24	0.965	803.502	0.0	3.067
2020-10-25	0.89	804.392	0.0	3.067
2020-10-26	0.815	805.207	0.0	3.067
2020-10-27	0.74	805.947	0.0	3.067
2020-10-28	0.666	806.613	0.0	3.067
2020-10-29	0.598	807.211	0.0	3.067
2020-10-30	0.535	807.746	0.0	3.067
2020-10-31	0.478	808.224	0.0	3.067
2020-11-01	0.426	808.65	0.0	3.067
2020-11-02	0.377	809.027	0.0	3.067
2020-11-03	0.328	809.355	0.0	3.067
2020-11-04	0.279	809.634	0.0	3.067
2020-11-05	0.23	809.864	0.0	3.067
2020-11-06	0.179	810.043	0.0	3.067
2020-11-07	0.127	810.17	0.0	3.067
2020-11-08	0.082	810.252	0.0	3.067
2020-11-09	0.051	810.303	0.0	3.067
2020-11-10	0.032	810.335	0.0	3.067
2020-11-11	0.021	810.356	0.0	3.067
2020-11-12	0.015	810.371	0.0	3.067
2020-11-13	0.012	810.383	0.0	3.067
2020-11-14	0.009	810.392	0.0	3.067
2020-11-15	0.007	810.399	0.0	3.067
2020-11-16	0.006	810.405	0.0	3.067
2020-11-17	0.004	810.409	0.0	3.067
2020-11-18	0.003	810.412	0.0	3.067
