Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-11	1.76	158.76	0.08	12.08
2020-05-12	1.677	160.437	0.078	12.158
2020-05-13	1.596	162.033	0.076	12.234
2020-05-14	1.517	163.55	0.073	12.307
2020-05-15	1.441	164.991	0.071	12.378
2020-05-16	1.367	166.358	0.068	12.446
2020-05-17	1.297	167.655	0.065	12.511
2020-05-18	1.23	168.885	0.062	12.573
2020-05-19	1.166	170.051	0.06	12.633
2020-05-20	1.104	171.155	0.057	12.69
2020-05-21	1.045	172.2	0.054	12.744
2020-05-22	0.987	173.187	0.052	12.796
2020-05-23	0.93	174.117	0.049	12.845
2020-05-24	0.874	174.991	0.047	12.892
2020-05-25	0.818	175.809	0.045	12.937
2020-05-26	0.762	176.571	0.042	12.979
2020-05-27	0.707	177.278	0.04	13.019
2020-05-28	0.655	177.933	0.038	13.057
2020-05-29	0.61	178.543	0.036	13.093
2020-05-30	0.571	179.114	0.034	13.127
2020-05-31	0.537	179.651	0.032	13.159
2020-06-01	0.508	180.159	0.031	13.19
2020-06-02	0.481	180.64	0.029	13.219
2020-06-03	0.454	181.094	0.027	13.246
2020-06-04	0.427	181.521	0.025	13.271
2020-06-05	0.4	181.921	0.024	13.295
2020-06-06	0.373	182.294	0.022	13.317
2020-06-07	0.347	182.641	0.02	13.337
2020-06-08	0.323	182.964	0.019	13.356
2020-06-09	0.301	183.265	0.018	13.374
2020-06-10	0.282	183.547	0.017	13.391
2020-06-11	0.264	183.811	0.016	13.407
2020-06-12	0.248	184.059	0.015	13.422
2020-06-13	0.233	184.292	0.014	13.436
2020-06-14	0.217	184.509	0.013	13.449
2020-06-15	0.201	184.71	0.012	13.461
2020-06-16	0.186	184.896	0.012	13.473
2020-06-17	0.17	185.066	0.011	13.484
2020-06-18	0.154	185.22	0.01	13.494
2020-06-19	0.139	185.359	0.009	13.503
2020-06-20	0.125	185.484	0.009	13.512
2020-06-21	0.112	185.596	0.008	13.52
2020-06-22	0.1	185.696	0.008	13.528
2020-06-23	0.089	185.785	0.007	13.535
2020-06-24	0.079	185.864	0.007	13.542
2020-06-25	0.068	185.932	0.006	13.548
2020-06-26	0.058	185.99	0.006	13.554
2020-06-27	0.048	186.038	0.005	13.559
2020-06-28	0.037	186.075	0.005	13.564
2020-06-29	0.027	186.102	0.004	13.568
2020-06-30	0.017	186.119	0.004	13.572
2020-07-01	0.011	186.13	0.003	13.575
2020-07-02	0.007	186.137	0.003	13.578
2020-07-03	0.004	186.141	0.003	13.581
2020-07-04	0.003	186.144	0.002	13.583
2020-07-05	0.002	186.146	0.002	13.585
2020-07-06	0.002	186.148	0.002	13.587
2020-07-07	0.002	186.15	0.001	13.588
2020-07-08	0.001	186.151	0.001	13.589
2020-07-09	0.001	186.152	0.001	13.59
2020-07-10	0.001	186.153	0.001	13.591
2020-07-11	0.0	186.153	0.0	13.591
2020-07-12	0.0	186.153	0.0	13.591
2020-07-13	0.0	186.153	0.0	13.591
2020-07-14	0.0	186.153	0.0	13.591
2020-07-15	0.0	186.153	0.0	13.591
2020-07-16	0.0	186.153	0.0	13.591
2020-07-17	0.0	186.153	0.0	13.591
2020-07-18	0.0	186.153	0.0	13.591
2020-07-19	0.0	186.153	0.0	13.591
2020-07-20	0.0	186.153	0.0	13.591
2020-07-21	0.0	186.153	0.0	13.591
2020-07-22	0.0	186.153	0.0	13.591
2020-07-23	0.0	186.153	0.0	13.591
2020-07-24	0.0	186.153	0.0	13.591
2020-07-25	0.0	186.153	0.0	13.591
2020-07-26	0.0	186.153	0.0	13.591
2020-07-27	0.0	186.153	0.0	13.591
2020-07-28	0.0	186.153	0.0	13.591
2020-07-29	0.0	186.153	0.0	13.591
2020-07-30	0.0	186.153	0.0	13.591
2020-07-31	0.0	186.153	0.0	13.591
2020-08-01	0.0	186.153	0.0	13.591
2020-08-02	0.0	186.153	0.0	13.591
2020-08-03	0.0	186.153	0.0	13.591
2020-08-04	0.0	186.153	0.0	13.591
2020-08-05	0.0	186.153	0.0	13.591
2020-08-06	0.0	186.153	0.0	13.591
2020-08-07	0.0	186.153	0.0	13.591
2020-08-08	0.0	186.153	0.0	13.591
2020-08-09	0.0	186.153	0.0	13.591
2020-08-10	0.0	186.153	0.0	13.591
2020-08-11	0.0	186.153	0.0	13.591
2020-08-12	0.0	186.153	0.0	13.591
2020-08-13	0.0	186.153	0.0	13.591
2020-08-14	0.0	186.153	0.0	13.591
2020-08-15	0.0	186.153	0.0	13.591
2020-08-16	0.0	186.153	0.0	13.591
2020-08-17	0.0	186.153	0.0	13.591
2020-08-18	0.0	186.153	0.0	13.591
2020-08-19	0.0	186.153	0.0	13.591
2020-08-20	0.0	186.153	0.0	13.591
2020-08-21	0.0	186.153	0.0	13.591
2020-08-22	0.0	186.153	0.0	13.591
2020-08-23	0.0	186.153	0.0	13.591
2020-08-24	0.0	186.153	0.0	13.591
2020-08-25	0.0	186.153	0.0	13.591
2020-08-26	0.0	186.153	0.0	13.591
2020-08-27	0.0	186.153	0.0	13.591
2020-08-28	0.0	186.153	0.0	13.591
2020-08-29	0.0	186.153	0.0	13.591
2020-08-30	0.0	186.153	0.0	13.591
