Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Turner	0.798	24.927	0.00010085	0.00315049
Floyd	2.337	73.0	2.386e-05	0.00074545
Gilmer	-1.027	-32.581	-3.333e-05	-0.00105726
Jones	0.0	0.0	0.0	0.0
Pike	-3.152	-41.413	-0.00016917	-0.00222244
Wayne	0.0	0.0	0.0	0.0
Fulton	31.633	988.165	3.012e-05	0.00094101
Glynn	0.912	28.488	1.07e-05	0.00033429
Cherokee	3.904	121.963	1.536e-05	0.00047989
Gwinnett	14.933	466.485	1.61e-05	0.0005028
Harris	0.378	12.003	1.098e-05	0.00034818
Early	3.22	100.597	0.00031427	0.00981722
Webster	0.0	-0.018	0.0	-6.75e-06
Berrien	0.0	0.0	0.0	0.0
Catoosa	0.199	6.232	2.96e-06	9.243e-05
Jeff Davis	-0.027	-0.857	-1.8e-06	-5.705e-05
Chattooga	0.0	0.0	0.0	0.0
Pierce	1.14	35.61	5.879e-05	0.00183659
Lincoln	0.0	0.045	0.0	5.71e-06
Colquitt	2.568	81.452	5.632e-05	0.00178653
Habersham	-11.845	-127.326	-0.00026098	-0.00280528
Meriwether	0.405	12.861	1.924e-05	0.00061044
Camden	0.351	11.146	6.55e-06	0.00020765
Quitman	0.0	0.0	0.0	0.0
Mitchell	0.915	35.441	4.125e-05	0.00159701
Wilkes	0.128	4.124	1.298e-05	0.00041754
Lee	4.189	130.865	0.00014075	0.00439676
Washington	0.228	7.122	1.118e-05	0.00034935
Richmond	0.0	4.837	0.0	2.4e-05
Laurens	0.0	0.157	0.0	3.32e-06
Wilcox	0.0	0.0	0.0	0.0
Brantley	7.107	76.396	0.0003761	0.00404273
Sumter	4.047	126.414	0.0001361	0.00425164
Baldwin	0.769	24.036	1.717e-05	0.00053625
Macon	0.162	5.144	1.234e-05	0.00039141
Effingham	0.456	14.244	7.33e-06	0.00022904
Clayton	10.031	313.364	3.464e-05	0.001082
Fayette	1.062	41.27	9.36e-06	0.00036374
Jefferson	-0.216	-6.859	-1.401e-05	-0.00044453
Newton	2.251	70.329	2.055e-05	0.00064203
Pulaski	0.27	8.574	2.442e-05	0.00077458
Twiggs	0.0	0.0	0.0	0.0
Clinch	0.057	1.78	8.57e-06	0.00026782
Decatur	0.0	2.104	0.0	7.919e-05
Barrow	0.0	0.9	0.0	1.114e-05
McIntosh	-0.216	-6.859	-1.508e-05	-0.00047832
Bibb	1.539	48.073	1.005e-05	0.00031401
Muscogee	1.425	44.512	7.34e-06	0.00022925
Rockdale	2.878	89.914	3.177e-05	0.0009925
Lumpkin	0.0	0.347	0.0	1.053e-05
Baker	0.0	0.0	0.0	0.0
Talbot	-0.051	-1.649	-8.17e-06	-0.00026299
Monroe	0.37	11.573	1.346e-05	0.00042053
Brooks	0.0	0.0	0.0	0.0
Douglas	3.534	110.39	2.432e-05	0.00075957
Stewart	0.0	0.0	0.0	0.0
Irwin	0.189	6.002	2.013e-05	0.00063861
Lamar	0.456	14.244	2.4e-05	0.00074967
Marion	0.0	0.0	0.0	0.0
Wheeler	-1.943	-22.318	-0.00024664	-0.00283259
Oconee	0.627	19.585	1.596e-05	0.00049871
Emanuel	0.0	-0.088	0.0	-3.9e-06
Houston	2.251	70.329	1.448e-05	0.00045237
Dawson	0.627	19.585	2.5e-05	0.00078082
Henry	7.039	219.889	3.058e-05	0.00095513
Columbia	1.168	36.5	7.57e-06	0.00023656
Madison	0.313	9.793	1.057e-05	0.00033027
Grady	0.0	0.0	0.0	0.0
Appling	0.0	-0.01	0.0	-5.4e-07
Wilkinson	0.0	0.0	0.0	0.0
Crisp	2.306	67.334	0.00010202	0.00297924
Lanier	0.0	0.0	0.0	0.0
Whitfield	0.427	13.354	4.11e-06	0.00012832
Bryan	2.578	66.419	6.765e-05	0.00174288
Troup	1.51	47.183	2.157e-05	0.00067371
Liberty	0.46	14.576	7.47e-06	0.00023701
Miller	0.627	19.585	0.00011027	0.00344447
Ben Hill	0.135	4.287	8.05e-06	0.00025537
Walton	0.0	0.0	0.0	0.0
Calhoun	0.0	0.0	0.0	0.0
Dodge	0.753	20.776	3.637e-05	0.00100343
Candler	0.0	0.0	0.0	0.0
Screven	-1.947	-25.572	-0.00013966	-0.00183471
Clarke	0.0	8.987	0.0	7.058e-05
Dougherty	19.065	595.57	0.00020895	0.00652729
Seminole	0.205	6.598	2.466e-05	0.00079349
Dade	-0.0	0.0	-0.0	0.0
Elbert	0.0	0.0	0.0	0.0
Long	-0.0	0.0	-0.0	0.0
Unassigned	0.0	0.0	N/A	N/A
Randolph	1.282	40.061	0.00018768	0.00586284
Stephens	0.216	6.859	8.31e-06	0.00026346
Butts	0.541	16.915	2.238e-05	0.00069915
Charlton	0.057	1.78	4.4e-06	0.0001373
Cook	0.0	0.0	0.0	0.0
Paulding	1.795	56.085	1.094e-05	0.00034189
Clay	-0.0	0.0	-0.0	0.0
De Kalb	17.242	538.595	2.279e-05	0.0007119
Gordon	0.484	15.134	8.4e-06	0.00026236
Tattnall	0.086	2.671	3.37e-06	0.00010518
Bulloch	0.0	0.0	0.0	0.0
Terrell	0.0	1.264	0.0	0.00014685
Chatham	4.93	154.011	1.705e-05	0.00053255
Schley	0.0	0.0	0.0	0.0
Putnam	-59.226	-636.629	-0.00271569	-0.02919113
Franklin	0.0	0.004	0.0	1.8e-07
Coffee	0.456	14.244	1.058e-05	0.00033054
Heard	0.029	0.89	2.4e-06	7.494e-05
Chattahoochee	-0.027	-0.857	-2.53e-06	-8.025e-05
Greene	0.269	10.537	1.519e-05	0.00059539
Ware	-3.158	-38.824	-8.852e-05	-0.00108812
Union	0.0	0.0	0.0	0.0
Dooly	0.0	0.0	0.0	0.0
Murray	-2.403	-31.575	-6.021e-05	-0.00079094
Hart	0.0	0.0	0.0	0.0
Bleckley	0.0	0.0	0.0	0.0
Worth	0.0	0.786	0.0	3.872e-05
Forsyth	2.254	72.528	9.53e-06	0.00030653
McDuffie	0.0	0.0	0.0	0.0
Carroll	0.0	2.541	0.0	2.151e-05
Towns	-1.027	-32.581	-8.666e-05	-0.00274896
Upson	0.0	0.0	0.0	0.0
Jenkins	9.598	110.227	0.00110534	0.01269463
Morgan	0.114	3.561	6.05e-06	0.00018888
Oglethorpe	0.0	0.0	0.0	0.0
Lowndes	1.339	41.841	1.151e-05	0.0003597
Thomas	0.0	0.912	0.0	2.053e-05
Burke	0.0	0.0	0.0	0.0
Warren	-0.051	-1.649	-9.76e-06	-0.00031412
Johnson	0.0	0.0	0.0	0.0
White	0.0	0.0	0.0	0.0
Bartow	2.736	85.463	2.571e-05	0.00080316
Bacon	0.0	-0.123	0.0	-1.103e-05
Rabun	4.738	50.93	0.00028091	0.00301953
Hall	4.645	145.109	2.298e-05	0.00071784
Banks	0.0	0.0	0.0	0.0
Taylor	0.051	1.649	6.38e-06	0.00020518
Crawford	0.0	0.0	0.0	0.0
Spalding	1.425	44.512	2.156e-05	0.0006734
Toombs	0.0	0.0	0.0	0.0
Coweta	2.565	80.121	1.758e-05	0.00054929
Jasper	6.294	72.286	0.00044829	0.00514855
Telfair	0.0	0.0	0.0	0.0
Treutlen	-2.399	-27.557	-0.00035239	-0.00404712
Cobb	16.586	518.119	2.191e-05	0.00068456
Walker	0.0	0.0	0.0	0.0
Polk	0.0	0.358	0.0	8.44e-06
Tift	1.339	41.841	3.301e-05	0.00103131
Peach	0.484	15.134	1.775e-05	0.00055442
Pickens	0.171	5.341	5.35e-06	0.00016702
Fannin	0.0	0.121	0.0	4.66e-06
Haralson	-3.152	-41.413	-0.00010674	-0.00140226
Jackson	0.0	0.0	0.0	0.0
