Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Turner	0.222	62.267	229.267	0.093	16.39	32.39	2.806e-05	0.00786994	0.02897712	1.175e-05	0.00207154	0.00409378
Floyd	0.117	83.297	497.297	0.0	0.0	15.0	1.19e-06	0.0008506	0.00507824	0.0	0.0	0.00015318
Gilmer	0.097	30.828	208.828	1.61	113.455	115.455	3.15e-06	0.00100039	0.00677661	5.225e-05	0.00368169	0.00374659
Jones	0.0	0.925	51.925	1.61	113.455	113.455	0.0	3.232e-05	0.00181454	5.626e-05	0.00396474	0.00396474
Pike	0.328	73.393	154.393	0.0	0.0	3.0	1.76e-05	0.00393866	0.00828555	0.0	0.0	0.000161
Wayne	0.115	36.429	82.429	0.0	0.0	0.0	3.86e-06	0.00122212	0.00276533	0.0	0.0	0.0
Fulton	3.267	1038.391	6534.391	0.079	64.659	368.659	3.11e-06	0.00098884	0.00622255	8e-08	6.157e-05	0.00035107
Glynn	0.962	246.103	551.103	0.029	6.797	9.797	1.129e-05	0.00288789	0.0064669	3.4e-07	7.976e-05	0.00011496
Cherokee	0.753	239.512	1338.512	0.068	14.582	53.582	2.96e-06	0.00094241	0.00526664	2.7e-07	5.738e-05	0.00021083
Gwinnett	9.63	2985.869	9136.869	0.0	11.622	173.622	1.038e-05	0.00321829	0.00984809	0.0	1.253e-05	0.00018714
Harris	0.0	96.875	339.875	0.0	2.442	10.442	0.0	0.00281001	0.00985859	0.0	7.083e-05	0.00030289
Montgomery	0.0	4.624	30.624	0.0	2.442	2.442	0.0	0.00050299	0.00333123	0.0	0.00026564	0.00026564
Early	0.0	0.479	256.479	0.0	0.0	31.0	0.0	4.675e-05	0.02502967	0.0	0.0	0.00302528
Webster	3.882	273.624	290.624	0.0	0.0	1.0	0.00148679	0.10479663	0.11130755	0.0	0.0	0.000383
Berrien	0.572	133.687	224.687	0.0	0.0	1.0	2.971e-05	0.00694406	0.01167084	0.0	0.0	5.194e-05
Catoosa	0.614	213.841	488.841	0.0	0.0	6.0	9.11e-06	0.00317177	0.00725068	0.0	0.0	8.899e-05
Jeff Davis	0.853	159.507	232.507	0.0	0.62	2.62	5.676e-05	0.01061328	0.01547056	0.0	4.125e-05	0.00017433
Chattooga	0.458	102.464	151.464	0.0	0.0	2.0	1.848e-05	0.00413328	0.00610988	0.0	0.0	8.068e-05
Pierce	0.0	16.805	153.805	0.0	0.0	4.0	0.0	0.00086673	0.00793259	0.0	0.0	0.0002063
Lincoln	0.025	7.297	29.297	0.0	0.0	1.0	3.16e-06	0.00092192	0.00370145	0.0	0.0	0.00012634
Colquitt	1.061	337.39	1071.39	0.029	6.278	23.278	2.327e-05	0.0074002	0.02349952	6.4e-07	0.0001377	0.00051057
Habersham	0.635	178.047	815.047	0.328	57.887	91.887	1.399e-05	0.00392278	0.01795732	7.23e-06	0.00127538	0.00202448
Meriwether	0.243	75.324	224.324	0.006	1.869	3.869	1.153e-05	0.00357528	0.01064762	2.8e-07	8.871e-05	0.00018364
Camden	0.77	118.339	214.339	0.0	0.0	1.0	1.435e-05	0.00220465	0.00399313	0.0	0.0	1.863e-05
Quitman	0.0	0.056	15.056	0.0	0.0	1.0	0.0	2.457e-05	0.00660641	0.0	0.0	0.00043879
Mitchell	0.0	4.841	438.841	0.0	1.838	39.838	0.0	0.00021814	0.01977474	0.0	8.282e-05	0.00179515
Wilkes	0.305	62.713	105.713	0.0	0.0	1.0	3.088e-05	0.00635004	0.01070403	0.0	0.0	0.00010126
Lee	0.0	10.166	388.166	0.0	0.0	22.0	0.0	0.00034155	0.01304146	0.0	0.0	0.00073915
Washington	0.015	4.826	83.826	0.0	0.0	1.0	7.4e-07	0.00023673	0.00411194	0.0	0.0	4.905e-05
Richmond	1.056	270.246	1016.246	0.511	78.585	120.585	5.24e-06	0.00134081	0.00504205	2.54e-06	0.0003899	0.00059828
Laurens	0.093	29.521	160.521	0.0	0.0	1.0	1.97e-06	0.00062379	0.00339189	0.0	0.0	2.113e-05
Wilcox	0.031	8.397	129.397	0.043	7.159	22.159	3.52e-06	0.00095291	0.01468418	4.88e-06	0.00081241	0.00251464
Brantley	0.072	22.816	95.816	0.0	0.0	2.0	3.81e-06	0.00120739	0.00507043	0.0	0.0	0.00010584
Sumter	1.032	212.436	744.436	0.027	2.972	51.972	3.471e-05	0.00714479	0.02503737	9.1e-07	9.996e-05	0.00174796
Baldwin	0.0	12.49	456.49	0.0	3.441	36.441	0.0	0.00027865	0.01018428	0.0	7.677e-05	0.000813
Macon	0.065	20.732	132.732	0.032	6.953	15.953	4.95e-06	0.00157742	0.01009906	2.43e-06	0.00052903	0.0012138
Effingham	0.085	27.101	125.101	0.0	0.0	1.0	1.37e-06	0.00043578	0.00201159	0.0	0.0	1.608e-05
Clayton	1.402	434.682	2032.682	0.026	34.106	110.106	4.84e-06	0.0015009	0.00701857	9e-08	0.00011776	0.00038018
Fayette	0.184	58.483	338.483	0.07	15.027	31.027	1.62e-06	0.00051545	0.00298331	6.2e-07	0.00013244	0.00027346
Jefferson	12.666	952.358	1019.358	0.0	0.0	1.0	0.00082087	0.06172119	0.06606338	0.0	0.0	6.481e-05
Newton	1.424	305.495	779.495	0.007	0.843	11.843	1.3e-05	0.00278886	0.00711601	6e-08	7.7e-06	0.00010811
Pulaski	0.0	0.014	46.014	0.0	0.0	2.0	0.0	1.26e-06	0.00415702	0.0	0.0	0.00018068
Twiggs	0.0	4.592	27.592	0.0	0.0	1.0	0.0	0.00056082	0.00336981	0.0	0.0	0.00012213
Clinch	0.033	21.05	106.05	0.0	0.0	2.0	4.96e-06	0.00316637	0.01595217	0.0	0.0	0.00030084
Decatur	0.417	101.926	344.926	0.151	21.618	29.618	1.569e-05	0.00383541	0.01297934	5.68e-06	0.00081347	0.00111451
Barrow	0.379	120.584	536.584	0.105	22.432	47.432	4.69e-06	0.00149221	0.00664015	1.3e-06	0.00027759	0.00058696
McIntosh	0.039	12.576	37.576	0.0	0.0	1.0	2.72e-06	0.00087699	0.00262036	0.0	0.0	6.974e-05
Bibb	4.425	730.622	1331.622	1.808	154.299	191.299	2.89e-05	0.00477234	0.00869801	1.181e-05	0.00100786	0.00124954
Muscogee	0.789	504.009	1673.009	0.078	27.11	61.11	4.06e-06	0.00259584	0.00861665	4e-07	0.00013963	0.00031474
Rockdale	0.065	64.54	435.54	0.004	1.712	10.712	7.2e-07	0.00071241	0.0048076	4e-08	1.89e-05	0.00011824
Lumpkin	0.118	33.022	151.022	0.473	33.368	35.368	3.58e-06	0.00100203	0.00458267	1.435e-05	0.00101253	0.00107322
Baker	0.009	2.963	38.963	0.0	0.0	3.0	2.91e-06	0.00095828	0.01260123	0.0	0.0	0.00097025
Talbot	0.457	85.46	143.46	0.0	0.0	2.0	7.286e-05	0.01362564	0.02287309	0.0	0.0	0.00031888
Monroe	0.106	32.723	167.723	0.051	10.413	25.413	3.85e-06	0.00118906	0.00609459	1.85e-06	0.00037838	0.00092344
Brooks	0.164	52.227	167.227	0.047	10.089	21.089	1.057e-05	0.00336666	0.0107798	3.03e-06	0.00065036	0.00135944
