Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-26	1.391	50.391	0.12	2.12
2020-05-27	1.378	51.769	0.119	2.239
2020-05-28	1.36	53.129	0.117	2.356
2020-05-29	1.34	54.469	0.116	2.472
2020-05-30	1.314	55.783	0.113	2.585
2020-05-31	1.283	57.066	0.111	2.696
2020-06-01	1.25	58.316	0.108	2.804
2020-06-02	1.216	59.532	0.105	2.909
2020-06-03	1.183	60.715	0.102	3.011
2020-06-04	1.153	61.868	0.099	3.11
2020-06-05	1.125	62.993	0.097	3.207
2020-06-06	1.096	64.089	0.095	3.302
2020-06-07	1.065	65.154	0.092	3.394
2020-06-08	1.031	66.185	0.089	3.483
2020-06-09	0.995	67.18	0.086	3.569
2020-06-10	0.956	68.136	0.082	3.651
2020-06-11	0.917	69.053	0.079	3.73
2020-06-12	0.878	69.931	0.076	3.806
2020-06-13	0.84	70.771	0.072	3.878
2020-06-14	0.802	71.573	0.069	3.947
2020-06-15	0.765	72.338	0.066	4.013
2020-06-16	0.729	73.067	0.063	4.076
2020-06-17	0.694	73.761	0.06	4.136
2020-06-18	0.66	74.421	0.057	4.193
2020-06-19	0.627	75.048	0.054	4.247
2020-06-20	0.595	75.643	0.051	4.298
2020-06-21	0.564	76.207	0.049	4.347
2020-06-22	0.535	76.742	0.046	4.393
2020-06-23	0.507	77.249	0.044	4.437
2020-06-24	0.48	77.729	0.041	4.478
2020-06-25	0.454	78.183	0.039	4.517
2020-06-26	0.429	78.612	0.037	4.554
2020-06-27	0.405	79.017	0.035	4.589
2020-06-28	0.38	79.397	0.033	4.622
2020-06-29	0.356	79.753	0.031	4.653
2020-06-30	0.331	80.084	0.029	4.682
2020-07-01	0.307	80.391	0.027	4.709
2020-07-02	0.285	80.676	0.025	4.734
2020-07-03	0.265	80.941	0.023	4.757
2020-07-04	0.248	81.189	0.021	4.778
2020-07-05	0.234	81.423	0.02	4.798
2020-07-06	0.221	81.644	0.019	4.817
2020-07-07	0.209	81.853	0.018	4.835
2020-07-08	0.198	82.051	0.017	4.852
2020-07-09	0.186	82.237	0.016	4.868
2020-07-10	0.174	82.411	0.015	4.883
2020-07-11	0.162	82.573	0.014	4.897
2020-07-12	0.151	82.724	0.013	4.91
2020-07-13	0.14	82.864	0.012	4.922
2020-07-14	0.131	82.995	0.011	4.933
2020-07-15	0.122	83.117	0.011	4.944
2020-07-16	0.115	83.232	0.01	4.954
2020-07-17	0.108	83.34	0.009	4.963
2020-07-18	0.101	83.441	0.009	4.972
2020-07-19	0.094	83.535	0.008	4.98
2020-07-20	0.088	83.623	0.008	4.988
2020-07-21	0.081	83.704	0.007	4.995
2020-07-22	0.074	83.778	0.006	5.001
2020-07-23	0.067	83.845	0.006	5.007
2020-07-24	0.06	83.905	0.005	5.012
2020-07-25	0.054	83.959	0.005	5.017
2020-07-26	0.049	84.008	0.004	5.021
2020-07-27	0.043	84.051	0.004	5.025
2020-07-28	0.039	84.09	0.003	5.028
2020-07-29	0.034	84.124	0.003	5.031
2020-07-30	0.03	84.154	0.003	5.034
2020-07-31	0.025	84.179	0.002	5.036
2020-08-01	0.021	84.2	0.002	5.038
2020-08-02	0.016	84.216	0.001	5.039
2020-08-03	0.012	84.228	0.001	5.04
2020-08-04	0.007	84.235	0.001	5.041
2020-08-05	0.005	84.24	0.0	5.041
2020-08-06	0.003	84.243	0.0	5.041
2020-08-07	0.002	84.245	0.0	5.041
2020-08-08	0.001	84.246	0.0	5.041
2020-08-09	0.001	84.247	0.0	5.041
2020-08-10	0.001	84.248	0.0	5.041
2020-08-11	0.001	84.249	0.0	5.041
2020-08-12	0.001	84.25	0.0	5.041
2020-08-13	0.0	84.25	0.0	5.041
2020-08-14	0.0	84.25	0.0	5.041
2020-08-15	0.0	84.25	0.0	5.041
2020-08-16	0.0	84.25	0.0	5.041
2020-08-17	0.0	84.25	0.0	5.041
2020-08-18	0.0	84.25	0.0	5.041
2020-08-19	0.0	84.25	0.0	5.041
2020-08-20	0.0	84.25	0.0	5.041
2020-08-21	0.0	84.25	0.0	5.041
2020-08-22	0.0	84.25	0.0	5.041
2020-08-23	0.0	84.25	0.0	5.041
2020-08-24	0.0	84.25	0.0	5.041
2020-08-25	0.0	84.25	0.0	5.041
2020-08-26	0.0	84.25	0.0	5.041
2020-08-27	0.0	84.25	0.0	5.041
2020-08-28	0.0	84.25	0.0	5.041
2020-08-29	0.0	84.25	0.0	5.041
2020-08-30	0.0	84.25	0.0	5.041
