Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-03	0.791	23.791	0.0	1.0
2020-06-04	0.977	24.768	0.0	1.0
2020-06-05	1.206	25.974	0.0	1.0
2020-06-06	1.489	27.463	0.0	1.0
2020-06-07	1.831	29.294	0.0	1.0
2020-06-08	2.211	31.505	0.0	1.0
2020-06-09	2.619	34.124	0.0	1.0
2020-06-10	3.093	37.217	0.0	1.0
2020-06-11	3.652	40.869	0.0	1.0
2020-06-12	4.317	45.186	0.0	1.0
2020-06-13	5.097	50.283	0.0	1.0
2020-06-14	6.007	56.29	0.0	1.0
2020-06-15	7.038	63.328	0.0	1.0
2020-06-16	8.18	71.508	0.0	1.0
2020-06-17	9.421	80.929	0.0	1.0
2020-06-18	10.783	91.712	0.0	1.0
2020-06-19	12.23	103.942	0.0	1.0
2020-06-20	13.721	117.663	0.0	1.0
2020-06-21	15.227	132.89	0.0	1.0
2020-06-22	16.726	149.616	0.0	1.0
2020-06-23	18.238	167.854	0.0	1.0
2020-06-24	19.812	187.666	0.0	1.0
2020-06-25	21.547	209.213	0.0	1.0
2020-06-26	23.277	232.49	0.0	1.0
2020-06-27	24.951	257.441	0.0	1.0
2020-06-28	26.373	283.814	0.0	1.0
2020-06-29	27.477	311.291	0.0	1.0
2020-06-30	28.113	339.404	0.0	1.0
2020-07-01	28.473	367.877	0.0	1.0
2020-07-02	28.575	396.452	0.0	1.0
2020-07-03	28.521	424.973	0.0	1.0
2020-07-04	28.259	453.232	0.0	1.0
2020-07-05	27.892	481.124	0.0	1.0
2020-07-06	27.471	508.595	0.0	1.0
2020-07-07	26.942	535.537	0.0	1.0
2020-07-08	26.305	561.842	0.0	1.0
2020-07-09	25.62	587.462	0.0	1.0
2020-07-10	24.936	612.398	0.0	1.0
2020-07-11	24.256	636.654	0.0	1.0
2020-07-12	23.63	660.284	0.0	1.0
2020-07-13	23.057	683.341	0.0	1.0
2020-07-14	22.473	705.814	0.0	1.0
2020-07-15	21.835	727.649	0.0	1.0
2020-07-16	21.143	748.792	0.0	1.0
2020-07-17	20.397	769.189	0.0	1.0
2020-07-18	19.6	788.789	0.0	1.0
2020-07-19	18.803	807.592	0.0	1.0
2020-07-20	18.005	825.597	0.0	1.0
2020-07-21	17.216	842.813	0.0	1.0
2020-07-22	16.443	859.256	0.0	1.0
2020-07-23	15.693	874.949	0.0	1.0
2020-07-24	14.953	889.902	0.0	1.0
2020-07-25	14.231	904.133	0.0	1.0
2020-07-26	13.528	917.661	0.0	1.0
2020-07-27	12.851	930.512	0.0	1.0
2020-07-28	12.192	942.704	0.0	1.0
2020-07-29	11.564	954.268	0.0	1.0
2020-07-30	10.965	965.233	0.0	1.0
2020-07-31	10.394	975.627	0.0	1.0
2020-08-01	9.844	985.471	0.0	1.0
2020-08-02	9.314	994.785	0.0	1.0
2020-08-03	8.799	1003.584	0.0	1.0
2020-08-04	8.295	1011.879	0.0	1.0
2020-08-05	7.795	1019.674	0.0	1.0
2020-08-06	7.294	1026.968	0.0	1.0
2020-08-07	6.793	1033.761	0.0	1.0
2020-08-08	6.301	1040.062	0.0	1.0
2020-08-09	5.845	1045.907	0.0	1.0
2020-08-10	5.442	1051.349	0.0	1.0
2020-08-11	5.093	1056.442	0.0	1.0
2020-08-12	4.792	1061.234	0.0	1.0
2020-08-13	4.532	1065.766	0.0	1.0
2020-08-14	4.29	1070.056	0.0	1.0
2020-08-15	4.05	1074.106	0.0	1.0
2020-08-16	3.81	1077.916	0.0	1.0
2020-08-17	3.57	1081.486	0.0	1.0
2020-08-18	3.33	1084.816	0.0	1.0
2020-08-19	3.094	1087.91	0.0	1.0
2020-08-20	2.879	1090.789	0.0	1.0
2020-08-21	2.685	1093.474	0.0	1.0
2020-08-22	2.511	1095.985	0.0	1.0
2020-08-23	2.356	1098.341	0.0	1.0
2020-08-24	2.215	1100.556	0.0	1.0
2020-08-25	2.075	1102.631	0.0	1.0
2020-08-26	1.936	1104.567	0.0	1.0
2020-08-27	1.796	1106.363	0.0	1.0
2020-08-28	1.656	1108.019	0.0	1.0
2020-08-29	1.516	1109.535	0.0	1.0
2020-08-30	1.376	1110.911	0.0	1.0
2020-08-31	1.24	1112.151	0.0	1.0
2020-09-01	1.112	1113.263	0.0	1.0
2020-09-02	0.996	1114.259	0.0	1.0
2020-09-03	0.89	1115.149	0.0	1.0
2020-09-04	0.792	1115.941	0.0	1.0
2020-09-05	0.701	1116.642	0.0	1.0
2020-09-06	0.61	1117.252	0.0	1.0
2020-09-07	0.519	1117.771	0.0	1.0
2020-09-08	0.427	1118.198	0.0	1.0
2020-09-09	0.334	1118.532	0.0	1.0
2020-09-10	0.237	1118.769	0.0	1.0
2020-09-11	0.153	1118.922	0.0	1.0
2020-09-12	0.094	1119.016	0.0	1.0
2020-09-13	0.059	1119.075	0.0	1.0
2020-09-14	0.039	1119.114	0.0	1.0
2020-09-15	0.028	1119.142	0.0	1.0
2020-09-16	0.022	1119.164	0.0	1.0
2020-09-17	0.017	1119.181	0.0	1.0
2020-09-18	0.014	1119.195	0.0	1.0
2020-09-19	0.011	1119.206	0.0	1.0
2020-09-20	0.008	1119.214	0.0	1.0
2020-09-21	0.006	1119.22	0.0	1.0
