Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-16	2.667	288.667	0.0	14.0
2020-06-17	2.632	291.299	0.0	14.0
2020-06-18	2.592	293.891	0.0	14.0
2020-06-19	2.542	296.433	0.0	14.0
2020-06-20	2.482	298.915	0.0	14.0
2020-06-21	2.418	301.333	0.0	14.0
2020-06-22	2.353	303.686	0.0	14.0
2020-06-23	2.289	305.975	0.0	14.0
2020-06-24	2.23	308.205	0.0	14.0
2020-06-25	2.176	310.381	0.0	14.0
2020-06-26	2.121	312.502	0.0	14.0
2020-06-27	2.06	314.562	0.0	14.0
2020-06-28	1.995	316.557	0.0	14.0
2020-06-29	1.925	318.482	0.0	14.0
2020-06-30	1.85	320.332	0.0	14.0
2020-07-01	1.774	322.106	0.0	14.0
2020-07-02	1.699	323.805	0.0	14.0
2020-07-03	1.625	325.43	0.0	14.0
2020-07-04	1.552	326.982	0.0	14.0
2020-07-05	1.481	328.463	0.0	14.0
2020-07-06	1.411	329.874	0.0	14.0
2020-07-07	1.343	331.217	0.0	14.0
2020-07-08	1.277	332.494	0.0	14.0
2020-07-09	1.213	333.707	0.0	14.0
2020-07-10	1.151	334.858	0.0	14.0
2020-07-11	1.091	335.949	0.0	14.0
2020-07-12	1.035	336.984	0.0	14.0
2020-07-13	0.981	337.965	0.0	14.0
2020-07-14	0.929	338.894	0.0	14.0
2020-07-15	0.879	339.773	0.0	14.0
2020-07-16	0.83	340.603	0.0	14.0
2020-07-17	0.783	341.386	0.0	14.0
2020-07-18	0.736	342.122	0.0	14.0
2020-07-19	0.688	342.81	0.0	14.0
2020-07-20	0.641	343.451	0.0	14.0
2020-07-21	0.595	344.046	0.0	14.0
2020-07-22	0.552	344.598	0.0	14.0
2020-07-23	0.514	345.112	0.0	14.0
2020-07-24	0.481	345.593	0.0	14.0
2020-07-25	0.452	346.045	0.0	14.0
2020-07-26	0.428	346.473	0.0	14.0
2020-07-27	0.405	346.878	0.0	14.0
2020-07-28	0.382	347.26	0.0	14.0
2020-07-29	0.36	347.62	0.0	14.0
2020-07-30	0.337	347.957	0.0	14.0
2020-07-31	0.314	348.271	0.0	14.0
2020-08-01	0.292	348.563	0.0	14.0
2020-08-02	0.272	348.835	0.0	14.0
2020-08-03	0.253	349.088	0.0	14.0
2020-08-04	0.237	349.325	0.0	14.0
2020-08-05	0.222	349.547	0.0	14.0
2020-08-06	0.209	349.756	0.0	14.0
2020-08-07	0.196	349.952	0.0	14.0
2020-08-08	0.183	350.135	0.0	14.0
2020-08-09	0.169	350.304	0.0	14.0
2020-08-10	0.156	350.46	0.0	14.0
2020-08-11	0.143	350.603	0.0	14.0
2020-08-12	0.13	350.733	0.0	14.0
2020-08-13	0.117	350.85	0.0	14.0
2020-08-14	0.105	350.955	0.0	14.0
2020-08-15	0.094	351.049	0.0	14.0
2020-08-16	0.084	351.133	0.0	14.0
2020-08-17	0.075	351.208	0.0	14.0
2020-08-18	0.066	351.274	0.0	14.0
2020-08-19	0.058	351.332	0.0	14.0
2020-08-20	0.049	351.381	0.0	14.0
2020-08-21	0.04	351.421	0.0	14.0
2020-08-22	0.032	351.453	0.0	14.0
2020-08-23	0.022	351.475	0.0	14.0
2020-08-24	0.014	351.489	0.0	14.0
2020-08-25	0.009	351.498	0.0	14.0
2020-08-26	0.006	351.504	0.0	14.0
2020-08-27	0.004	351.508	0.0	14.0
2020-08-28	0.003	351.511	0.0	14.0
2020-08-29	0.002	351.513	0.0	14.0
2020-08-30	0.002	351.515	0.0	14.0
2020-08-31	0.001	351.516	0.0	14.0
2020-09-01	0.001	351.517	0.0	14.0
2020-09-02	0.001	351.518	0.0	14.0
2020-09-03	0.001	351.519	0.0	14.0
2020-09-04	0.0	351.519	0.0	14.0
2020-09-05	0.0	351.519	0.0	14.0
2020-09-06	0.0	351.519	0.0	14.0
2020-09-07	0.0	351.519	0.0	14.0
2020-09-08	0.0	351.519	0.0	14.0
2020-09-09	0.0	351.519	0.0	14.0
2020-09-10	0.0	351.519	0.0	14.0
2020-09-11	0.0	351.519	0.0	14.0
2020-09-12	0.0	351.519	0.0	14.0
