Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Valley	0.0	0.0	0.0	0.0
Kootenai	1.224	2.482	7.58e-06	1.537e-05
Ada	2.047	5.294	4.36e-06	1.127e-05
Power	0.0	0.0	0.0	0.0
Lewis	0.0	0.0	0.0	0.0
Bonner	2.623	5.318	5.864e-05	0.00011889
Lincoln	0.0	0.0	0.0	0.0
Washington	0.0	0.0	0.0	0.0
Teton	0.35	0.709	3.004e-05	6.091e-05
Canyon	2.958	6.302	1.323e-05	2.82e-05
Jefferson	0.17	0.345	5.78e-06	1.172e-05
Gooding	2.486	5.037	0.00016356	0.00033146
Custer	0.0	0.0	0.0	0.0
Blaine	1.343	3.375	5.941e-05	0.00014935
Bonneville	0.0	0.0	0.0	0.0
Bingham	0.0	0.0	0.0	0.0
Fremont	1.167	2.163	8.861e-05	0.00016424
Elmore	0.0	0.0	0.0	0.0
Madison	0.0	0.0	0.0	0.0
Minidoka	2.623	5.318	0.00012595	0.00025535
Unassigned	0.0	0.0	N/A	N/A
Cassia	0.408	0.827	1.71e-05	3.466e-05
Adams	0.829	1.679	0.00019494	0.00039505
Camas	0.874	1.773	0.00077576	0.0015728
Latah	1.701	3.449	4.238e-05	8.595e-05
Nez Perce	0.552	1.119	1.367e-05	2.77e-05
Owyhee	1.749	3.545	0.00014954	0.00030318
Bannock	0.117	0.236	1.34e-06	2.71e-06
Idaho	0.162	0.327	9.79e-06	1.983e-05
Jerome	0.0	0.0	0.0	0.0
Twin Falls	2.604	5.389	3.025e-05	6.26e-05
Payette	0.104	0.227	4.44e-06	9.65e-06
Caribou	0.0	0.0	0.0	0.0
Gem	0.0	0.0	0.0	0.0
