Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Valley	0.001	19.934	65.934	0.0	0.0	1.0	9e-08	0.00180545	0.00597174	0.0	0.0	9.057e-05
Kootenai	0.053	981.413	2555.413	0.023	27.791	40.791	3.3e-07	0.00607667	0.0158225	1.4e-07	0.00017208	0.00025257
Ada	0.224	4124.201	12128.201	0.003	47.188	109.188	4.8e-07	0.00877553	0.02580655	1e-08	0.00010041	0.00023233
Power	0.185	138.816	180.816	0.003	47.188	47.188	2.382e-05	0.01787024	0.02327703	3.9e-07	0.00607467	0.00607467
Lewis	0.0	0.0	1.0	0.003	47.188	47.188	0.0	0.0	0.000259	7.8e-07	0.0122217	0.0122217
Bonner	0.05	175.036	327.036	0.003	47.188	47.188	1.12e-06	0.00391343	0.00731183	7e-08	0.00105502	0.00105502
Lincoln	0.011	23.036	73.036	0.003	47.188	47.188	2.05e-06	0.00429776	0.01362612	5.6e-07	0.00880373	0.00880373
Washington	0.004	68.809	257.809	0.0	0.0	2.0	3.9e-07	0.00677187	0.0253724	0.0	0.0	0.00019683
Teton	0.001	20.385	78.385	0.0	0.0	0.0	9e-08	0.00175129	0.00673411	0.0	0.0	0.0
Shoshone	0.409	336.705	409.705	0.001	25.335	27.335	3.196e-05	0.0263133	0.03201821	8e-08	0.00197992	0.00213621
Canyon	0.177	3260.01	8038.01	0.07	85.716	122.716	7.9e-07	0.01458624	0.03596441	3.1e-07	0.00038352	0.00054907
Jefferson	0.089	229.423	364.423	0.0	0.0	1.0	3.02e-06	0.00779317	0.01237892	0.0	0.0	3.397e-05
Gooding	0.007	91.838	225.838	0.0	0.0	1.0	4.6e-07	0.00604356	0.01486167	0.0	0.0	6.581e-05
Blaine	0.001	18.137	587.137	0.002	2.356	8.356	4e-08	0.00080249	0.02597836	9e-08	0.00010424	0.00036972
Bonneville	0.264	930.146	1639.146	0.0	0.449	2.449	2.26e-06	0.0079599	0.0140273	0.0	3.84e-06	2.096e-05
Bingham	0.007	129.728	308.728	0.0	0.014	2.014	1.5e-07	0.00280578	0.00667722	0.0	3e-07	4.356e-05
Lemhi	0.001	10.827	22.827	0.0	0.014	0.014	1.3e-07	0.00136001	0.00286735	0.0	1.76e-06	1.76e-06
Elmore	10.506	3600.967	3800.967	0.0	0.449	3.449	0.00038541	0.13210195	0.13943897	0.0	1.647e-05	0.00012653
Madison	0.004	70.044	202.044	0.0	0.449	0.449	1e-07	0.00178211	0.00514055	0.0	1.142e-05	1.142e-05
Minidoka	0.096	338.322	766.322	0.0	0.0	2.0	4.61e-06	0.01624595	0.03679818	0.0	0.0	9.604e-05
Benewah	0.39	228.111	279.111	0.0	0.0	0.0	4.227e-05	0.0247248	0.03025266	0.0	0.0	0.0
Clearwater	0.0	4.464	19.464	0.0	0.0	0.0	0.0	0.00050971	0.00222243	0.0	0.0	0.0
Bear Lake	0.0	9.121	15.121	0.0	0.0	0.0	0.0	0.0015076	0.00249934	0.0	0.0	0.0
Unassigned	0.0	0.0	1.0	0.0	0.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
Cassia	0.1	256.852	728.852	0.0	0.0	1.0	4.19e-06	0.01076316	0.0305419	0.0	0.0	4.19e-05
Adams	0.08	50.521	68.521	0.0	0.0	0.0	1.882e-05	0.01188729	0.01612259	0.0	0.0	0.0
Franklin	0.012	42.002	89.002	0.0	0.0	0.0	8.7e-07	0.00306003	0.00648419	0.0	0.0	0.0
Nez Perce	0.001	21.175	151.175	0.0	0.0	19.0	2e-08	0.00052403	0.00374121	0.0	0.0	0.0004702
Owyhee	0.009	164.079	396.079	0.0	0.0	0.0	7.7e-07	0.01403224	0.03387317	0.0	0.0	0.0
Clark	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00117371	0.0	0.0	0.0
Bannock	0.083	291.59	593.59	0.447	132.366	134.366	9.5e-07	0.0033463	0.00681207	5.13e-06	0.00151904	0.00154199
Idaho	0.0	2.681	31.681	0.447	132.366	132.366	0.0	0.00016236	0.00191855	2.707e-05	0.00801587	0.00801587
Jerome	1.382	807.661	1227.661	0.0	0.0	6.0	5.755e-05	0.03363152	0.05112059	0.0	0.0	0.00024984
Twin Falls	1.995	1809.874	3015.874	0.415	175.474	206.474	2.318e-05	0.02102524	0.0350353	4.82e-06	0.00203848	0.0023986
Payette	0.057	199.208	525.208	0.0	0.0	2.0	2.42e-06	0.00845858	0.02230088	0.0	0.0	8.492e-05
Oneida	0.005	7.098	15.098	0.0	0.0	0.0	1.11e-06	0.00158155	0.00336408	0.0	0.0	0.0
Caribou	0.289	85.65	108.65	0.0	0.0	0.0	4.093e-05	0.01213173	0.01538952	0.0	0.0	0.0
Gem	0.023	124.361	275.361	0.0	0.0	0.0	1.3e-06	0.00705234	0.01561535	0.0	0.0	0.0
