Name	Predicted_New_Cases	Total_Predicted_New_Cases
Vermilion	0.0	0.0
Logan	0.0	0.0
Pike	0.0	0.0
Kendall	5.46	1327.864
Williamson	1.252	286.897
Montgomery	0.0	0.0
Ford	0.0	0.0
McHenry	28.701	6575.011
La Salle	7.388	1293.003
Woodford	2.655	428.534
Peoria	0.0	-2.0
Lee	0.0	0.0
Washington	0.0	1.0
Jersey	3.911	1318.055
Kankakee	0.205	236.479
Massac	0.0	0.0
Macon	5.595	1440.428
Effingham	0.0	0.0
Fayette	0.0	0.0
Jefferson	0.0	0.0
Bureau	0.0	0.0
Bond	0.0	0.0
Monroe	7.965	1286.615
Marion	0.0	0.0
Winnebago	50.444	8149.213
Mercer	0.0	0.0
McLean	1.363	489.955
Livingston	7.965	1287.615
Henry	0.005	22.36
Madison	0.954	346.964
Boone	2.263	874.034
Tazewell	8.298	2013.046
Rock Island	28.573	5396.528
Ogle	3.42	1152.477
Calhoun	0.0	0.0
Iroquois	3.556	862.735
Saline	0.0	0.0
Christian	15.93	2573.228
Marshall	0.0	0.0
Lake	12.074	5572.106
Will	31.933	10758.505
Randolph	6.196	2088.027
Macoupin	0.001	22.561
Mason	0.0	0.0
Adams	2.655	433.534
Stephenson	0.0	2.0
Cook	23.72	21096.936
De Kalb	15.93	2571.228
Franklin	0.0	0.0
Gallatin	0.0	0.0
Jo Daviess	7.965	1286.615
Moultrie	0.0	0.0
Clark	0.0	0.0
Menard	0.0	0.0
Dewitt	3.911	1318.055
Sangamon	15.038	2838.593
Piatt	0.0	0.0
Dupage	2.838	2306.447
Knox	0.0	0.0
Whiteside	15.93	2571.228
Crawford	2.959	865.642
Kane	0.529	508.183
Champaign	6.979	1512.523
Grundy	4.925	862.001
Jasper	3.639	1315.251
Wabash	0.0	0.0
Saint Clair	0.267	217.804
Jackson	15.93	2573.228
