Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Cumberland	0.913	7.907	61.907	0.0	0.0	2.0	8.447e-05	0.00073159	0.00572789	0.0	0.0	0.00018505
Vermilion	4.686	40.166	274.166	0.0	0.0	2.0	6.101e-05	0.00052295	0.00356959	0.0	0.0	2.604e-05
Logan	2.44	21.131	132.131	0.0	0.0	0.0	8.436e-05	0.00073054	0.00456806	0.0	0.0	0.0
Brown	0.0	0.124	13.124	0.0	0.0	0.0	0.0	1.891e-05	0.00200183	0.0	0.0	0.0
Pike	0.6	4.909	25.909	0.0	0.0	0.0	3.843e-05	0.00031446	0.00165966	0.0	0.0	0.0
Richland	0.877	4.892	23.892	0.0	0.0	0.0	5.564e-05	0.00031035	0.0015157	0.0	0.0	0.0
Wayne	2.628	21.873	82.873	0.0	0.0	1.0	0.00016091	0.00133927	0.00507427	0.0	0.0	6.123e-05
Kendall	8.712	76.455	1440.455	0.186	1.454	24.454	6.811e-05	0.0005977	0.01126103	1.45e-06	1.137e-05	0.00019117
Fulton	3.086	14.594	47.594	0.186	1.454	1.454	8.857e-05	0.00041884	0.00136592	5.34e-06	4.173e-05	4.173e-05
Williamson	9.147	79.213	467.213	0.096	0.648	6.648	0.00013641	0.0011813	0.0069675	1.43e-06	9.66e-06	9.914e-05
Montgomery	3.267	26.2	191.2	0.488	2.906	9.906	0.00011423	0.00091605	0.00668508	1.706e-05	0.0001016	0.00034635
Ford	3.706	17.528	66.528	0.016	0.135	2.135	0.0002794	0.00132147	0.00501568	1.21e-06	1.018e-05	0.00016096
McHenry	30.095	260.624	3423.624	0.346	2.996	116.996	9.753e-05	0.00084462	0.01109513	1.12e-06	9.71e-06	0.00037916
La Salle	42.971	264.358	1003.358	1.327	6.592	30.592	0.00039268	0.00241577	0.00916895	1.213e-05	6.024e-05	0.00027956
Alexander	0.132	1.145	38.145	1.327	6.592	6.592	2.178e-05	0.00018894	0.00629455	0.00021898	0.00108779	0.00108779
Woodford	9.512	58.519	204.519	0.0	0.0	3.0	0.0002473	0.00152144	0.00531729	0.0	0.0	7.8e-05
Henderson	0.07	0.606	12.606	0.0	0.0	0.0	1.043e-05	9.033e-05	0.00187897	0.0	0.0	0.0
Hamilton	1.22	10.567	39.567	0.0	0.0	0.0	0.00014945	0.0012945	0.00484712	0.0	0.0	0.0
Peoria	38.068	329.675	1903.675	0.308	2.08	37.08	0.00021076	0.00182523	0.01053961	1.71e-06	1.152e-05	0.00020529
Lee	2.796	23.646	193.646	0.286	1.354	2.354	8.17e-05	0.00069094	0.00565836	8.36e-06	3.956e-05	6.878e-05
Washington	0.48	6.347	72.347	0.286	1.354	1.354	3.43e-05	0.00045352	0.00516949	2.044e-05	9.675e-05	9.675e-05
Jersey	9.67	45.734	149.734	0.016	0.135	2.135	0.00044262	0.00209338	0.00685376	7.3e-07	6.18e-06	9.773e-05
Kankakee	7.519	71.299	1839.299	0.009	0.446	68.446	6.834e-05	0.00064803	0.01671725	8e-08	4.05e-06	0.0006221
Massac	0.202	2.443	41.443	0.009	0.446	0.446	1.435e-05	0.00017351	0.00294339	6.4e-07	3.168e-05	3.168e-05
Hardin	0.158	1.499	19.499	0.009	0.446	0.446	4.041e-05	0.00038338	0.00498696	2.3e-06	0.00011407	0.00011407
Macon	14.979	129.721	740.721	0.123	0.833	23.833	0.00014305	0.00123884	0.00707389	1.17e-06	7.96e-06	0.00022761
Effingham	6.404	55.456	205.456	0.0	0.0	1.0	0.00018721	0.00162114	0.00600608	0.0	0.0	2.923e-05
Fayette	0.864	8.805	73.805	0.0	0.0	3.0	4.034e-05	0.00041114	0.00344626	0.0	0.0	0.00014008
Cass	3.465	30.394	260.394	0.0	0.0	11.0	0.00028263	0.00247912	0.02123931	0.0	0.0	0.00089723
Jefferson	6.705	52.374	334.374	0.336	1.973	20.973	0.00017729	0.00138482	0.0088412	8.88e-06	5.217e-05	0.00055455
Pulaski	0.175	1.515	94.515	0.336	1.973	1.973	3.203e-05	0.00027732	0.01730093	6.15e-05	0.00036116	0.00036116
Bureau	8.012	69.386	259.386	0.0	0.0	3.0	0.00024284	0.00210305	0.00786185	0.0	0.0	9.093e-05
Coles	6.33	67.058	541.058	0.034	0.349	20.349	0.0001244	0.00131783	0.01063296	6.7e-07	6.86e-06	0.0003999
Bond	1.974	17.095	77.095	0.039	0.336	3.336	0.0001187	0.00102796	0.0046359	2.35e-06	2.02e-05	0.0002006
Monroe	6.295	54.515	366.515	0.0	0.0	13.0	0.00018334	0.00158774	0.01067468	0.0	0.0	0.00037862
Douglas	0.024	1.155	116.155	0.0	0.0	2.0	1.23e-06	5.929e-05	0.00596309	0.0	0.0	0.00010267
Lawrence	0.535	4.952	52.952	0.0	0.0	0.0	3.394e-05	0.00031411	0.00335883	0.0	0.0	0.0
Marion	2.933	25.137	181.137	0.0	0.0	0.0	7.796e-05	0.00066818	0.00481491	0.0	0.0	0.0
Winnebago	11.938	123.265	3895.265	0.867	7.504	138.504	4.202e-05	0.00043391	0.01371181	3.05e-06	2.642e-05	0.00048755
Mercer	2.432	21.065	95.065	1.541	10.405	14.405	0.00015589	0.00135023	0.00609352	9.878e-05	0.00066694	0.00092334
McLean	11.261	98.277	736.277	0.0	0.0	15.0	6.516e-05	0.00056864	0.00426017	0.0	0.0	8.679e-05
Livingston	2.346	20.474	130.474	0.0	0.0	2.0	6.56e-05	0.00057252	0.0036485	0.0	0.0	5.593e-05
Henry	4.422	38.295	272.295	0.0	0.0	1.0	9.008e-05	0.0007801	0.00554685	0.0	0.0	2.037e-05
Madison	42.129	364.841	2894.841	0.253	2.187	78.187	0.0001593	0.00137956	0.01094619	9.6e-07	8.27e-06	0.00029565
Boone	4.562	39.507	800.507	0.0	0.0	23.0	8.515e-05	0.00073739	0.01494124	0.0	0.0	0.00042929
Schuyler	0.345	2.872	20.872	0.0	0.0	0.0	4.995e-05	0.00041581	0.00302186	0.0	0.0	0.0
Tazewell	18.849	151.159	648.159	0.0	0.0	8.0	0.00014244	0.00114231	0.00489812	0.0	0.0	6.046e-05
Scott	0.767	6.382	25.382	0.0	0.0	0.0	0.0001557	0.00129557	0.00515266	0.0	0.0	0.0
Rock Island	18.181	157.451	1888.451	0.63	4.254	40.254	0.00012672	0.0010974	0.01316205	4.39e-06	2.965e-05	0.00028056
Ogle	5.602	39.353	448.353	0.0	0.0	5.0	0.00011001	0.00077279	0.00880453	0.0	0.0	9.819e-05
Calhoun	0.704	4.032	13.032	0.0	0.0	0.0	0.00014661	0.00083965	0.00271387	0.0	0.0	0.0
Iroquois	0.0	7.401	268.401	0.023	1.115	12.115	0.0	0.00026811	0.00972326	8.3e-07	4.039e-05	0.00043889
Saline	3.808	32.977	163.977	0.0	0.0	2.0	0.00015929	0.00137944	0.00685924	0.0	0.0	8.366e-05
Christian	4.22	36.545	173.545	0.0	0.0	4.0	0.00012921	0.00111892	0.00531352	0.0	0.0	0.00012247
Marshall	0.567	4.913	30.913	0.0	0.0	0.0	4.916e-05	0.00042596	0.00268016	0.0	0.0	0.0
Lake	84.547	703.717	13320.717	0.589	3.978	449.978	0.00012064	0.00100412	0.019007	8.4e-07	5.68e-06	0.00064206
Unassigned	5.704	49.398	1402.398	0.711	6.157	215.157	N/A	N/A	N/A	N/A	N/A	N/A
Will	75.445	627.956	9778.956	1.622	7.671	351.671	0.00010898	0.00090704	0.01412511	2.34e-06	1.108e-05	0.00050797
Randolph	3.769	31.374	488.374	0.0	0.0	7.0	0.00011739	0.0009772	0.0152113	0.0	0.0	0.00021803
Macoupin	3.163	27.393	197.393	0.0	0.0	3.0	6.98e-05	0.00060453	0.00435621	0.0	0.0	6.621e-05
Mason	0.323	2.792	49.792	0.0	0.0	0.0	2.381e-05	0.00020582	0.00367062	0.0	0.0	0.0
Edwards	0.485	5.048	22.048	0.0	0.0	0.0	7.588e-05	0.00078974	0.00344931	0.0	0.0	0.0
Adams	15.592	127.585	644.585	1.117	6.753	11.753	0.00023735	0.0019422	0.00981238	1.7e-05	0.0001028	0.00017891
Stephenson	1.512	13.091	340.091	0.0	0.0	6.0	3.379e-05	0.00029252	0.00759929	0.0	0.0	0.00013407
Cook	542.383	4697.08	115562.08	2.832	34.855	4958.855	0.0001047	0.00090669	0.02230716	5.5e-07	6.73e-06	0.00095722
Clay	1.295	8.74	31.74	2.832	34.855	34.855	9.771e-05	0.00065947	0.00239493	0.00021369	0.00262997	0.00262997
De Kalb	21.158	137.376	1064.376	1.095	5.65	35.65	0.00020316	0.00131911	0.01022033	1.051e-05	5.425e-05	0.00034232
Shelby	2.411	21.042	100.042	0.0	0.0	1.0	0.0001109	0.00096785	0.00460154	0.0	0.0	4.6e-05
Putnam	1.288	6.093	17.093	0.0	0.0	0.0	0.00022439	0.0010615	0.00297787	0.0	0.0	0.0
Franklin	5.92	44.783	212.783	0.0	0.0	0.0	0.00015297	0.00115715	0.00549813	0.0	0.0	0.0
Gallatin	0.372	4.711	55.711	0.0	0.0	2.0	7.355e-05	0.0009314	0.01101443	0.0	0.0	0.00039541
Jo Daviess	1.26	12.208	136.208	0.0	0.0	1.0	5.897e-05	0.00057138	0.00637499	0.0	0.0	4.68e-05
Pope	0.148	1.28	10.28	0.0	0.0	0.0	3.514e-05	0.00030389	0.00244065	0.0	0.0	0.0
Greene	5.185	24.522	63.522	0.0	0.0	0.0	0.0003975	0.00187994	0.00486983	0.0	0.0	0.0
McDonough	5.329	26.929	167.929	0.0	0.0	15.0	0.0001779	0.00089898	0.00560604	0.0	0.0	0.00050075
Hancock	6.378	30.164	83.164	0.0	0.0	1.0	0.00035743	0.00169043	0.00466061	0.0	0.0	5.604e-05
Union	4.348	37.655	358.655	0.192	1.294	24.294	0.00025818	0.00223591	0.02129654	1.14e-05	7.684e-05	0.00144255
Edgar	0.268	2.322	31.322	0.192	1.294	1.294	1.544e-05	0.00013376	0.00180426	1.106e-05	7.454e-05	7.454e-05
Moultrie	2.11	16.924	89.924	0.192	1.294	1.294	0.00014337	0.00114996	0.00611021	1.305e-05	8.793e-05	8.793e-05
Perry	10.446	65.81	221.81	0.0	0.0	1.0	0.00049334	0.00310806	0.01047558	0.0	0.0	4.723e-05
Clark	1.162	10.063	91.063	0.0	0.0	2.0	7.451e-05	0.00064523	0.00583887	0.0	0.0	0.00012824
Menard	1.387	11.122	65.122	0.0	0.0	0.0	0.00011287	0.00090511	0.00529964	0.0	0.0	0.0
Dewitt	1.343	8.722	40.722	0.0	0.0	0.0	8.517e-05	0.00055311	0.00258241	0.0	0.0	0.0
Sangamon	28.356	243.036	1472.036	0.0	0.0	33.0	0.00014516	0.00124412	0.00753545	0.0	0.0	0.00016893
