Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-18	0.0	1.0	1.076	1.076
2020-04-19	0.0	1.0	1.173	2.249
2020-04-20	0.0	1.0	1.274	3.523
2020-04-21	0.0	1.0	1.386	4.909
2020-04-22	0.0	1.0	1.497	6.406
2020-04-23	0.0	1.0	1.604	8.01
2020-04-24	0.0	1.0	1.696	9.706
2020-04-25	0.0	1.0	1.767	11.473
2020-04-26	0.0	1.0	1.808	13.281
2020-04-27	0.0	1.0	1.831	15.112
2020-04-28	0.0	1.0	1.837	16.949
2020-04-29	0.0	1.0	1.834	18.783
2020-04-30	0.0	1.0	1.817	20.6
2020-05-01	0.0	1.0	1.794	22.394
2020-05-02	0.0	1.0	1.766	24.16
2020-05-03	0.0	1.0	1.732	25.892
2020-05-04	0.0	1.0	1.692	27.584
2020-05-05	0.0	1.0	1.647	29.231
2020-05-06	0.0	1.0	1.603	30.834
2020-05-07	0.0	1.0	1.56	32.394
2020-05-08	0.0	1.0	1.52	33.914
2020-05-09	0.0	1.0	1.483	35.397
2020-05-10	0.0	1.0	1.445	36.842
2020-05-11	0.0	1.0	1.404	38.246
2020-05-12	0.0	1.0	1.36	39.606
2020-05-13	0.0	1.0	1.312	40.918
2020-05-14	0.0	1.0	1.26	42.178
2020-05-15	0.0	1.0	1.209	43.387
2020-05-16	0.0	1.0	1.158	44.545
2020-05-17	0.0	1.0	1.107	45.652
2020-05-18	0.0	1.0	1.057	46.709
2020-05-19	0.0	1.0	1.009	47.718
2020-05-20	0.0	1.0	0.962	48.68
2020-05-21	0.0	1.0	0.915	49.595
2020-05-22	0.0	1.0	0.87	50.465
2020-05-23	0.0	1.0	0.826	51.291
2020-05-24	0.0	1.0	0.784	52.075
2020-05-25	0.0	1.0	0.744	52.819
2020-05-26	0.0	1.0	0.705	53.524
2020-05-27	0.0	1.0	0.668	54.192
2020-05-28	0.0	1.0	0.633	54.825
2020-05-29	0.0	1.0	0.599	55.424
2020-05-30	0.0	1.0	0.566	55.99
2020-05-31	0.0	1.0	0.533	56.523
2020-06-01	0.0	1.0	0.501	57.024
2020-06-02	0.0	1.0	0.469	57.493
2020-06-03	0.0	1.0	0.437	57.93
2020-06-04	0.0	1.0	0.405	58.335
2020-06-05	0.0	1.0	0.376	58.711
2020-06-06	0.0	1.0	0.35	59.061
2020-06-07	0.0	1.0	0.327	59.388
2020-06-08	0.0	1.0	0.308	59.696
2020-06-09	0.0	1.0	0.291	59.987
2020-06-10	0.0	1.0	0.276	60.263
2020-06-11	0.0	1.0	0.26	60.523
2020-06-12	0.0	1.0	0.245	60.768
2020-06-13	0.0	1.0	0.23	60.998
2020-06-14	0.0	1.0	0.214	61.212
2020-06-15	0.0	1.0	0.199	61.411
2020-06-16	0.0	1.0	0.185	61.596
2020-06-17	0.0	1.0	0.173	61.769
2020-06-18	0.0	1.0	0.161	61.93
2020-06-19	0.0	1.0	0.151	62.081
2020-06-20	0.0	1.0	0.142	62.223
2020-06-21	0.0	1.0	0.133	62.356
2020-06-22	0.0	1.0	0.124	62.48
2020-06-23	0.0	1.0	0.116	62.596
2020-06-24	0.0	1.0	0.107	62.703
2020-06-25	0.0	1.0	0.098	62.801
2020-06-26	0.0	1.0	0.088	62.889
2020-06-27	0.0	1.0	0.08	62.969
2020-06-28	0.0	1.0	0.072	63.041
2020-06-29	0.0	1.0	0.064	63.105
2020-06-30	0.0	1.0	0.057	63.162
2020-07-01	0.0	1.0	0.051	63.213
2020-07-02	0.0	1.0	0.045	63.258
2020-07-03	0.0	1.0	0.039	63.297
2020-07-04	0.0	1.0	0.033	63.33
2020-07-05	0.0	1.0	0.027	63.357
2020-07-06	0.0	1.0	0.021	63.378
2020-07-07	0.0	1.0	0.015	63.393
2020-07-08	0.0	1.0	0.01	63.403
2020-07-09	0.0	1.0	0.006	63.409
2020-07-10	0.0	1.0	0.004	63.413
2020-07-11	0.0	1.0	0.003	63.416
2020-07-12	0.0	1.0	0.002	63.418
2020-07-13	0.0	1.0	0.001	63.419
2020-07-14	0.0	1.0	0.001	63.42
2020-07-15	0.0	1.0	0.001	63.421
2020-07-16	0.0	1.0	0.001	63.422
2020-07-17	0.0	1.0	0.001	63.423
2020-07-18	0.0	1.0	0.0	63.423
2020-07-19	0.0	1.0	0.0	63.423
2020-07-20	0.0	1.0	0.0	63.423
2020-07-21	0.0	1.0	0.0	63.423
2020-07-22	0.0	1.0	0.0	63.423
2020-07-23	0.0	1.0	0.0	63.423
2020-07-24	0.0	1.0	0.0	63.423
2020-07-25	0.0	1.0	0.0	63.423
2020-07-26	0.0	1.0	0.0	63.423
2020-07-27	0.0	1.0	0.0	63.423
2020-07-28	0.0	1.0	0.0	63.423
2020-07-29	0.0	1.0	0.0	63.423
2020-07-30	0.0	1.0	0.0	63.423
2020-07-31	0.0	1.0	0.0	63.423
2020-08-01	0.0	1.0	0.0	63.423
2020-08-02	0.0	1.0	0.0	63.423
2020-08-03	0.0	1.0	0.0	63.423
2020-08-04	0.0	1.0	0.0	63.423
2020-08-05	0.0	1.0	0.0	63.423
2020-08-06	0.0	1.0	0.0	63.423
2020-08-07	0.0	1.0	0.0	63.423
2020-08-08	0.0	1.0	0.0	63.423
2020-08-09	0.0	1.0	0.0	63.423
2020-08-10	0.0	1.0	0.0	63.423
2020-08-11	0.0	1.0	0.0	63.423
2020-08-12	0.0	1.0	0.0	63.423
2020-08-13	0.0	1.0	0.0	63.423
2020-08-14	0.0	1.0	0.0	63.423
2020-08-15	0.0	1.0	0.0	63.423
2020-08-16	0.0	1.0	0.0	63.423
2020-08-17	0.0	1.0	0.0	63.423
2020-08-18	0.0	1.0	0.0	63.423
2020-08-19	0.0	1.0	0.0	63.423
2020-08-20	0.0	1.0	0.0	63.423
2020-08-21	0.0	1.0	0.0	63.423
2020-08-22	0.0	1.0	0.0	63.423
2020-08-23	0.0	1.0	0.0	63.423
2020-08-24	0.0	1.0	0.0	63.423
2020-08-25	0.0	1.0	0.0	63.423
2020-08-26	0.0	1.0	0.0	63.423
2020-08-27	0.0	1.0	0.0	63.423
2020-08-28	0.0	1.0	0.0	63.423
2020-08-29	0.0	1.0	0.0	63.423
2020-08-30	0.0	1.0	0.0	63.423
