Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-08	0.947	126.947	0.24	0.24
2020-06-09	1.109	128.056	0.284	0.524
2020-06-10	1.289	129.345	0.335	0.859
2020-06-11	1.485	130.83	0.395	1.254
2020-06-12	1.699	132.529	0.463	1.717
2020-06-13	1.927	134.456	0.538	2.255
2020-06-14	2.162	136.618	0.619	2.874
2020-06-15	2.4	139.018	0.709	3.583
2020-06-16	2.636	141.654	0.804	4.387
2020-06-17	2.874	144.528	0.902	5.289
2020-06-18	3.122	147.65	1.001	6.29
2020-06-19	3.396	151.046	1.099	7.389
2020-06-20	3.668	154.714	1.199	8.588
2020-06-21	3.932	158.646	1.302	9.89
2020-06-22	4.156	162.802	1.416	11.306
2020-06-23	4.33	167.132	1.53	12.836
2020-06-24	4.43	171.562	1.64	14.476
2020-06-25	4.487	176.049	1.733	16.209
2020-06-26	4.503	180.552	1.806	18.015
2020-06-27	4.495	185.047	1.848	19.863
2020-06-28	4.453	189.5	1.871	21.734
2020-06-29	4.395	193.895	1.878	23.612
2020-06-30	4.329	198.224	1.875	25.487
2020-07-01	4.246	202.47	1.857	27.344
2020-07-02	4.146	206.616	1.833	29.177
2020-07-03	4.037	210.653	1.806	30.983
2020-07-04	3.93	214.583	1.771	32.754
2020-07-05	3.823	218.406	1.729	34.483
2020-07-06	3.724	222.13	1.684	36.167
2020-07-07	3.634	225.764	1.639	37.806
2020-07-08	3.542	229.306	1.594	39.4
2020-07-09	3.441	232.747	1.553	40.953
2020-07-10	3.332	236.079	1.515	42.468
2020-07-11	3.214	239.293	1.477	43.945
2020-07-12	3.089	242.382	1.435	45.38
2020-07-13	2.963	245.345	1.39	46.77
2020-07-14	2.837	248.182	1.341	48.111
2020-07-15	2.713	250.895	1.288	49.399
2020-07-16	2.591	253.486	1.236	50.635
2020-07-17	2.473	255.959	1.183	51.818
2020-07-18	2.357	258.316	1.132	52.95
2020-07-19	2.243	260.559	1.081	54.031
2020-07-20	2.132	262.691	1.031	55.062
2020-07-21	2.025	264.716	0.983	56.045
2020-07-22	1.921	266.637	0.935	56.98
2020-07-23	1.822	268.459	0.889	57.869
2020-07-24	1.728	270.187	0.845	58.714
2020-07-25	1.638	271.825	0.801	59.515
2020-07-26	1.551	273.376	0.76	60.275
2020-07-27	1.468	274.844	0.721	60.996
2020-07-28	1.387	276.231	0.683	61.679
2020-07-29	1.307	277.538	0.647	62.326
2020-07-30	1.228	278.766	0.612	62.938
2020-07-31	1.149	279.915	0.578	63.516
2020-08-01	1.071	280.986	0.545	64.061
2020-08-02	0.993	281.979	0.512	64.573
2020-08-03	0.921	282.9	0.479	65.052
2020-08-04	0.858	283.758	0.446	65.498
2020-08-05	0.803	284.561	0.414	65.912
2020-08-06	0.755	285.316	0.384	66.296
2020-08-07	0.714	286.03	0.358	66.654
2020-08-08	0.676	286.706	0.335	66.989
2020-08-09	0.638	287.344	0.315	67.304
2020-08-10	0.6	287.944	0.298	67.602
2020-08-11	0.563	288.507	0.282	67.884
2020-08-12	0.525	289.032	0.266	68.15
2020-08-13	0.488	289.52	0.25	68.4
2020-08-14	0.454	289.974	0.235	68.635
2020-08-15	0.423	290.397	0.219	68.854
2020-08-16	0.396	290.793	0.203	69.057
2020-08-17	0.371	291.164	0.189	69.246
2020-08-18	0.349	291.513	0.176	69.422
2020-08-19	0.327	291.84	0.165	69.587
2020-08-20	0.305	292.145	0.155	69.742
2020-08-21	0.283	292.428	0.146	69.888
2020-08-22	0.261	292.689	0.136	70.024
2020-08-23	0.239	292.928	0.127	70.151
2020-08-24	0.217	293.145	0.118	70.269
2020-08-25	0.195	293.34	0.109	70.378
2020-08-26	0.175	293.515	0.1	70.478
2020-08-27	0.157	293.672	0.09	70.568
2020-08-28	0.14	293.812	0.081	70.649
2020-08-29	0.125	293.937	0.073	70.722
2020-08-30	0.11	294.047	0.065	70.787
2020-08-31	0.096	294.143	0.058	70.845
2020-09-01	0.082	294.225	0.052	70.897
2020-09-02	0.067	294.292	0.046	70.943
2020-09-03	0.053	294.345	0.04	70.983
2020-09-04	0.037	294.382	0.034	71.017
2020-09-05	0.024	294.406	0.028	71.045
2020-09-06	0.015	294.421	0.022	71.067
2020-09-07	0.009	294.43	0.016	71.083
2020-09-08	0.006	294.436	0.01	71.093
2020-09-09	0.004	294.44	0.006	71.099
2020-09-10	0.003	294.443	0.004	71.103
2020-09-11	0.003	294.446	0.003	71.106
2020-09-12	0.002	294.448	0.002	71.108
2020-09-13	0.002	294.45	0.001	71.109
2020-09-14	0.001	294.451	0.001	71.11
2020-09-15	0.001	294.452	0.001	71.111
2020-09-16	0.0	294.452	0.001	71.112
2020-09-17	0.0	294.452	0.001	71.113
