Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-20	0.596	119.596	0.0	2.0
2020-07-21	0.59	120.186	0.0	2.0
2020-07-22	0.582	120.768	0.0	2.0
2020-07-23	0.574	121.342	0.0	2.0
2020-07-24	0.563	121.905	0.0	2.0
2020-07-25	0.549	122.454	0.0	2.0
2020-07-26	0.535	122.989	0.0	2.0
2020-07-27	0.521	123.51	0.0	2.0
2020-07-28	0.506	124.016	0.0	2.0
2020-07-29	0.493	124.509	0.0	2.0
2020-07-30	0.481	124.99	0.0	2.0
2020-07-31	0.469	125.459	0.0	2.0
2020-08-01	0.456	125.915	0.0	2.0
2020-08-02	0.441	126.356	0.0	2.0
2020-08-03	0.426	126.782	0.0	2.0
2020-08-04	0.409	127.191	0.0	2.0
2020-08-05	0.393	127.584	0.0	2.0
2020-08-06	0.376	127.96	0.0	2.0
2020-08-07	0.359	128.319	0.0	2.0
2020-08-08	0.343	128.662	0.0	2.0
2020-08-09	0.328	128.99	0.0	2.0
2020-08-10	0.312	129.302	0.0	2.0
2020-08-11	0.297	129.599	0.0	2.0
2020-08-12	0.282	129.881	0.0	2.0
2020-08-13	0.268	130.149	0.0	2.0
2020-08-14	0.255	130.404	0.0	2.0
2020-08-15	0.241	130.645	0.0	2.0
2020-08-16	0.229	130.874	0.0	2.0
2020-08-17	0.217	131.091	0.0	2.0
2020-08-18	0.206	131.297	0.0	2.0
2020-08-19	0.194	131.491	0.0	2.0
2020-08-20	0.184	131.675	0.0	2.0
2020-08-21	0.173	131.848	0.0	2.0
2020-08-22	0.163	132.011	0.0	2.0
2020-08-23	0.152	132.163	0.0	2.0
2020-08-24	0.142	132.305	0.0	2.0
2020-08-25	0.132	132.437	0.0	2.0
2020-08-26	0.122	132.559	0.0	2.0
2020-08-27	0.114	132.673	0.0	2.0
2020-08-28	0.106	132.779	0.0	2.0
2020-08-29	0.1	132.879	0.0	2.0
2020-08-30	0.095	132.974	0.0	2.0
2020-08-31	0.09	133.064	0.0	2.0
2020-09-01	0.085	133.149	0.0	2.0
2020-09-02	0.08	133.229	0.0	2.0
2020-09-03	0.075	133.304	0.0	2.0
2020-09-04	0.07	133.374	0.0	2.0
2020-09-05	0.065	133.439	0.0	2.0
2020-09-06	0.06	133.499	0.0	2.0
2020-09-07	0.056	133.555	0.0	2.0
2020-09-08	0.052	133.607	0.0	2.0
2020-09-09	0.049	133.656	0.0	2.0
2020-09-10	0.046	133.702	0.0	2.0
2020-09-11	0.043	133.745	0.0	2.0
2020-09-12	0.04	133.785	0.0	2.0
2020-09-13	0.038	133.823	0.0	2.0
2020-09-14	0.035	133.858	0.0	2.0
2020-09-15	0.032	133.89	0.0	2.0
2020-09-16	0.029	133.919	0.0	2.0
2020-09-17	0.026	133.945	0.0	2.0
2020-09-18	0.023	133.968	0.0	2.0
2020-09-19	0.021	133.989	0.0	2.0
2020-09-20	0.019	134.008	0.0	2.0
2020-09-21	0.017	134.025	0.0	2.0
2020-09-22	0.015	134.04	0.0	2.0
2020-09-23	0.013	134.053	0.0	2.0
2020-09-24	0.011	134.064	0.0	2.0
2020-09-25	0.009	134.073	0.0	2.0
2020-09-26	0.007	134.08	0.0	2.0
2020-09-27	0.005	134.085	0.0	2.0
2020-09-28	0.003	134.088	0.0	2.0
2020-09-29	0.002	134.09	0.0	2.0
2020-09-30	0.001	134.091	0.0	2.0
2020-10-01	0.001	134.092	0.0	2.0
2020-10-02	0.001	134.093	0.0	2.0
2020-10-03	0.0	134.093	0.0	2.0
2020-10-04	0.0	134.093	0.0	2.0
2020-10-05	0.0	134.093	0.0	2.0
2020-10-06	0.0	134.093	0.0	2.0
2020-10-07	0.0	134.093	0.0	2.0
2020-10-08	0.0	134.093	0.0	2.0
