Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-24	1.387	219.387	0.12	34.12
2020-07-25	1.343	220.73	0.118	34.238
2020-07-26	1.295	222.025	0.116	34.354
2020-07-27	1.245	223.27	0.113	34.467
2020-07-28	1.194	224.464	0.11	34.577
2020-07-29	1.143	225.607	0.107	34.684
2020-07-30	1.093	226.7	0.104	34.788
2020-07-31	1.044	227.744	0.102	34.89
2020-08-01	0.997	228.741	0.099	34.989
2020-08-02	0.95	229.691	0.097	35.086
2020-08-03	0.904	230.595	0.094	35.18
2020-08-04	0.859	231.454	0.091	35.271
2020-08-05	0.816	232.27	0.088	35.359
2020-08-06	0.774	233.044	0.084	35.443
2020-08-07	0.734	233.778	0.081	35.524
2020-08-08	0.696	234.474	0.077	35.601
2020-08-09	0.66	235.134	0.074	35.675
2020-08-10	0.625	235.759	0.071	35.746
2020-08-11	0.591	236.35	0.068	35.814
2020-08-12	0.559	236.909	0.064	35.878
2020-08-13	0.527	237.436	0.061	35.939
2020-08-14	0.495	237.931	0.058	35.997
2020-08-15	0.463	238.394	0.055	36.052
2020-08-16	0.431	238.825	0.052	36.104
2020-08-17	0.4	239.225	0.05	36.154
2020-08-18	0.371	239.596	0.047	36.201
2020-08-19	0.346	239.942	0.045	36.246
2020-08-20	0.323	240.265	0.042	36.288
2020-08-21	0.304	240.569	0.04	36.328
2020-08-22	0.288	240.857	0.038	36.366
2020-08-23	0.272	241.129	0.036	36.402
2020-08-24	0.257	241.386	0.034	36.436
2020-08-25	0.242	241.628	0.031	36.467
2020-08-26	0.227	241.855	0.029	36.496
2020-08-27	0.211	242.066	0.027	36.523
2020-08-28	0.196	242.262	0.025	36.548
2020-08-29	0.183	242.445	0.023	36.571
2020-08-30	0.171	242.616	0.022	36.593
2020-08-31	0.159	242.775	0.021	36.614
2020-09-01	0.15	242.925	0.019	36.633
2020-09-02	0.141	243.066	0.018	36.651
2020-09-03	0.132	243.198	0.017	36.668
2020-09-04	0.123	243.321	0.016	36.684
2020-09-05	0.114	243.435	0.015	36.699
2020-09-06	0.105	243.54	0.014	36.713
2020-09-07	0.096	243.636	0.013	36.726
2020-09-08	0.087	243.723	0.012	36.738
2020-09-09	0.079	243.802	0.012	36.75
2020-09-10	0.071	243.873	0.011	36.761
2020-09-11	0.063	243.936	0.01	36.771
2020-09-12	0.057	243.993	0.01	36.781
2020-09-13	0.05	244.043	0.009	36.79
2020-09-14	0.044	244.087	0.008	36.798
2020-09-15	0.039	244.126	0.008	36.806
2020-09-16	0.033	244.159	0.007	36.813
2020-09-17	0.027	244.186	0.007	36.82
2020-09-18	0.021	244.207	0.006	36.826
2020-09-19	0.015	244.222	0.005	36.831
2020-09-20	0.01	244.232	0.005	36.836
2020-09-21	0.006	244.238	0.004	36.84
2020-09-22	0.004	244.242	0.004	36.844
2020-09-23	0.002	244.244	0.003	36.847
2020-09-24	0.002	244.246	0.003	36.85
2020-09-25	0.001	244.247	0.003	36.853
2020-09-26	0.001	244.248	0.002	36.855
2020-09-27	0.001	244.249	0.002	36.857
2020-09-28	0.001	244.25	0.001	36.858
2020-09-29	0.001	244.251	0.001	36.859
2020-09-30	0.0	244.251	0.001	36.86
2020-10-01	0.0	244.251	0.0	36.86
2020-10-02	0.0	244.251	0.0	36.86
2020-10-03	0.0	244.251	0.0	36.86
2020-10-04	0.0	244.251	0.0	36.86
2020-10-05	0.0	244.251	0.0	36.86
2020-10-06	0.0	244.251	0.0	36.86
2020-10-07	0.0	244.251	0.0	36.86
2020-10-08	0.0	244.251	0.0	36.86
2020-10-09	0.0	244.251	0.0	36.86
