Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Floyd	1.103	13.723	348.723	0.327	3.155	45.155	1.418e-05	0.00017643	0.0044834	4.2e-06	4.056e-05	0.00058054
Wells	1.977	22.879	78.879	0.327	3.155	3.155	7.009e-05	0.00081114	0.00279653	1.159e-05	0.00011186	0.00011186
Brown	0.288	3.476	39.476	0.0	0.0	1.0	1.891e-05	0.00022817	0.00259131	0.0	0.0	6.564e-05
Pike	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.00048348	0.0	0.0	0.0
Wayne	0.834	10.371	114.371	0.028	0.269	6.269	1.265e-05	0.00015729	0.00173458	4.2e-07	4.08e-06	9.508e-05
Kosciusko	8.89	112.549	423.549	0.0	0.067	2.067	0.00011204	0.00141849	0.00533814	0.0	8.4e-07	2.605e-05
Fulton	0.23	2.862	57.862	0.0	0.0	1.0	1.145e-05	0.00014244	0.00287985	0.0	0.0	4.977e-05
Hendricks	6.222	76.995	1352.995	1.446	17.141	109.141	3.726e-05	0.00046102	0.00810133	8.66e-06	0.00010264	0.0006535
Montgomery	1.473	18.329	284.329	0.327	3.155	22.155	3.841e-05	0.00047799	0.00741483	8.53e-06	8.228e-05	0.00057777
Fountain	0.072	1.105	25.105	0.0	0.0	2.0	4.4e-06	6.758e-05	0.00153538	0.0	0.0	0.00012232
Blackford	0.121	1.845	30.845	0.0	0.0	2.0	1.014e-05	0.00015465	0.0025855	0.0	0.0	0.00016764
Hamilton	8.809	101.933	1458.933	0.402	3.711	99.711	2.669e-05	0.00030881	0.00441986	1.22e-06	1.124e-05	0.00030208
Washington	2.378	17.281	75.281	0.0	0.0	1.0	8.51e-05	0.00061844	0.00269409	0.0	0.0	3.579e-05
Noble	0.803	35.663	372.663	0.285	5.078	32.078	1.689e-05	0.00075029	0.00784025	6e-06	0.00010683	0.00067487
Martin	0.006	0.665	16.665	0.285	5.078	5.078	5.9e-07	6.509e-05	0.00163111	2.789e-05	0.00049701	0.00049701
Fayette	0.288	3.476	87.476	0.0	0.0	7.0	1.25e-05	0.00015082	0.00379555	0.0	0.0	0.00030373
Cass	0.327	4.069	1610.069	0.139	1.343	10.343	8.62e-06	0.00010721	0.04242047	3.66e-06	3.538e-05	0.00027251
Jefferson	0.229	3.729	56.729	0.0	0.0	1.0	7.11e-06	0.00011578	0.00176133	0.0	0.0	3.105e-05
Bartholomew	1.772	22.432	576.432	0.21	2.287	43.287	2.141e-05	0.00027107	0.00696569	2.54e-06	2.764e-05	0.00052309
Newton	1.803	15.102	103.102	0.0	0.0	10.0	0.00012868	0.00107787	0.00735865	0.0	0.0	0.00071372
Pulaski	0.0	0.934	53.934	0.0	0.0	1.0	0.0	7.491e-05	0.00432545	0.0	0.0	8.02e-05
Tippecanoe	3.304	47.019	538.019	0.089	1.156	6.156	1.711e-05	0.00024356	0.00278697	4.6e-07	5.99e-06	3.189e-05
Ripley	0.122	1.521	110.521	0.0	0.0	6.0	4.28e-06	5.333e-05	0.0038748	0.0	0.0	0.00021036
Decatur	0.068	4.157	241.157	0.019	0.345	32.345	2.54e-06	0.00015515	0.00900041	7.1e-07	1.288e-05	0.00120717
Ohio	0.0	0.0	13.0	0.019	0.345	0.345	0.0	0.0	0.0022245	3.25e-06	5.903e-05	5.903e-05
