Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-24	0.769	18.769	0.0	1.0
2020-04-25	0.787	19.556	0.0	1.0
2020-04-26	0.797	20.353	0.0	1.0
2020-04-27	0.8	21.153	0.0	1.0
2020-04-28	0.798	21.951	0.0	1.0
2020-04-29	0.791	22.742	0.0	1.0
2020-04-30	0.781	23.523	0.0	1.0
2020-05-01	0.769	24.292	0.0	1.0
2020-05-02	0.754	25.046	0.0	1.0
2020-05-03	0.736	25.782	0.0	1.0
2020-05-04	0.717	26.499	0.0	1.0
2020-05-05	0.698	27.197	0.0	1.0
2020-05-06	0.679	27.876	0.0	1.0
2020-05-07	0.661	28.537	0.0	1.0
2020-05-08	0.645	29.182	0.0	1.0
2020-05-09	0.629	29.811	0.0	1.0
2020-05-10	0.611	30.422	0.0	1.0
2020-05-11	0.592	31.014	0.0	1.0
2020-05-12	0.571	31.585	0.0	1.0
2020-05-13	0.548	32.133	0.0	1.0
2020-05-14	0.526	32.659	0.0	1.0
2020-05-15	0.504	33.163	0.0	1.0
2020-05-16	0.482	33.645	0.0	1.0
2020-05-17	0.46	34.105	0.0	1.0
2020-05-18	0.439	34.544	0.0	1.0
2020-05-19	0.418	34.962	0.0	1.0
2020-05-20	0.398	35.36	0.0	1.0
2020-05-21	0.379	35.739	0.0	1.0
2020-05-22	0.36	36.099	0.0	1.0
2020-05-23	0.341	36.44	0.0	1.0
2020-05-24	0.324	36.764	0.0	1.0
2020-05-25	0.307	37.071	0.0	1.0
2020-05-26	0.291	37.362	0.0	1.0
2020-05-27	0.275	37.637	0.0	1.0
2020-05-28	0.261	37.898	0.0	1.0
2020-05-29	0.246	38.144	0.0	1.0
2020-05-30	0.232	38.376	0.0	1.0
2020-05-31	0.218	38.594	0.0	1.0
2020-06-01	0.204	38.798	0.0	1.0
2020-06-02	0.19	38.988	0.0	1.0
2020-06-03	0.176	39.164	0.0	1.0
2020-06-04	0.164	39.328	0.0	1.0
2020-06-05	0.152	39.48	0.0	1.0
2020-06-06	0.143	39.623	0.0	1.0
2020-06-07	0.134	39.757	0.0	1.0
2020-06-08	0.127	39.884	0.0	1.0
2020-06-09	0.12	40.004	0.0	1.0
2020-06-10	0.113	40.117	0.0	1.0
2020-06-11	0.107	40.224	0.0	1.0
2020-06-12	0.1	40.324	0.0	1.0
