Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-26	0.804	69.804	0.0	5.0
2020-05-27	0.797	70.601	0.0	5.0
2020-05-28	0.787	71.388	0.0	5.0
2020-05-29	0.775	72.163	0.0	5.0
2020-05-30	0.76	72.923	0.0	5.0
2020-05-31	0.742	73.665	0.0	5.0
2020-06-01	0.723	74.388	0.0	5.0
2020-06-02	0.703	75.091	0.0	5.0
2020-06-03	0.684	75.775	0.0	5.0
2020-06-04	0.666	76.441	0.0	5.0
2020-06-05	0.65	77.091	0.0	5.0
2020-06-06	0.634	77.725	0.0	5.0
2020-06-07	0.616	78.341	0.0	5.0
2020-06-08	0.596	78.937	0.0	5.0
2020-06-09	0.575	79.512	0.0	5.0
2020-06-10	0.553	80.065	0.0	5.0
2020-06-11	0.53	80.595	0.0	5.0
2020-06-12	0.508	81.103	0.0	5.0
2020-06-13	0.486	81.589	0.0	5.0
2020-06-14	0.464	82.053	0.0	5.0
2020-06-15	0.443	82.496	0.0	5.0
2020-06-16	0.422	82.918	0.0	5.0
2020-06-17	0.401	83.319	0.0	5.0
2020-06-18	0.382	83.701	0.0	5.0
2020-06-19	0.362	84.063	0.0	5.0
2020-06-20	0.344	84.407	0.0	5.0
2020-06-21	0.326	84.733	0.0	5.0
2020-06-22	0.309	85.042	0.0	5.0
2020-06-23	0.293	85.335	0.0	5.0
2020-06-24	0.278	85.613	0.0	5.0
2020-06-25	0.263	85.876	0.0	5.0
2020-06-26	0.248	86.124	0.0	5.0
2020-06-27	0.234	86.358	0.0	5.0
2020-06-28	0.22	86.578	0.0	5.0
2020-06-29	0.206	86.784	0.0	5.0
2020-06-30	0.192	86.976	0.0	5.0
2020-07-01	0.178	87.154	0.0	5.0
2020-07-02	0.165	87.319	0.0	5.0
2020-07-03	0.154	87.473	0.0	5.0
2020-07-04	0.144	87.617	0.0	5.0
2020-07-05	0.135	87.752	0.0	5.0
2020-07-06	0.128	87.88	0.0	5.0
2020-07-07	0.121	88.001	0.0	5.0
2020-07-08	0.114	88.115	0.0	5.0
2020-07-09	0.107	88.222	0.0	5.0
2020-07-10	0.101	88.323	0.0	5.0
2020-07-11	0.094	88.417	0.0	5.0
2020-07-12	0.087	88.504	0.0	5.0
2020-07-13	0.081	88.585	0.0	5.0
2020-07-14	0.076	88.661	0.0	5.0
2020-07-15	0.071	88.732	0.0	5.0
2020-07-16	0.066	88.798	0.0	5.0
2020-07-17	0.062	88.86	0.0	5.0
2020-07-18	0.059	88.919	0.0	5.0
2020-07-19	0.055	88.974	0.0	5.0
2020-07-20	0.051	89.025	0.0	5.0
2020-07-21	0.047	89.072	0.0	5.0
2020-07-22	0.043	89.115	0.0	5.0
2020-07-23	0.039	89.154	0.0	5.0
2020-07-24	0.035	89.189	0.0	5.0
2020-07-25	0.031	89.22	0.0	5.0
2020-07-26	0.028	89.248	0.0	5.0
2020-07-27	0.025	89.273	0.0	5.0
2020-07-28	0.022	89.295	0.0	5.0
2020-07-29	0.02	89.315	0.0	5.0
2020-07-30	0.017	89.332	0.0	5.0
2020-07-31	0.015	89.347	0.0	5.0
2020-08-01	0.012	89.359	0.0	5.0
2020-08-02	0.009	89.368	0.0	5.0
2020-08-03	0.007	89.375	0.0	5.0
2020-08-04	0.004	89.379	0.0	5.0
2020-08-05	0.003	89.382	0.0	5.0
2020-08-06	0.002	89.384	0.0	5.0
2020-08-07	0.001	89.385	0.0	5.0
2020-08-08	0.001	89.386	0.0	5.0
2020-08-09	0.001	89.387	0.0	5.0
2020-08-10	0.0	89.387	0.0	5.0
2020-08-11	0.0	89.387	0.0	5.0
2020-08-12	0.0	89.387	0.0	5.0
2020-08-13	0.0	89.387	0.0	5.0
2020-08-14	0.0	89.387	0.0	5.0
2020-08-15	0.0	89.387	0.0	5.0
2020-08-16	0.0	89.387	0.0	5.0
2020-08-17	0.0	89.387	0.0	5.0
2020-08-18	0.0	89.387	0.0	5.0
2020-08-19	0.0	89.387	0.0	5.0
2020-08-20	0.0	89.387	0.0	5.0
2020-08-21	0.0	89.387	0.0	5.0
2020-08-22	0.0	89.387	0.0	5.0
2020-08-23	0.0	89.387	0.0	5.0
2020-08-24	0.0	89.387	0.0	5.0
2020-08-25	0.0	89.387	0.0	5.0
2020-08-26	0.0	89.387	0.0	5.0
2020-08-27	0.0	89.387	0.0	5.0
2020-08-28	0.0	89.387	0.0	5.0
2020-08-29	0.0	89.387	0.0	5.0
2020-08-30	0.0	89.387	0.0	5.0
