Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-26	1.009	250.009	0.018	10.018
2020-06-27	1.246	251.255	0.011	10.029
2020-06-28	1.538	252.793	0.007	10.036
2020-06-29	1.899	254.692	0.005	10.041
2020-06-30	2.335	257.027	0.004	10.045
2020-07-01	2.819	259.846	0.003	10.048
2020-07-02	3.34	263.186	0.003	10.051
2020-07-03	3.944	267.13	0.002	10.053
2020-07-04	4.657	271.787	0.002	10.055
2020-07-05	5.505	277.292	0.001	10.056
2020-07-06	6.5	283.792	0.0	10.056
2020-07-07	7.661	291.453	0.0	10.056
2020-07-08	8.976	300.429	0.0	10.056
2020-07-09	10.431	310.86	0.0	10.056
2020-07-10	12.015	322.875	0.0	10.056
2020-07-11	13.752	336.627	0.0	10.056
2020-07-12	15.597	352.224	0.0	10.056
2020-07-13	17.499	369.723	0.0	10.056
2020-07-14	19.418	389.141	0.0	10.056
2020-07-15	21.331	410.472	0.0	10.056
2020-07-16	23.259	433.731	0.0	10.056
2020-07-17	25.266	458.997	0.0	10.056
2020-07-18	27.478	486.475	0.0	10.056
2020-07-19	29.684	516.159	0.0	10.056
2020-07-20	31.82	547.979	0.0	10.056
2020-07-21	33.633	581.612	0.0	10.056
2020-07-22	35.04	616.652	0.0	10.056
2020-07-23	35.852	652.504	0.0	10.056
2020-07-24	36.311	688.815	0.0	10.056
2020-07-25	36.441	725.256	0.0	10.056
2020-07-26	36.373	761.629	0.0	10.056
2020-07-27	36.038	797.667	0.0	10.056
2020-07-28	35.57	833.237	0.0	10.056
2020-07-29	35.033	868.27	0.0	10.056
2020-07-30	34.358	902.628	0.0	10.056
2020-07-31	33.547	936.175	0.0	10.056
2020-08-01	32.672	968.847	0.0	10.056
2020-08-02	31.8	1000.647	0.0	10.056
2020-08-03	30.933	1031.58	0.0	10.056
2020-08-04	30.135	1061.715	0.0	10.056
2020-08-05	29.404	1091.119	0.0	10.056
2020-08-06	28.659	1119.778	0.0	10.056
2020-08-07	27.846	1147.624	0.0	10.056
2020-08-08	26.963	1174.587	0.0	10.056
2020-08-09	26.012	1200.599	0.0	10.056
2020-08-10	24.995	1225.594	0.0	10.056
2020-08-11	23.979	1249.573	0.0	10.056
2020-08-12	22.962	1272.535	0.0	10.056
2020-08-13	21.955	1294.49	0.0	10.056
2020-08-14	20.969	1315.459	0.0	10.056
2020-08-15	20.013	1335.472	0.0	10.056
2020-08-16	19.07	1354.542	0.0	10.056
2020-08-17	18.149	1372.691	0.0	10.056
2020-08-18	17.253	1389.944	0.0	10.056
2020-08-19	16.389	1406.333	0.0	10.056
2020-08-20	15.548	1421.881	0.0	10.056
2020-08-21	14.747	1436.628	0.0	10.056
2020-08-22	13.984	1450.612	0.0	10.056
2020-08-23	13.256	1463.868	0.0	10.056
2020-08-24	12.554	1476.422	0.0	10.056
2020-08-25	11.878	1488.3	0.0	10.056
2020-08-26	11.222	1499.522	0.0	10.056
2020-08-27	10.578	1510.1	0.0	10.056
2020-08-28	9.94	1520.04	0.0	10.056
2020-08-29	9.302	1529.342	0.0	10.056
2020-08-30	8.663	1538.005	0.0	10.056
2020-08-31	8.036	1546.041	0.0	10.056
2020-09-01	7.454	1553.495	0.0	10.056
2020-09-02	6.941	1560.436	0.0	10.056
2020-09-03	6.495	1566.931	0.0	10.056
2020-09-04	6.112	1573.043	0.0	10.056
2020-09-05	5.779	1578.822	0.0	10.056
2020-09-06	5.471	1584.293	0.0	10.056
2020-09-07	5.165	1589.458	0.0	10.056
2020-09-08	4.859	1594.317	0.0	10.056
2020-09-09	4.553	1598.87	0.0	10.056
2020-09-10	4.247	1603.117	0.0	10.056
2020-09-11	3.946	1607.063	0.0	10.056
2020-09-12	3.671	1610.734	0.0	10.056
2020-09-13	3.424	1614.158	0.0	10.056
2020-09-14	3.203	1617.361	0.0	10.056
2020-09-15	3.005	1620.366	0.0	10.056
2020-09-16	2.825	1623.191	0.0	10.056
2020-09-17	2.647	1625.838	0.0	10.056
2020-09-18	2.469	1628.307	0.0	10.056
2020-09-19	2.291	1630.598	0.0	10.056
2020-09-20	2.112	1632.71	0.0	10.056
2020-09-21	1.934	1634.644	0.0	10.056
2020-09-22	1.755	1636.399	0.0	10.056
2020-09-23	1.581	1637.98	0.0	10.056
2020-09-24	1.418	1639.398	0.0	10.056
2020-09-25	1.27	1640.668	0.0	10.056
2020-09-26	1.135	1641.803	0.0	10.056
2020-09-27	1.011	1642.814	0.0	10.056
2020-09-28	0.894	1643.708	0.0	10.056
2020-09-29	0.778	1644.486	0.0	10.056
2020-09-30	0.662	1645.148	0.0	10.056
2020-10-01	0.545	1645.693	0.0	10.056
2020-10-02	0.426	1646.119	0.0	10.056
2020-10-03	0.302	1646.421	0.0	10.056
2020-10-04	0.195	1646.616	0.0	10.056
2020-10-05	0.12	1646.736	0.0	10.056
2020-10-06	0.076	1646.812	0.0	10.056
2020-10-07	0.05	1646.862	0.0	10.056
2020-10-08	0.036	1646.898	0.0	10.056
2020-10-09	0.028	1646.926	0.0	10.056
2020-10-10	0.022	1646.948	0.0	10.056
2020-10-11	0.018	1646.966	0.0	10.056
2020-10-12	0.014	1646.98	0.0	10.056
2020-10-13	0.01	1646.99	0.0	10.056
2020-10-14	0.008	1646.998	0.0	10.056
