Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-09	1.987	256.987	0.044	3.044
2020-08-10	1.968	258.955	0.035	3.079
2020-08-11	1.943	260.898	0.026	3.105
2020-08-12	1.914	262.812	0.019	3.124
2020-08-13	1.877	264.689	0.0	3.124
2020-08-14	1.832	266.521	0.0	3.124
2020-08-15	1.785	268.306	0.0	3.124
2020-08-16	1.737	270.043	0.0	3.124
2020-08-17	1.69	271.733	0.0	3.124
2020-08-18	1.646	273.379	0.0	3.124
2020-08-19	1.606	274.985	0.0	3.124
2020-08-20	1.565	276.55	0.0	3.124
2020-08-21	1.521	278.071	0.0	3.124
2020-08-22	1.473	279.544	0.0	3.124
2020-08-23	1.421	280.965	0.0	3.124
2020-08-24	1.365	282.33	0.0	3.124
2020-08-25	1.31	283.64	0.0	3.124
2020-08-26	1.254	284.894	0.0	3.124
2020-08-27	1.199	286.093	0.0	3.124
2020-08-28	1.145	287.238	0.0	3.124
2020-08-29	1.093	288.331	0.0	3.124
2020-08-30	1.042	289.373	0.0	3.124
2020-08-31	0.991	290.364	0.0	3.124
2020-09-01	0.942	291.306	0.0	3.124
2020-09-02	0.895	292.201	0.0	3.124
2020-09-03	0.849	293.05	0.0	3.124
2020-09-04	0.805	293.855	0.0	3.124
2020-09-05	0.764	294.619	0.0	3.124
2020-09-06	0.724	295.343	0.0	3.124
2020-09-07	0.686	296.029	0.0	3.124
2020-09-08	0.649	296.678	0.0	3.124
2020-09-09	0.613	297.291	0.0	3.124
2020-09-10	0.578	297.869	0.0	3.124
2020-09-11	0.543	298.412	0.0	3.124
2020-09-12	0.508	298.92	0.0	3.124
2020-09-13	0.473	299.393	0.0	3.124
2020-09-14	0.439	299.832	0.0	3.124
2020-09-15	0.407	300.239	0.0	3.124
2020-09-16	0.379	300.618	0.0	3.124
2020-09-17	0.355	300.973	0.0	3.124
2020-09-18	0.334	301.307	0.0	3.124
2020-09-19	0.316	301.623	0.0	3.124
2020-09-20	0.299	301.922	0.0	3.124
2020-09-21	0.282	302.204	0.0	3.124
2020-09-22	0.265	302.469	0.0	3.124
2020-09-23	0.249	302.718	0.0	3.124
2020-09-24	0.232	302.95	0.0	3.124
2020-09-25	0.216	303.166	0.0	3.124
2020-09-26	0.201	303.367	0.0	3.124
2020-09-27	0.187	303.554	0.0	3.124
2020-09-28	0.175	303.729	0.0	3.124
2020-09-29	0.164	303.893	0.0	3.124
2020-09-30	0.154	304.047	0.0	3.124
2020-10-01	0.145	304.192	0.0	3.124
2020-10-02	0.135	304.327	0.0	3.124
2020-10-03	0.125	304.452	0.0	3.124
2020-10-04	0.115	304.567	0.0	3.124
2020-10-05	0.106	304.673	0.0	3.124
2020-10-06	0.096	304.769	0.0	3.124
2020-10-07	0.086	304.855	0.0	3.124
2020-10-08	0.077	304.932	0.0	3.124
2020-10-09	0.069	305.001	0.0	3.124
2020-10-10	0.062	305.063	0.0	3.124
2020-10-11	0.055	305.118	0.0	3.124
2020-10-12	0.049	305.167	0.0	3.124
2020-10-13	0.043	305.21	0.0	3.124
2020-10-14	0.036	305.246	0.0	3.124
2020-10-15	0.03	305.276	0.0	3.124
2020-10-16	0.023	305.299	0.0	3.124
2020-10-17	0.017	305.316	0.0	3.124
2020-10-18	0.011	305.327	0.0	3.124
2020-10-19	0.007	305.334	0.0	3.124
2020-10-20	0.004	305.338	0.0	3.124
2020-10-21	0.003	305.341	0.0	3.124
2020-10-22	0.002	305.343	0.0	3.124
2020-10-23	0.002	305.345	0.0	3.124
2020-10-24	0.001	305.346	0.0	3.124
2020-10-25	0.001	305.347	0.0	3.124
2020-10-26	0.001	305.348	0.0	3.124
2020-10-27	0.001	305.349	0.0	3.124
2020-10-28	0.0	305.349	0.0	3.124
