Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-07	0.249	34.249	0.0	1.0
2020-06-08	0.247	34.496	0.0	1.0
2020-06-09	0.243	34.739	0.0	1.0
2020-06-10	0.24	34.979	0.0	1.0
2020-06-11	0.235	35.214	0.0	1.0
2020-06-12	0.23	35.444	0.0	1.0
2020-06-13	0.224	35.668	0.0	1.0
2020-06-14	0.218	35.886	0.0	1.0
2020-06-15	0.212	36.098	0.0	1.0
2020-06-16	0.206	36.304	0.0	1.0
2020-06-17	0.201	36.505	0.0	1.0
2020-06-18	0.196	36.701	0.0	1.0
2020-06-19	0.191	36.892	0.0	1.0
2020-06-20	0.185	37.077	0.0	1.0
2020-06-21	0.178	37.255	0.0	1.0
2020-06-22	0.171	37.426	0.0	1.0
2020-06-23	0.164	37.59	0.0	1.0
2020-06-24	0.157	37.747	0.0	1.0
2020-06-25	0.15	37.897	0.0	1.0
2020-06-26	0.143	38.04	0.0	1.0
2020-06-27	0.137	38.177	0.0	1.0
2020-06-28	0.13	38.307	0.0	1.0
2020-06-29	0.124	38.431	0.0	1.0
2020-06-30	0.118	38.549	0.0	1.0
2020-07-01	0.112	38.661	0.0	1.0
2020-07-02	0.106	38.767	0.0	1.0
2020-07-03	0.101	38.868	0.0	1.0
2020-07-04	0.096	38.964	0.0	1.0
2020-07-05	0.091	39.055	0.0	1.0
2020-07-06	0.086	39.141	0.0	1.0
2020-07-07	0.081	39.222	0.0	1.0
2020-07-08	0.077	39.299	0.0	1.0
2020-07-09	0.072	39.371	0.0	1.0
2020-07-10	0.068	39.439	0.0	1.0
2020-07-11	0.064	39.503	0.0	1.0
2020-07-12	0.059	39.562	0.0	1.0
2020-07-13	0.055	39.617	0.0	1.0
2020-07-14	0.051	39.668	0.0	1.0
2020-07-15	0.047	39.715	0.0	1.0
2020-07-16	0.044	39.759	0.0	1.0
2020-07-17	0.042	39.801	0.0	1.0
2020-07-18	0.04	39.841	0.0	1.0
2020-07-19	0.037	39.878	0.0	1.0
2020-07-20	0.035	39.913	0.0	1.0
2020-07-21	0.033	39.946	0.0	1.0
2020-07-22	0.031	39.977	0.0	1.0
2020-07-23	0.029	40.006	0.0	1.0
2020-07-24	0.027	40.033	0.0	1.0
2020-07-25	0.025	40.058	0.0	1.0
2020-07-26	0.023	40.081	0.0	1.0
2020-07-27	0.022	40.103	0.0	1.0
2020-07-28	0.021	40.124	0.0	1.0
2020-07-29	0.019	40.143	0.0	1.0
2020-07-30	0.018	40.161	0.0	1.0
2020-07-31	0.017	40.178	0.0	1.0
2020-08-01	0.016	40.194	0.0	1.0
2020-08-02	0.014	40.208	0.0	1.0
2020-08-03	0.013	40.221	0.0	1.0
2020-08-04	0.012	40.233	0.0	1.0
2020-08-05	0.011	40.244	0.0	1.0
2020-08-06	0.01	40.254	0.0	1.0
2020-08-07	0.009	40.263	0.0	1.0
2020-08-08	0.008	40.271	0.0	1.0
2020-08-09	0.007	40.278	0.0	1.0
2020-08-10	0.006	40.284	0.0	1.0
2020-08-11	0.005	40.289	0.0	1.0
2020-08-12	0.005	40.294	0.0	1.0
2020-08-13	0.004	40.298	0.0	1.0
2020-08-14	0.003	40.301	0.0	1.0
2020-08-15	0.002	40.303	0.0	1.0
2020-08-16	0.001	40.304	0.0	1.0
2020-08-17	0.001	40.305	0.0	1.0
2020-08-18	0.001	40.306	0.0	1.0
2020-08-19	0.0	40.306	0.0	1.0
2020-08-20	0.0	40.306	0.0	1.0
2020-08-21	0.0	40.306	0.0	1.0
2020-08-22	0.0	40.306	0.0	1.0
2020-08-23	0.0	40.306	0.0	1.0
2020-08-24	0.0	40.306	0.0	1.0
2020-08-25	0.0	40.306	0.0	1.0
2020-08-26	0.0	40.306	0.0	1.0
2020-08-27	0.0	40.306	0.0	1.0
2020-08-28	0.0	40.306	0.0	1.0
2020-08-29	0.0	40.306	0.0	1.0
2020-08-30	0.0	40.306	0.0	1.0
