Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-18	1.507	49.507	0.0	1.0
2020-06-19	1.779	51.286	0.0	1.0
2020-06-20	2.101	53.387	0.0	1.0
2020-06-21	2.484	55.871	0.0	1.0
2020-06-22	2.932	58.803	0.0	1.0
2020-06-23	3.456	62.259	0.0	1.0
2020-06-24	4.049	66.308	0.0	1.0
2020-06-25	4.706	71.014	0.0	1.0
2020-06-26	5.42	76.434	0.0	1.0
2020-06-27	6.204	82.638	0.0	1.0
2020-06-28	7.036	89.674	0.0	1.0
2020-06-29	7.894	97.568	0.0	1.0
2020-06-30	8.76	106.328	0.0	1.0
2020-07-01	9.623	115.951	0.0	1.0
2020-07-02	10.493	126.444	0.0	1.0
2020-07-03	11.398	137.842	0.0	1.0
2020-07-04	12.396	150.238	0.0	1.0
2020-07-05	13.391	163.629	0.0	1.0
2020-07-06	14.354	177.983	0.0	1.0
2020-07-07	15.172	193.155	0.0	1.0
2020-07-08	15.807	208.962	0.0	1.0
2020-07-09	16.173	225.135	0.0	1.0
2020-07-10	16.381	241.516	0.0	1.0
2020-07-11	16.439	257.955	0.0	1.0
2020-07-12	16.408	274.363	0.0	1.0
2020-07-13	16.258	290.621	0.0	1.0
2020-07-14	16.046	306.667	0.0	1.0
2020-07-15	15.804	322.471	0.0	1.0
2020-07-16	15.5	337.971	0.0	1.0
2020-07-17	15.134	353.105	0.0	1.0
2020-07-18	14.739	367.844	0.0	1.0
2020-07-19	14.346	382.19	0.0	1.0
2020-07-20	13.955	396.145	0.0	1.0
2020-07-21	13.594	409.739	0.0	1.0
2020-07-22	13.265	423.004	0.0	1.0
2020-07-23	12.929	435.933	0.0	1.0
2020-07-24	12.562	448.495	0.0	1.0
2020-07-25	12.164	460.659	0.0	1.0
2020-07-26	11.734	472.393	0.0	1.0
2020-07-27	11.276	483.669	0.0	1.0
2020-07-28	10.817	494.486	0.0	1.0
2020-07-29	10.358	504.844	0.0	1.0
2020-07-30	9.904	514.748	0.0	1.0
2020-07-31	9.46	524.208	0.0	1.0
2020-08-01	9.028	533.236	0.0	1.0
2020-08-02	8.603	541.839	0.0	1.0
2020-08-03	8.187	550.026	0.0	1.0
2020-08-04	7.783	557.809	0.0	1.0
2020-08-05	7.393	565.202	0.0	1.0
2020-08-06	7.014	572.216	0.0	1.0
2020-08-07	6.653	578.869	0.0	1.0
2020-08-08	6.308	585.177	0.0	1.0
2020-08-09	5.98	591.157	0.0	1.0
2020-08-10	5.663	596.82	0.0	1.0
2020-08-11	5.358	602.178	0.0	1.0
2020-08-12	5.062	607.24	0.0	1.0
2020-08-13	4.772	612.012	0.0	1.0
2020-08-14	4.484	616.496	0.0	1.0
2020-08-15	4.196	620.692	0.0	1.0
2020-08-16	3.908	624.6	0.0	1.0
2020-08-17	3.625	628.225	0.0	1.0
2020-08-18	3.362	631.587	0.0	1.0
2020-08-19	3.131	634.718	0.0	1.0
2020-08-20	2.93	637.648	0.0	1.0
2020-08-21	2.757	640.405	0.0	1.0
2020-08-22	2.607	643.012	0.0	1.0
2020-08-23	2.468	645.48	0.0	1.0
2020-08-24	2.33	647.81	0.0	1.0
2020-08-25	2.192	650.002	0.0	1.0
2020-08-26	2.054	652.056	0.0	1.0
2020-08-27	1.916	653.972	0.0	1.0
2020-08-28	1.78	655.752	0.0	1.0
2020-08-29	1.656	657.408	0.0	1.0
2020-08-30	1.545	658.953	0.0	1.0
2020-08-31	1.445	660.398	0.0	1.0
2020-09-01	1.355	661.753	0.0	1.0
2020-09-02	1.274	663.027	0.0	1.0
2020-09-03	1.194	664.221	0.0	1.0
2020-09-04	1.114	665.335	0.0	1.0
2020-09-05	1.033	666.368	0.0	1.0
2020-09-06	0.953	667.321	0.0	1.0
2020-09-07	0.872	668.193	0.0	1.0
2020-09-08	0.792	668.985	0.0	1.0
2020-09-09	0.713	669.698	0.0	1.0
2020-09-10	0.64	670.338	0.0	1.0
2020-09-11	0.573	670.911	0.0	1.0
2020-09-12	0.512	671.423	0.0	1.0
2020-09-13	0.456	671.879	0.0	1.0
2020-09-14	0.403	672.282	0.0	1.0
2020-09-15	0.351	672.633	0.0	1.0
2020-09-16	0.299	672.932	0.0	1.0
2020-09-17	0.246	673.178	0.0	1.0
2020-09-18	0.192	673.37	0.0	1.0
2020-09-19	0.136	673.506	0.0	1.0
2020-09-20	0.088	673.594	0.0	1.0
2020-09-21	0.054	673.648	0.0	1.0
2020-09-22	0.034	673.682	0.0	1.0
2020-09-23	0.023	673.705	0.0	1.0
2020-09-24	0.016	673.721	0.0	1.0
2020-09-25	0.012	673.733	0.0	1.0
2020-09-26	0.01	673.743	0.0	1.0
2020-09-27	0.008	673.751	0.0	1.0
2020-09-28	0.006	673.757	0.0	1.0
2020-09-29	0.005	673.762	0.0	1.0
2020-09-30	0.003	673.765	0.0	1.0
