Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-09	0.538	15.538	0.92	0.92
2020-06-10	0.533	16.071	0.999	1.919
2020-06-11	0.526	16.597	1.087	3.006
2020-06-12	0.518	17.115	1.174	4.18
2020-06-13	0.508	17.623	1.259	5.439
2020-06-14	0.496	18.119	1.33	6.769
2020-06-15	0.483	18.602	1.386	8.155
2020-06-16	0.47	19.072	1.418	9.573
2020-06-17	0.457	19.529	1.436	11.009
2020-06-18	0.446	19.975	1.441	12.45
2020-06-19	0.435	20.41	1.439	13.889
2020-06-20	0.424	20.834	1.425	15.314
2020-06-21	0.412	21.246	1.407	16.721
2020-06-22	0.399	21.645	1.386	18.107
2020-06-23	0.385	22.03	1.359	19.466
2020-06-24	0.37	22.4	1.327	20.793
2020-06-25	0.355	22.755	1.292	22.085
2020-06-26	0.339	23.094	1.258	23.343
2020-06-27	0.325	23.419	1.224	24.567
2020-06-28	0.31	23.729	1.192	25.759
2020-06-29	0.296	24.025	1.163	26.922
2020-06-30	0.282	24.307	1.134	28.056
2020-07-01	0.268	24.575	1.101	29.157
2020-07-02	0.255	24.83	1.067	30.224
2020-07-03	0.242	25.072	1.029	31.253
2020-07-04	0.23	25.302	0.989	32.242
2020-07-05	0.218	25.52	0.948	33.19
2020-07-06	0.207	25.727	0.908	34.098
2020-07-07	0.196	25.923	0.868	34.966
2020-07-08	0.186	26.109	0.829	35.795
2020-07-09	0.176	26.285	0.792	36.587
2020-07-10	0.166	26.451	0.754	37.341
2020-07-11	0.156	26.607	0.718	38.059
2020-07-12	0.147	26.754	0.682	38.741
2020-07-13	0.138	26.892	0.648	39.389
2020-07-14	0.128	27.02	0.615	40.004
2020-07-15	0.119	27.139	0.583	40.587
2020-07-16	0.11	27.249	0.553	41.14
2020-07-17	0.103	27.352	0.524	41.664
2020-07-18	0.096	27.448	0.497	42.161
2020-07-19	0.09	27.538	0.47	42.631
2020-07-20	0.085	27.623	0.444	43.075
2020-07-21	0.081	27.704	0.418	43.493
2020-07-22	0.076	27.78	0.393	43.886
2020-07-23	0.072	27.852	0.368	44.254
2020-07-24	0.067	27.919	0.343	44.597
2020-07-25	0.063	27.982	0.318	44.915
2020-07-26	0.058	28.04	0.295	45.21
2020-07-27	0.054	28.094	0.275	45.485
2020-07-28	0.051	28.145	0.257	45.742
2020-07-29	0.047	28.192	0.242	45.984
2020-07-30	0.044	28.236	0.229	46.213
2020-07-31	0.042	28.278	0.216	46.429
2020-08-01	0.039	28.317	0.204	46.633
2020-08-02	0.037	28.354	0.192	46.825
2020-08-03	0.034	28.388	0.18	47.005
2020-08-04	0.031	28.419	0.168	47.173
2020-08-05	0.029	28.448	0.156	47.329
2020-08-06	0.026	28.474	0.145	47.474
2020-08-07	0.023	28.497	0.135	47.609
2020-08-08	0.021	28.518	0.127	47.736
2020-08-09	0.019	28.537	0.119	47.855
2020-08-10	0.017	28.554	0.112	47.967
2020-08-11	0.015	28.569	0.105	48.072
2020-08-12	0.013	28.582	0.098	48.17
2020-08-13	0.012	28.594	0.091	48.261
2020-08-14	0.01	28.604	0.084	48.345
2020-08-15	0.008	28.612	0.076	48.421
2020-08-16	0.006	28.618	0.069	48.49
2020-08-17	0.004	28.622	0.063	48.553
2020-08-18	0.003	28.625	0.056	48.609
2020-08-19	0.002	28.627	0.05	48.659
2020-08-20	0.001	28.628	0.045	48.704
2020-08-21	0.001	28.629	0.04	48.744
2020-08-22	0.001	28.63	0.035	48.779
2020-08-23	0.0	28.63	0.031	48.81
2020-08-24	0.0	28.63	0.026	48.836
2020-08-25	0.0	28.63	0.022	48.858
2020-08-26	0.0	28.63	0.017	48.875
2020-08-27	0.0	28.63	0.012	48.887
2020-08-28	0.0	28.63	0.008	48.895
2020-08-29	0.0	28.63	0.005	48.9
2020-08-30	0.0	28.63	0.003	48.903
2020-08-31	0.0	28.63	0.002	48.905
2020-09-01	0.0	28.63	0.001	48.906
2020-09-02	0.0	28.63	0.001	48.907
2020-09-03	0.0	28.63	0.001	48.908
2020-09-04	0.0	28.63	0.001	48.909
2020-09-05	0.0	28.63	0.001	48.91
2020-09-06	0.0	28.63	0.0	48.91
