Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-18	0.996	23.996	0.0	0.0
2020-06-19	1.229	25.225	0.0	0.0
2020-06-20	1.511	26.736	0.0	0.0
2020-06-21	1.824	28.56	0.0	0.0
2020-06-22	2.161	30.721	0.0	0.0
2020-06-23	2.553	33.274	0.0	0.0
2020-06-24	3.013	36.287	0.0	0.0
2020-06-25	3.563	39.85	0.0	0.0
2020-06-26	4.207	44.057	0.0	0.0
2020-06-27	4.957	49.014	0.0	0.0
2020-06-28	5.808	54.822	0.0	0.0
2020-06-29	6.75	61.572	0.0	0.0
2020-06-30	7.775	69.347	0.0	0.0
2020-07-01	8.899	78.246	0.0	0.0
2020-07-02	10.093	88.339	0.0	0.0
2020-07-03	11.324	99.663	0.0	0.0
2020-07-04	12.566	112.229	0.0	0.0
2020-07-05	13.803	126.032	0.0	0.0
2020-07-06	15.051	141.083	0.0	0.0
2020-07-07	16.35	157.433	0.0	0.0
2020-07-08	17.781	175.214	0.0	0.0
2020-07-09	19.209	194.423	0.0	0.0
2020-07-10	20.591	215.014	0.0	0.0
2020-07-11	21.764	236.778	0.0	0.0
2020-07-12	22.675	259.453	0.0	0.0
2020-07-13	23.2	282.653	0.0	0.0
2020-07-14	23.498	306.151	0.0	0.0
2020-07-15	23.582	329.733	0.0	0.0
2020-07-16	23.537	353.27	0.0	0.0
2020-07-17	23.321	376.591	0.0	0.0
2020-07-18	23.018	399.609	0.0	0.0
2020-07-19	22.671	422.28	0.0	0.0
2020-07-20	22.234	444.514	0.0	0.0
2020-07-21	21.709	466.223	0.0	0.0
2020-07-22	21.143	487.366	0.0	0.0
2020-07-23	20.578	507.944	0.0	0.0
2020-07-24	20.017	527.961	0.0	0.0
2020-07-25	19.501	547.462	0.0	0.0
2020-07-26	19.028	566.49	0.0	0.0
2020-07-27	18.546	585.036	0.0	0.0
2020-07-28	18.02	603.056	0.0	0.0
2020-07-29	17.448	620.504	0.0	0.0
2020-07-30	16.833	637.337	0.0	0.0
2020-07-31	16.175	653.512	0.0	0.0
2020-08-01	15.517	669.029	0.0	0.0
2020-08-02	14.859	683.888	0.0	0.0
2020-08-03	14.207	698.095	0.0	0.0
2020-08-04	13.57	711.665	0.0	0.0
2020-08-05	12.951	724.616	0.0	0.0
2020-08-06	12.34	736.956	0.0	0.0
2020-08-07	11.745	748.701	0.0	0.0
2020-08-08	11.165	759.866	0.0	0.0
2020-08-09	10.605	770.471	0.0	0.0
2020-08-10	10.062	780.533	0.0	0.0
2020-08-11	9.543	790.076	0.0	0.0
2020-08-12	9.049	799.125	0.0	0.0
2020-08-13	8.578	807.703	0.0	0.0
2020-08-14	8.124	815.827	0.0	0.0
2020-08-15	7.686	823.513	0.0	0.0
2020-08-16	7.262	830.775	0.0	0.0
2020-08-17	6.845	837.62	0.0	0.0
2020-08-18	6.433	844.053	0.0	0.0
2020-08-19	6.019	850.072	0.0	0.0
2020-08-20	5.606	855.678	0.0	0.0
2020-08-21	5.2	860.878	0.0	0.0
2020-08-22	4.823	865.701	0.0	0.0
2020-08-23	4.491	870.192	0.0	0.0
2020-08-24	4.203	874.395	0.0	0.0
2020-08-25	3.955	878.35	0.0	0.0
2020-08-26	3.74	882.09	0.0	0.0
2020-08-27	3.54	885.63	0.0	0.0
2020-08-28	3.342	888.972	0.0	0.0
2020-08-29	3.144	892.116	0.0	0.0
2020-08-30	2.946	895.062	0.0	0.0
2020-08-31	2.748	897.81	0.0	0.0
2020-09-01	2.553	900.363	0.0	0.0
2020-09-02	2.376	902.739	0.0	0.0
2020-09-03	2.216	904.955	0.0	0.0
2020-09-04	2.073	907.028	0.0	0.0
2020-09-05	1.944	908.972	0.0	0.0
2020-09-06	1.828	910.8	0.0	0.0
2020-09-07	1.713	912.513	0.0	0.0
2020-09-08	1.598	914.111	0.0	0.0
2020-09-09	1.482	915.593	0.0	0.0
2020-09-10	1.367	916.96	0.0	0.0
2020-09-11	1.251	918.211	0.0	0.0
2020-09-12	1.136	919.347	0.0	0.0
2020-09-13	1.023	920.37	0.0	0.0
2020-09-14	0.918	921.288	0.0	0.0
2020-09-15	0.822	922.11	0.0	0.0
2020-09-16	0.734	922.844	0.0	0.0
2020-09-17	0.654	923.498	0.0	0.0
2020-09-18	0.578	924.076	0.0	0.0
2020-09-19	0.504	924.58	0.0	0.0
2020-09-20	0.428	925.008	0.0	0.0
2020-09-21	0.353	925.361	0.0	0.0
2020-09-22	0.276	925.637	0.0	0.0
2020-09-23	0.196	925.833	0.0	0.0
2020-09-24	0.126	925.959	0.0	0.0
2020-09-25	0.078	926.037	0.0	0.0
2020-09-26	0.049	926.086	0.0	0.0
2020-09-27	0.032	926.118	0.0	0.0
2020-09-28	0.023	926.141	0.0	0.0
2020-09-29	0.018	926.159	0.0	0.0
2020-09-30	0.014	926.173	0.0	0.0
2020-10-01	0.011	926.184	0.0	0.0
2020-10-02	0.009	926.193	0.0	0.0
2020-10-03	0.007	926.2	0.0	0.0
2020-10-04	0.005	926.205	0.0	0.0
