Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Wright	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7.88e-05	0.0	0.0	0.0
Floyd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Black Hawk	44.283	2247.395	2309.395	1.949	218.711	218.711	0.00033444	0.01697326	0.01744151	1.472e-05	0.0016518	0.0016518
Linn	1.55	346.306	604.306	0.427	65.524	81.524	6.86e-06	0.00153294	0.002675	1.89e-06	0.00029005	0.00036087
Jones	0.217	48.489	58.489	0.427	65.524	65.524	1.046e-05	0.0023375	0.00281956	2.058e-05	0.0031587	0.0031587
Wayne	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Davis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cherokee	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Montgomery	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	9.997e-05	0.0	0.0	0.0
Winneshiek	0.015	3.341	8.341	0.427	65.524	65.524	7.5e-07	0.00016681	0.00041645	2.132e-05	0.00327146	0.00327146
Webster	0.014	3.23	5.23	0.427	65.524	65.524	3.9e-07	8.904e-05	0.00014417	1.177e-05	0.00180621	0.00180621
Page	0.0	0.0	3.0	0.427	65.524	65.524	0.0	0.0	0.00019673	2.8e-05	0.00429694	0.00429694
Van Buren	0.0	0.0	8.0	0.427	65.524	65.524	0.0	0.0	0.0011396	6.083e-05	0.0093339	0.0093339
Mitchell	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.00018923	0.0	0.0	0.0
Hamilton	0.0	0.0	2.0	0.427	65.524	65.524	0.0	0.0	0.00013376	2.856e-05	0.00438229	0.00438229
Lee	0.108	24.242	26.242	0.427	65.524	65.524	3.17e-06	0.00071185	0.00077058	1.254e-05	0.00192406	0.00192406
Louisa	0.0	0.0	79.0	0.0	57.088	57.088	0.0	0.0	0.00707315	0.0	0.00511129	0.00511129
Washington	0.453	101.284	190.284	0.0	0.0	4.0	2.046e-05	0.0045745	0.00859419	0.0	0.0	0.00018066
Dubuque	0.299	51.073	86.073	0.0	0.0	1.0	3.09e-06	0.00052732	0.00088869	0.0	0.0	1.032e-05
Sac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hardin	0.108	24.242	26.242	0.0	0.0	0.0	6.4e-06	0.00143716	0.00155573	0.0	0.0	0.0
Des Moines	0.029	6.468	11.468	0.0	0.0	0.0	7.4e-07	0.00016526	0.00029301	0.0	0.0	0.0
Clayton	0.051	11.311	18.311	0.0	0.0	0.0	2.9e-06	0.00064428	0.00104301	0.0	0.0	0.0
Fayette	0.013	3.019	8.019	0.0	0.0	0.0	6.6e-07	0.00015356	0.00040788	0.0	0.0	0.0
Cass	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Jefferson	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.00021762	0.0	0.0	0.0
Ringgold	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Decatur	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Guthrie	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	9.328e-05	0.0	0.0	0.0
Lyon	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.00033867	0.0	0.0	0.0
Monroe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Marion	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	8.98e-05	0.0	0.0	0.0
Delaware	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.00011717	0.0	0.0	0.0
Winnebago	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.00019015	0.0	0.0	0.0
Fremont	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Iowa	0.022	4.85	11.85	0.0	0.0	0.0	1.36e-06	0.00030048	0.00073416	0.0	0.0	0.0
Dickinson	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.83e-05	0.0	0.0	0.0
Benton	0.123	27.475	47.475	0.0	0.0	1.0	4.8e-06	0.00107148	0.00185145	0.0	0.0	3.9e-05
Cerro Gordo	0.0	3.77	16.77	0.0	0.0	0.0	0.0	8.84e-05	0.00039323	0.0	0.0	0.0
Humboldt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Poweshiek	0.0	0.014	6.014	0.0	0.0	1.0	0.0	7.5e-07	0.00032162	0.0	0.0	5.348e-05
Henry	0.3	55.217	75.217	0.0	0.0	1.0	1.495e-05	0.00275163	0.00374829	0.0	0.0	4.983e-05
Palo Alto	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mahaska	0.007	1.616	6.616	0.0	0.0	0.0	3.2e-07	7.345e-05	0.00030073	0.0	0.0	0.0
Madison	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.00012308	0.0	0.0	0.0
Boone	0.022	4.85	8.85	0.0	0.0	0.0	8.4e-07	0.00018409	0.00033591	0.0	0.0	0.0
Appanoose	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	8.041e-05	0.0	0.0	8.041e-05
Mills	0.108	24.242	26.242	0.0	0.0	0.0	7.17e-06	0.00160937	0.00174215	0.0	0.0	0.0
Allamakee	0.0	2.531	25.531	0.0	0.0	1.0	0.0	0.00018298	0.00184579	0.0	0.0	7.23e-05
Buchanan	0.029	6.468	14.468	0.0	0.0	0.0	1.37e-06	0.00030511	0.00068249	0.0	0.0	0.0
Emmet	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scott	3.655	526.213	644.213	0.0	0.0	1.0	2.109e-05	0.00303673	0.00371769	0.0	0.0	5.77e-06
Tama	4.175	497.053	598.053	0.0	0.0	2.0	0.00024698	0.02940446	0.03537938	0.0	0.0	0.00011832
Woodbury	0.172	32.596	51.596	0.0	0.0	0.0	1.68e-06	0.00031789	0.00050318	0.0	0.0	0.0
Howard	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00010885	0.0	0.0	0.0
Calhoun	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clarke	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.00021225	0.0	0.0	0.0
Ida	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Marshall	2.513	282.021	319.021	0.0	0.0	0.0	6.285e-05	0.00705388	0.00797932	0.0	0.0	0.0
O'Brien	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.00021676	0.0	0.0	0.0
Unassigned	0.0	0.0	2.0	0.0	0.0	3.0	N/A	N/A	N/A	N/A	N/A	N/A
Plymouth	0.0	0.0	4.0	0.961	147.43	147.43	0.0	0.0	0.00015939	3.829e-05	0.00587488	0.00587488
Osceola	0.0	0.0	2.0	0.0	40.601	40.601	0.0	0.0	0.00033113	0.0	0.00672202	0.00672202
Adams	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dallas	0.0	0.569	36.569	0.0	3.0	3.0	0.0	6.31e-06	0.00040551	0.0	3.327e-05	3.327e-05
Clay	0.0	0.0	2.0	0.961	147.43	147.43	0.0	0.0	0.00012396	5.956e-05	0.00913785	0.00913785
Chickasaw	0.0	0.0	2.0	0.961	147.43	147.43	0.0	0.0	0.00016717	8.032e-05	0.0123228	0.0123228
Shelby	0.0	0.0	6.0	0.961	147.43	147.43	0.0	0.0	0.00051822	8.3e-05	0.01273363	0.01273363
Franklin	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	9.878e-05	0.0	0.0	0.0
