Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita
Shelby	156.0	1.0	0.0	155.0	0.01347383	8.637e-05	333.333333333	153.846153846	100.0	0.02879	0.0132876923077	0.008637
Union	70.0	1.0	0.0	69.0	0.00566389	8.091e-05	333.333333333	153.846153846	100.0	0.02697	0.0124476923077	0.008091
Story	1101.0	13.0	0.0	1088.0	0.01122267	0.00013251	4333.33333333	2000.0	1300.0	0.04417	0.0203861538462	0.013251
Montgomery	43.0	3.0	0.0	40.0	0.00429871	0.00029991	1000.0	461.538461538	300.0	0.09997	0.04614	0.029991
Bremer	187.0	7.0	0.0	180.0	0.00749589	0.00028059	2333.33333333	1076.92307692	700.0	0.09353	0.0431676923077	0.028059
Wayne	15.0	1.0	0.0	14.0	0.00234338	0.00015623	333.333333333	153.846153846	100.0	0.0520766666667	0.0240353846154	0.015623
Worth	60.0	0.0	0.0	60.0	0.00805045	0.0	300.0	120.0	75.0	0.04025225	0.0161009	0.0100630625
Allamakee	149.0	4.0	0.0	145.0	0.01077212	0.00028918	1333.33333333	615.384615385	400.0	0.0963933333333	0.0444892307692	0.028918
Fremont	35.0	0.0	0.0	35.0	0.00500501	0.0	175.0	70.0	43.75	0.02502505	0.01001002	0.0062562625
Keokuk	30.0	1.0	0.0	29.0	0.00293399	9.78e-05	333.333333333	153.846153846	100.0	0.0326	0.0150461538462	0.00978
Black Hawk	2984.0	62.0	0.0	2922.0	0.0225364	0.00046825	20666.6666667	9538.46153846	6200.0	0.156083333333	0.0720384615385	0.046825
Adair	20.0	0.0	0.0	20.0	0.00283166	0.0	100.0	40.0	25.0	0.0141583	0.00566332	0.003539575
Hancock	114.0	2.0	0.0	112.0	0.01064227	0.00018671	666.666666667	307.692307692	200.0	0.0622366666667	0.0287246153846	0.018671
Chickasaw	50.0	0.0	0.0	50.0	0.0041792	0.0	250.0	100.0	62.5	0.020896	0.0083584	0.005224
Henry	111.0	3.0	0.0	108.0	0.00553147	0.0001495	1000.0	461.538461538	300.0	0.0498333333333	0.023	0.01495
Webster	709.0	5.0	0.0	704.0	0.01954406	0.00013783	1666.66666667	769.230769231	500.0	0.0459433333333	0.0212046153846	0.013783
Humboldt	89.0	1.0	0.0	88.0	0.0093223	0.00010474	333.333333333	153.846153846	100.0	0.0349133333333	0.0161138461538	0.010474
Sac	81.0	0.0	0.0	81.0	0.00833419	0.0	405.0	162.0	101.25	0.04167095	0.01666838	0.0104177375
Buchanan	108.0	1.0	0.0	107.0	0.00509458	4.717e-05	333.333333333	153.846153846	100.0	0.0157233333333	0.00725692307692	0.004717
Washington	285.0	10.0	0.0	275.0	0.01287205	0.00045165	3333.33333333	1538.46153846	1000.0	0.15055	0.0694846153846	0.045165
Marion	148.0	0.0	0.0	148.0	0.00443021	0.0	740.0	296.0	185.0	0.02215105	0.00886042	0.0055377625
Mahaska	135.0	17.0	0.0	118.0	0.00613636	0.00077273	5666.66666667	2615.38461538	1700.0	0.257576666667	0.118881538462	0.077273
Palo Alto	74.0	0.0	0.0	74.0	0.0082876	0.0	370.0	148.0	92.5	0.041438	0.0165752	0.0103595
Polk	9609.0	202.0	0.0	9407.0	0.01972274	0.00041461	67333.3333333	31076.9230769	20200.0	0.138203333333	0.0637861538462	0.041461
Cerro Gordo	578.0	17.0	0.0	561.0	0.01355312	0.00039862	5666.66666667	2615.38461538	1700.0	0.132873333333	0.0613261538462	0.039862
Jackson	134.0	1.0	0.0	133.0	0.00689584	5.146e-05	333.333333333	153.846153846	100.0	0.0171533333333	0.00791692307692	0.005146
Howard	48.0	0.0	0.0	48.0	0.00522477	0.0	240.0	96.0	60.0	0.02612385	0.01044954	0.0065309625
Mills	79.0	0.0	0.0	79.0	0.00524464	0.0	395.0	158.0	98.75	0.0262232	0.01048928	0.0065558
Wright	440.0	1.0	0.0	439.0	0.03467297	7.88e-05	333.333333333	153.846153846	100.0	0.0262666666667	0.0121230769231	0.00788
Jefferson	76.0	0.0	0.0	76.0	0.0041347	0.0	380.0	152.0	95.0	0.0206735	0.0082694	0.005168375
Butler	111.0	2.0	0.0	109.0	0.00763464	0.00013756	666.666666667	307.692307692	200.0	0.0458533333333	0.0211630769231	0.013756
Wapello	829.0	31.0	0.0	798.0	0.02354779	0.00088056	10333.3333333	4769.23076923	3100.0	0.29352	0.135470769231	0.088056
