Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-02	3.373	137.373	0.0	1.0
2020-08-03	3.294	140.667	0.0	1.0
2020-08-04	3.208	143.875	0.0	1.0
2020-08-05	3.122	146.997	0.0	1.0
2020-08-06	3.037	150.034	0.0	1.0
2020-08-07	2.959	152.993	0.0	1.0
2020-08-08	2.887	155.88	0.0	1.0
2020-08-09	2.814	158.694	0.0	1.0
2020-08-10	2.734	161.428	0.0	1.0
2020-08-11	2.647	164.075	0.0	1.0
2020-08-12	2.554	166.629	0.0	1.0
2020-08-13	2.454	169.083	0.0	1.0
2020-08-14	2.354	171.437	0.0	1.0
2020-08-15	2.254	173.691	0.0	1.0
2020-08-16	2.156	175.847	0.0	1.0
2020-08-17	2.059	177.906	0.0	1.0
2020-08-18	1.965	179.871	0.0	1.0
2020-08-19	1.872	181.743	0.0	1.0
2020-08-20	1.782	183.525	0.0	1.0
2020-08-21	1.694	185.219	0.0	1.0
2020-08-22	1.609	186.828	0.0	1.0
2020-08-23	1.527	188.355	0.0	1.0
2020-08-24	1.448	189.803	0.0	1.0
2020-08-25	1.373	191.176	0.0	1.0
2020-08-26	1.301	192.477	0.0	1.0
2020-08-27	1.233	193.71	0.0	1.0
2020-08-28	1.166	194.876	0.0	1.0
2020-08-29	1.102	195.978	0.0	1.0
2020-08-30	1.039	197.017	0.0	1.0
2020-08-31	0.976	197.993	0.0	1.0
2020-09-01	0.913	198.906	0.0	1.0
2020-09-02	0.851	199.757	0.0	1.0
2020-09-03	0.789	200.546	0.0	1.0
2020-09-04	0.732	201.278	0.0	1.0
2020-09-05	0.681	201.959	0.0	1.0
2020-09-06	0.638	202.597	0.0	1.0
2020-09-07	0.6	203.197	0.0	1.0
2020-09-08	0.567	203.764	0.0	1.0
2020-09-09	0.537	204.301	0.0	1.0
2020-09-10	0.507	204.808	0.0	1.0
2020-09-11	0.477	205.285	0.0	1.0
2020-09-12	0.447	205.732	0.0	1.0
2020-09-13	0.417	206.149	0.0	1.0
2020-09-14	0.387	206.536	0.0	1.0
2020-09-15	0.36	206.896	0.0	1.0
2020-09-16	0.336	207.232	0.0	1.0
2020-09-17	0.314	207.546	0.0	1.0
2020-09-18	0.295	207.841	0.0	1.0
2020-09-19	0.277	208.118	0.0	1.0
2020-09-20	0.26	208.378	0.0	1.0
2020-09-21	0.242	208.62	0.0	1.0
2020-09-22	0.225	208.845	0.0	1.0
2020-09-23	0.207	209.052	0.0	1.0
2020-09-24	0.19	209.242	0.0	1.0
2020-09-25	0.172	209.414	0.0	1.0
2020-09-26	0.155	209.569	0.0	1.0
2020-09-27	0.139	209.708	0.0	1.0
2020-09-28	0.125	209.833	0.0	1.0
2020-09-29	0.111	209.944	0.0	1.0
2020-09-30	0.099	210.043	0.0	1.0
2020-10-01	0.088	210.131	0.0	1.0
2020-10-02	0.076	210.207	0.0	1.0
2020-10-03	0.065	210.272	0.0	1.0
2020-10-04	0.054	210.326	0.0	1.0
2020-10-05	0.042	210.368	0.0	1.0
2020-10-06	0.03	210.398	0.0	1.0
2020-10-07	0.019	210.417	0.0	1.0
2020-10-08	0.012	210.429	0.0	1.0
2020-10-09	0.007	210.436	0.0	1.0
2020-10-10	0.005	210.441	0.0	1.0
2020-10-11	0.004	210.445	0.0	1.0
2020-10-12	0.003	210.448	0.0	1.0
2020-10-13	0.002	210.45	0.0	1.0
2020-10-14	0.002	210.452	0.0	1.0
2020-10-15	0.001	210.453	0.0	1.0
2020-10-16	0.001	210.454	0.0	1.0
2020-10-17	0.001	210.455	0.0	1.0
