Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-11	1.729	420.729	0.32	29.32
2020-06-12	1.801	422.53	0.363	29.683
2020-06-13	1.843	424.373	0.407	30.09
2020-06-14	1.867	426.24	0.452	30.542
2020-06-15	1.873	428.113	0.496	31.038
2020-06-16	1.87	429.983	0.541	31.579
2020-06-17	1.853	431.836	0.588	32.167
2020-06-18	1.828	433.664	0.639	32.806
2020-06-19	1.801	435.465	0.691	33.497
2020-06-20	1.766	437.231	0.74	34.237
2020-06-21	1.724	438.955	0.783	35.02
2020-06-22	1.68	440.635	0.815	35.835
2020-06-23	1.635	442.27	0.834	36.669
2020-06-24	1.59	443.86	0.845	37.514
2020-06-25	1.549	445.409	0.848	38.362
2020-06-26	1.511	446.92	0.846	39.208
2020-06-27	1.473	448.393	0.839	40.047
2020-06-28	1.431	449.824	0.828	40.875
2020-06-29	1.386	451.21	0.815	41.69
2020-06-30	1.337	452.547	0.8	42.49
2020-07-01	1.285	453.832	0.781	43.271
2020-07-02	1.233	455.065	0.76	44.031
2020-07-03	1.18	456.245	0.74	44.771
2020-07-04	1.129	457.374	0.72	45.491
2020-07-05	1.078	458.452	0.701	46.192
2020-07-06	1.029	459.481	0.684	46.876
2020-07-07	0.98	460.461	0.667	47.543
2020-07-08	0.933	461.394	0.648	48.191
2020-07-09	0.887	462.281	0.627	48.818
2020-07-10	0.842	463.123	0.605	49.423
2020-07-11	0.799	463.922	0.582	50.005
2020-07-12	0.758	464.68	0.558	50.563
2020-07-13	0.719	465.399	0.534	51.097
2020-07-14	0.681	466.08	0.511	51.608
2020-07-15	0.645	466.725	0.488	52.096
2020-07-16	0.611	467.336	0.466	52.562
2020-07-17	0.577	467.913	0.444	53.006
2020-07-18	0.544	468.457	0.422	53.428
2020-07-19	0.511	468.968	0.401	53.829
2020-07-20	0.478	469.446	0.381	54.21
2020-07-21	0.445	469.891	0.362	54.572
2020-07-22	0.413	470.304	0.343	54.915
2020-07-23	0.383	470.687	0.325	55.24
2020-07-24	0.357	471.044	0.308	55.548
2020-07-25	0.334	471.378	0.292	55.84
2020-07-26	0.314	471.692	0.276	56.116
2020-07-27	0.297	471.989	0.261	56.377
2020-07-28	0.281	472.27	0.246	56.623
2020-07-29	0.266	472.536	0.231	56.854
2020-07-30	0.25	472.786	0.216	57.07
2020-07-31	0.234	473.02	0.202	57.272
2020-08-01	0.218	473.238	0.187	57.459
2020-08-02	0.203	473.441	0.173	57.632
2020-08-03	0.189	473.63	0.162	57.794
2020-08-04	0.176	473.806	0.151	57.945
2020-08-05	0.165	473.971	0.142	58.087
2020-08-06	0.154	474.125	0.134	58.221
2020-08-07	0.145	474.27	0.127	58.348
2020-08-08	0.136	474.406	0.12	58.468
2020-08-09	0.127	474.533	0.113	58.581
2020-08-10	0.118	474.651	0.106	58.687
2020-08-11	0.109	474.76	0.099	58.786
2020-08-12	0.099	474.859	0.092	58.878
2020-08-13	0.09	474.949	0.085	58.963
2020-08-14	0.081	475.03	0.08	59.043
2020-08-15	0.073	475.103	0.075	59.118
2020-08-16	0.065	475.168	0.07	59.188
2020-08-17	0.058	475.226	0.066	59.254
2020-08-18	0.052	475.278	0.062	59.316
2020-08-19	0.046	475.324	0.057	59.373
2020-08-20	0.04	475.364	0.053	59.426
2020-08-21	0.034	475.398	0.049	59.475
2020-08-22	0.028	475.426	0.045	59.52
2020-08-23	0.022	475.448	0.041	59.561
2020-08-24	0.016	475.464	0.037	59.598
2020-08-25	0.01	475.474	0.033	59.631
2020-08-26	0.006	475.48	0.03	59.661
2020-08-27	0.004	475.484	0.026	59.687
2020-08-28	0.003	475.487	0.024	59.711
2020-08-29	0.002	475.489	0.021	59.732
2020-08-30	0.001	475.49	0.018	59.75
2020-08-31	0.001	475.491	0.015	59.765
2020-09-01	0.001	475.492	0.013	59.778
2020-09-02	0.001	475.493	0.01	59.788
2020-09-03	0.001	475.494	0.007	59.795
2020-09-04	0.0	475.494	0.005	59.8
2020-09-05	0.0	475.494	0.003	59.803
2020-09-06	0.0	475.494	0.002	59.805
2020-09-07	0.0	475.494	0.001	59.806
2020-09-08	0.0	475.494	0.001	59.807
2020-09-09	0.0	475.494	0.001	59.808
2020-09-10	0.0	475.494	0.001	59.809
2020-09-11	0.0	475.494	0.0	59.809
2020-09-12	0.0	475.494	0.0	59.809
2020-09-13	0.0	475.494	0.0	59.809
