Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-20	1.497	107.497	1.211	2.211
2020-07-21	1.768	109.265	1.2	3.411
2020-07-22	2.087	111.352	1.184	4.595
2020-07-23	2.468	113.82	1.166	5.761
2020-07-24	2.913	116.733	1.144	6.905
2020-07-25	3.434	120.167	1.117	8.022
2020-07-26	4.023	124.19	1.088	9.11
2020-07-27	4.675	128.865	1.059	10.169
2020-07-28	5.385	134.25	1.03	11.199
2020-07-29	6.164	140.414	1.003	12.202
2020-07-30	6.991	147.405	0.979	13.181
2020-07-31	7.843	155.248	0.954	14.135
2020-08-01	8.703	163.951	0.927	15.062
2020-08-02	9.56	173.511	0.898	15.96
2020-08-03	10.425	183.936	0.866	16.826
2020-08-04	11.324	195.26	0.832	17.658
2020-08-05	12.316	207.576	0.798	18.456
2020-08-06	13.305	220.881	0.765	19.221
2020-08-07	14.262	235.143	0.731	19.952
2020-08-08	15.074	250.217	0.698	20.65
2020-08-09	15.705	265.922	0.666	21.316
2020-08-10	16.069	281.991	0.635	21.951
2020-08-11	16.275	298.266	0.604	22.555
2020-08-12	16.333	314.599	0.574	23.129
2020-08-13	16.302	330.901	0.546	23.675
2020-08-14	16.152	347.053	0.518	24.193
2020-08-15	15.942	362.995	0.491	24.684
2020-08-16	15.702	378.697	0.466	25.15
2020-08-17	15.399	394.096	0.441	25.591
2020-08-18	15.036	409.132	0.418	26.009
2020-08-19	14.644	423.776	0.395	26.404
2020-08-20	14.253	438.029	0.374	26.778
2020-08-21	13.864	451.893	0.352	27.13
2020-08-22	13.507	465.4	0.331	27.461
2020-08-23	13.179	478.579	0.31	27.771
2020-08-24	12.845	491.424	0.288	28.059
2020-08-25	12.481	503.905	0.268	28.327
2020-08-26	12.085	515.99	0.248	28.575
2020-08-27	11.659	527.649	0.231	28.806
2020-08-28	11.203	538.852	0.216	29.022
2020-08-29	10.747	549.599	0.203	29.225
2020-08-30	10.291	559.89	0.192	29.417
2020-08-31	9.84	569.73	0.182	29.599
2020-09-01	9.399	579.129	0.172	29.771
2020-09-02	8.97	588.099	0.162	29.933
2020-09-03	8.547	596.646	0.152	30.085
2020-09-04	8.134	604.78	0.141	30.226
2020-09-05	7.733	612.513	0.131	30.357
2020-09-06	7.345	619.858	0.122	30.479
2020-09-07	6.969	626.827	0.114	30.593
2020-09-08	6.61	633.437	0.107	30.7
2020-09-09	6.268	639.705	0.1	30.8
2020-09-10	5.941	645.646	0.094	30.894
2020-09-11	5.627	651.273	0.088	30.982
2020-09-12	5.324	656.597	0.082	31.064
2020-09-13	5.03	661.627	0.076	31.14
2020-09-14	4.741	666.368	0.07	31.21
2020-09-15	4.455	670.823	0.064	31.274
2020-09-16	4.169	674.992	0.058	31.332
2020-09-17	3.883	678.875	0.053	31.385
2020-09-18	3.602	682.477	0.047	31.432
2020-09-19	3.341	685.818	0.042	31.474
2020-09-20	3.111	688.929	0.038	31.512
2020-09-21	2.911	691.84	0.034	31.546
2020-09-22	2.739	694.579	0.03	31.576
2020-09-23	2.59	697.169	0.026	31.602
2020-09-24	2.452	699.621	0.022	31.624
2020-09-25	2.315	701.936	0.018	31.642
2020-09-26	2.178	704.114	0.014	31.656
2020-09-27	2.041	706.155	0.01	31.666
2020-09-28	1.903	708.058	0.006	31.672
2020-09-29	1.768	709.826	0.004	31.676
2020-09-30	1.646	711.472	0.003	31.679
2020-10-01	1.535	713.007	0.002	31.681
2020-10-02	1.435	714.442	0.001	31.682
2020-10-03	1.347	715.789	0.001	31.683
2020-10-04	1.266	717.055	0.001	31.684
2020-10-05	1.186	718.241	0.001	31.685
2020-10-06	1.107	719.348	0.0	31.685
2020-10-07	1.027	720.375	0.0	31.685
2020-10-08	0.947	721.322	0.0	31.685
2020-10-09	0.867	722.189	0.0	31.685
2020-10-10	0.787	722.976	0.0	31.685
2020-10-11	0.708	723.684	0.0	31.685
2020-10-12	0.636	724.32	0.0	31.685
2020-10-13	0.569	724.889	0.0	31.685
2020-10-14	0.509	725.398	0.0	31.685
2020-10-15	0.453	725.851	0.0	31.685
2020-10-16	0.401	726.252	0.0	31.685
2020-10-17	0.349	726.601	0.0	31.685
2020-10-18	0.297	726.898	0.0	31.685
2020-10-19	0.244	727.142	0.0	31.685
2020-10-20	0.191	727.333	0.0	31.685
2020-10-21	0.136	727.469	0.0	31.685
2020-10-22	0.087	727.556	0.0	31.685
2020-10-23	0.054	727.61	0.0	31.685
2020-10-24	0.034	727.644	0.0	31.685
2020-10-25	0.022	727.666	0.0	31.685
2020-10-26	0.016	727.682	0.0	31.685
2020-10-27	0.012	727.694	0.0	31.685
2020-10-28	0.01	727.704	0.0	31.685
2020-10-29	0.008	727.712	0.0	31.685
2020-10-30	0.006	727.718	0.0	31.685
2020-10-31	0.005	727.723	0.0	31.685
2020-11-01	0.003	727.726	0.0	31.685
