Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-04	0.809	44.809	0.0	0.0
2020-08-05	0.715	45.524	0.0	0.0
2020-08-06	0.623	46.147	0.0	0.0
2020-08-07	0.53	46.677	0.0	0.0
2020-08-08	0.436	47.113	0.0	0.0
2020-08-09	0.341	47.454	0.0	0.0
2020-08-10	0.242	47.696	0.0	0.0
2020-08-11	0.156	47.852	0.0	0.0
2020-08-12	0.096	47.948	0.0	0.0
2020-08-13	0.061	48.009	0.0	0.0
2020-08-14	0.04	48.049	0.0	0.0
2020-08-15	0.029	48.078	0.0	0.0
2020-08-16	0.022	48.1	0.0	0.0
2020-08-17	0.018	48.118	0.0	0.0
2020-08-18	0.014	48.132	0.0	0.0
2020-08-19	0.011	48.143	0.0	0.0
2020-08-20	0.008	48.151	0.0	0.0
2020-08-21	0.006	48.157	0.0	0.0
2020-08-22	0.0	48.157	0.0	0.0
2020-08-23	0.0	48.157	0.0	0.0
2020-08-24	0.0	48.157	0.0	0.0
2020-08-25	0.0	48.157	0.0	0.0
2020-08-26	0.0	48.157	0.0	0.0
2020-08-27	0.0	48.157	0.0	0.0
2020-08-28	0.0	48.157	0.0	0.0
2020-08-29	0.0	48.157	0.0	0.0
2020-08-30	0.0	48.157	0.0	0.0
