Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-20	0.0	4.0	0.32	0.32
2020-04-21	0.0	4.0	0.312	0.632
2020-04-22	0.0	4.0	0.304	0.936
2020-04-23	0.0	4.0	0.296	1.232
2020-04-24	0.0	4.0	0.286	1.518
2020-04-25	0.0	4.0	0.276	1.794
2020-04-26	0.0	4.0	0.265	2.059
2020-04-27	0.0	4.0	0.255	2.314
2020-04-28	0.0	4.0	0.244	2.558
2020-04-29	0.0	4.0	0.233	2.791
2020-04-30	0.0	4.0	0.223	3.014
2020-05-01	0.0	4.0	0.213	3.227
2020-05-02	0.0	4.0	0.203	3.43
2020-05-03	0.0	4.0	0.193	3.623
2020-05-04	0.0	4.0	0.183	3.806
2020-05-05	0.0	4.0	0.174	3.98
2020-05-06	0.0	4.0	0.165	4.145
2020-05-07	0.0	4.0	0.157	4.302
2020-05-08	0.0	4.0	0.148	4.45
2020-05-09	0.0	4.0	0.141	4.591
2020-05-10	0.0	4.0	0.133	4.724
2020-05-11	0.0	4.0	0.126	4.85
2020-05-12	0.0	4.0	0.119	4.969
2020-05-13	0.0	4.0	0.112	5.081
2020-05-14	0.0	4.0	0.106	5.187
2020-05-15	0.0	4.0	0.099	5.286
2020-05-16	0.0	4.0	0.092	5.378
2020-05-17	0.0	4.0	0.085	5.463
2020-05-18	0.0	4.0	0.079	5.542
2020-05-19	0.0	4.0	0.074	5.616
2020-05-20	0.0	4.0	0.069	5.685
2020-05-21	0.0	4.0	0.065	5.75
2020-05-22	0.0	4.0	0.061	5.811
2020-05-23	0.0	4.0	0.058	5.869
2020-05-24	0.0	4.0	0.055	5.924
2020-05-25	0.0	4.0	0.052	5.976
2020-05-26	0.0	4.0	0.048	6.024
2020-05-27	0.0	4.0	0.045	6.069
2020-05-28	0.0	4.0	0.042	6.111
2020-05-29	0.0	4.0	0.039	6.15
2020-05-30	0.0	4.0	0.036	6.186
2020-05-31	0.0	4.0	0.034	6.22
2020-06-01	0.0	4.0	0.032	6.252
2020-06-02	0.0	4.0	0.03	6.282
2020-06-03	0.0	4.0	0.028	6.31
2020-06-04	0.0	4.0	0.026	6.336
2020-06-05	0.0	4.0	0.024	6.36
2020-06-06	0.0	4.0	0.022	6.382
2020-06-07	0.0	4.0	0.021	6.403
2020-06-08	0.0	4.0	0.019	6.422
2020-06-09	0.0	4.0	0.017	6.439
2020-06-10	0.0	4.0	0.015	6.454
2020-06-11	0.0	4.0	0.013	6.467
2020-06-12	0.0	4.0	0.012	6.479
2020-06-13	0.0	4.0	0.011	6.49
2020-06-14	0.0	4.0	0.009	6.499
2020-06-15	0.0	4.0	0.008	6.507
2020-06-16	0.0	4.0	0.007	6.514
2020-06-17	0.0	4.0	0.006	6.52
2020-06-18	0.0	4.0	0.005	6.525
2020-06-19	0.0	4.0	0.003	6.528
2020-06-20	0.0	4.0	0.002	6.53
2020-06-21	0.0	4.0	0.001	6.531
2020-06-22	0.0	4.0	0.001	6.532
2020-06-23	0.0	4.0	0.001	6.533
2020-06-24	0.0	4.0	0.0	6.533
2020-06-25	0.0	4.0	0.0	6.533
2020-06-26	0.0	4.0	0.0	6.533
2020-06-27	0.0	4.0	0.0	6.533
2020-06-28	0.0	4.0	0.0	6.533
2020-06-29	0.0	4.0	0.0	6.533
2020-06-30	0.0	4.0	0.0	6.533
2020-07-01	0.0	4.0	0.0	6.533
2020-07-02	0.0	4.0	0.0	6.533
2020-07-03	0.0	4.0	0.0	6.533
2020-07-04	0.0	4.0	0.0	6.533
2020-07-05	0.0	4.0	0.0	6.533
2020-07-06	0.0	4.0	0.0	6.533
2020-07-07	0.0	4.0	0.0	6.533
2020-07-08	0.0	4.0	0.0	6.533
2020-07-09	0.0	4.0	0.0	6.533
2020-07-10	0.0	4.0	0.0	6.533
2020-07-11	0.0	4.0	0.0	6.533
2020-07-12	0.0	4.0	0.0	6.533
2020-07-13	0.0	4.0	0.0	6.533
2020-07-14	0.0	4.0	0.0	6.533
2020-07-15	0.0	4.0	0.0	6.533
2020-07-16	0.0	4.0	0.0	6.533
2020-07-17	0.0	4.0	0.0	6.533
2020-07-18	0.0	4.0	0.0	6.533
2020-07-19	0.0	4.0	0.0	6.533
2020-07-20	0.0	4.0	0.0	6.533
2020-07-21	0.0	4.0	0.0	6.533
2020-07-22	0.0	4.0	0.0	6.533
2020-07-23	0.0	4.0	0.0	6.533
2020-07-24	0.0	4.0	0.0	6.533
2020-07-25	0.0	4.0	0.0	6.533
2020-07-26	0.0	4.0	0.0	6.533
2020-07-27	0.0	4.0	0.0	6.533
2020-07-28	0.0	4.0	0.0	6.533
2020-07-29	0.0	4.0	0.0	6.533
2020-07-30	0.0	4.0	0.0	6.533
2020-07-31	0.0	4.0	0.0	6.533
2020-08-01	0.0	4.0	0.0	6.533
2020-08-02	0.0	4.0	0.0	6.533
2020-08-03	0.0	4.0	0.0	6.533
2020-08-04	0.0	4.0	0.0	6.533
2020-08-05	0.0	4.0	0.0	6.533
2020-08-06	0.0	4.0	0.0	6.533
2020-08-07	0.0	4.0	0.0	6.533
2020-08-08	0.0	4.0	0.0	6.533
2020-08-09	0.0	4.0	0.0	6.533
2020-08-10	0.0	4.0	0.0	6.533
2020-08-11	0.0	4.0	0.0	6.533
2020-08-12	0.0	4.0	0.0	6.533
2020-08-13	0.0	4.0	0.0	6.533
2020-08-14	0.0	4.0	0.0	6.533
2020-08-15	0.0	4.0	0.0	6.533
2020-08-16	0.0	4.0	0.0	6.533
2020-08-17	0.0	4.0	0.0	6.533
2020-08-18	0.0	4.0	0.0	6.533
2020-08-19	0.0	4.0	0.0	6.533
2020-08-20	0.0	4.0	0.0	6.533
2020-08-21	0.0	4.0	0.0	6.533
2020-08-22	0.0	4.0	0.0	6.533
2020-08-23	0.0	4.0	0.0	6.533
2020-08-24	0.0	4.0	0.0	6.533
2020-08-25	0.0	4.0	0.0	6.533
2020-08-26	0.0	4.0	0.0	6.533
2020-08-27	0.0	4.0	0.0	6.533
2020-08-28	0.0	4.0	0.0	6.533
2020-08-29	0.0	4.0	0.0	6.533
2020-08-30	0.0	4.0	0.0	6.533
