Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Logan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Linn	0.0	0.056	11.056	0.008	64.856	64.856	0.0	5.74e-06	0.00113395	8.2e-07	0.0066519	0.0066519
Brown	1.044	270.616	279.616	0.008	64.856	64.856	0.00010877	0.02819504	0.02913274	8.3e-07	0.00675724	0.00675724
Cowley	0.043	71.189	99.189	0.0	0.0	1.0	1.22e-06	0.00202138	0.00281643	0.0	0.0	2.839e-05
Gray	0.0	0.62	23.62	0.0	0.0	0.0	0.0	0.00010277	0.00391513	0.0	0.0	0.0
Cherokee	0.0	0.036	11.036	0.0	0.0	0.0	0.0	1.8e-06	0.00055139	0.0	0.0	0.0
Ellis	0.006	9.858	21.858	0.0	0.0	0.0	2.1e-07	0.00034336	0.00076134	0.0	0.0	0.0
Wilson	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00011541	0.0	0.0	0.0
Harper	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.00036324	0.0	0.0	0.0
Montgomery	0.0	0.0	20.0	0.0	0.0	2.0	0.0	0.0	0.00062267	0.0	0.0	6.227e-05
Lane	0.0	3.827	7.827	0.0	0.0	0.0	0.0	0.00245321	0.00501731	0.0	0.0	0.0
Republic	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.00085763	0.0	0.0	0.0
Rawlins	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Harvey	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.00032154	0.0	0.0	0.0
Ford	0.0	32.466	1869.466	0.0	0.0	8.0	0.0	0.00095804	0.05516602	0.0	0.0	0.00023607
Russell	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Comanche	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.00114416	0.0	0.0	0.0
Lincoln	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pratt	0.0	0.014	2.014	0.0	0.0	0.0	0.0	1.49e-06	0.00021476	0.0	0.0	0.0
Wichita	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00047506	0.0	0.0	0.0
Chase	0.0	1.125	4.125	0.0	0.0	0.0	0.0	0.00042792	0.00156904	0.0	0.0	0.0
Riley	0.007	17.102	88.102	0.007	50.67	53.67	9e-08	0.00023204	0.00119537	9e-08	0.00068749	0.00072819
Mitchell	0.0	0.014	4.014	0.007	50.67	50.67	0.0	2.28e-06	0.00065268	1.14e-06	0.00823902	0.00823902
Hamilton	0.002	13.172	38.172	0.007	50.67	50.67	7.7e-07	0.00505255	0.01464212	2.69e-06	0.01943613	0.01943613
Washington	0.0	0.0	1.0	0.007	50.67	50.67	0.0	0.0	0.0001845	1.29e-06	0.00934871	0.00934871
Ellsworth	0.0	0.0	3.0	0.007	50.67	50.67	0.0	0.0	0.00048418	1.13e-06	0.00817786	0.00817786
Wyandotte	0.265	640.268	2209.268	0.001	6.305	82.305	1.6e-06	0.00387281	0.01336326	1e-08	3.814e-05	0.00049784
Shawnee	0.033	254.583	663.583	0.0	0.0	8.0	1.9e-07	0.00143428	0.00373852	0.0	0.0	4.507e-05
Jewell	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.00140795	0.0	0.0	0.0
Finney	0.0	76.096	1613.096	0.0	3.446	13.446	0.0	0.0020785	0.04406042	0.0	9.412e-05	0.00036727
Stevens	0.0	0.085	31.085	0.0	3.446	3.446	0.0	1.529e-05	0.00559183	0.0	0.0006199	0.0006199
Kiowa	0.0	3.827	6.827	0.0	3.446	3.446	0.0	0.00152107	0.00271343	0.0	0.00136963	0.00136963
Rice	0.0	0.0	4.0	0.0	3.446	3.446	0.0	0.0	0.00041968	0.0	0.00036156	0.00036156
Pawnee	5.729	1318.108	1321.108	0.0	3.446	3.446	0.00087306	0.20086986	0.20132703	0.0	0.00052514	0.00052514
Osborne	0.0	0.0	2.0	0.0	3.446	3.446	0.0	0.0	0.00057554	0.0	0.00099165	0.00099165
