Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-28	0.524	9.524	0.0	0.0
2020-07-29	0.537	10.061	0.0	0.0
2020-07-30	0.543	10.604	0.0	0.0
2020-07-31	0.545	11.149	0.0	0.0
2020-08-01	0.544	11.693	0.0	0.0
2020-08-02	0.539	12.232	0.0	0.0
2020-08-03	0.532	12.764	0.0	0.0
2020-08-04	0.524	13.288	0.0	0.0
2020-08-05	0.514	13.802	0.0	0.0
2020-08-06	0.502	14.304	0.0	0.0
2020-08-07	0.489	14.793	0.0	0.0
2020-08-08	0.476	15.269	0.0	0.0
2020-08-09	0.463	15.732	0.0	0.0
2020-08-10	0.451	16.183	0.0	0.0
2020-08-11	0.44	16.623	0.0	0.0
2020-08-12	0.429	17.052	0.0	0.0
2020-08-13	0.417	17.469	0.0	0.0
2020-08-14	0.404	17.873	0.0	0.0
2020-08-15	0.389	18.262	0.0	0.0
2020-08-16	0.374	18.636	0.0	0.0
2020-08-17	0.359	18.995	0.0	0.0
2020-08-18	0.344	19.339	0.0	0.0
2020-08-19	0.329	19.668	0.0	0.0
2020-08-20	0.314	19.982	0.0	0.0
2020-08-21	0.3	20.282	0.0	0.0
2020-08-22	0.285	20.567	0.0	0.0
2020-08-23	0.272	20.839	0.0	0.0
2020-08-24	0.258	21.097	0.0	0.0
2020-08-25	0.245	21.342	0.0	0.0
2020-08-26	0.233	21.575	0.0	0.0
2020-08-27	0.221	21.796	0.0	0.0
2020-08-28	0.209	22.005	0.0	0.0
2020-08-29	0.198	22.203	0.0	0.0
2020-08-30	0.188	22.391	0.0	0.0
2020-08-31	0.178	22.569	0.0	0.0
2020-09-01	0.168	22.737	0.0	0.0
2020-09-02	0.158	22.895	0.0	0.0
2020-09-03	0.149	23.044	0.0	0.0
2020-09-04	0.139	23.183	0.0	0.0
2020-09-05	0.13	23.313	0.0	0.0
2020-09-06	0.12	23.433	0.0	0.0
2020-09-07	0.112	23.545	0.0	0.0
2020-09-08	0.104	23.649	0.0	0.0
2020-09-09	0.097	23.746	0.0	0.0
2020-09-10	0.091	23.837	0.0	0.0
2020-09-11	0.086	23.923	0.0	0.0
2020-09-12	0.082	24.005	0.0	0.0
2020-09-13	0.077	24.082	0.0	0.0
2020-09-14	0.073	24.155	0.0	0.0
2020-09-15	0.068	24.223	0.0	0.0
2020-09-16	0.064	24.287	0.0	0.0
2020-09-17	0.059	24.346	0.0	0.0
2020-09-18	0.055	24.401	0.0	0.0
2020-09-19	0.051	24.452	0.0	0.0
2020-09-20	0.048	24.5	0.0	0.0
2020-09-21	0.045	24.545	0.0	0.0
2020-09-22	0.042	24.587	0.0	0.0
2020-09-23	0.04	24.627	0.0	0.0
2020-09-24	0.037	24.664	0.0	0.0
2020-09-25	0.034	24.698	0.0	0.0
2020-09-26	0.032	24.73	0.0	0.0
2020-09-27	0.029	24.759	0.0	0.0
2020-09-28	0.026	24.785	0.0	0.0
2020-09-29	0.024	24.809	0.0	0.0
2020-09-30	0.021	24.83	0.0	0.0
2020-10-01	0.019	24.849	0.0	0.0
2020-10-02	0.017	24.866	0.0	0.0
2020-10-03	0.015	24.881	0.0	0.0
2020-10-04	0.013	24.894	0.0	0.0
2020-10-05	0.012	24.906	0.0	0.0
2020-10-06	0.01	24.916	0.0	0.0
2020-10-07	0.008	24.924	0.0	0.0
2020-10-08	0.006	24.93	0.0	0.0
2020-10-09	0.005	24.935	0.0	0.0
2020-10-10	0.003	24.938	0.0	0.0
2020-10-11	0.002	24.94	0.0	0.0
2020-10-12	0.001	24.941	0.0	0.0
2020-10-13	0.001	24.942	0.0	0.0
2020-10-14	0.001	24.943	0.0	0.0
2020-10-15	0.0	24.943	0.0	0.0
2020-10-16	0.0	24.943	0.0	0.0
2020-10-17	0.0	24.943	0.0	0.0
2020-10-18	0.0	24.943	0.0	0.0
2020-10-19	0.0	24.943	0.0	0.0
2020-10-20	0.0	24.943	0.0	0.0
2020-10-21	0.0	24.943	0.0	0.0
2020-10-22	0.0	24.943	0.0	0.0
2020-10-23	0.0	24.943	0.0	0.0
2020-10-24	0.0	24.943	0.0	0.0
2020-10-25	0.0	24.943	0.0	0.0
