Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-29	7.253	863.253	0.133	2.133
2020-05-30	7.114	870.367	0.132	2.265
2020-05-31	6.946	877.313	0.13	2.395
2020-06-01	6.765	884.078	0.128	2.523
2020-06-02	6.584	890.662	0.126	2.649
2020-06-03	6.404	897.066	0.123	2.772
2020-06-04	6.239	903.305	0.12	2.892
2020-06-05	6.088	909.393	0.117	3.009
2020-06-06	5.934	915.327	0.113	3.122
2020-06-07	5.765	921.092	0.11	3.232
2020-06-08	5.582	926.674	0.108	3.34
2020-06-09	5.386	932.06	0.105	3.445
2020-06-10	5.175	937.235	0.102	3.547
2020-06-11	4.965	942.2	0.099	3.646
2020-06-12	4.754	946.954	0.095	3.741
2020-06-13	4.546	951.5	0.092	3.833
2020-06-14	4.342	955.842	0.088	3.921
2020-06-15	4.144	959.986	0.084	4.005
2020-06-16	3.948	963.934	0.08	4.085
2020-06-17	3.758	967.692	0.077	4.162
2020-06-18	3.572	971.264	0.073	4.235
2020-06-19	3.393	974.657	0.07	4.305
2020-06-20	3.219	977.876	0.067	4.372
2020-06-21	3.053	980.929	0.063	4.435
2020-06-22	2.895	983.824	0.06	4.495
2020-06-23	2.744	986.568	0.057	4.552
2020-06-24	2.599	989.167	0.054	4.606
2020-06-25	2.459	991.626	0.051	4.657
2020-06-26	2.323	993.949	0.049	4.706
2020-06-27	2.19	996.139	0.046	4.752
2020-06-28	2.058	998.197	0.044	4.796
2020-06-29	1.926	1000.123	0.041	4.837
2020-06-30	1.794	1001.917	0.039	4.876
2020-07-01	1.664	1003.581	0.036	4.912
2020-07-02	1.543	1005.124	0.034	4.946
2020-07-03	1.437	1006.561	0.032	4.978
2020-07-04	1.345	1007.906	0.029	5.007
2020-07-05	1.265	1009.171	0.027	5.034
2020-07-06	1.197	1010.368	0.025	5.059
2020-07-07	1.133	1011.501	0.024	5.083
2020-07-08	1.069	1012.57	0.022	5.105
2020-07-09	1.006	1013.576	0.021	5.126
2020-07-10	0.943	1014.519	0.02	5.146
2020-07-11	0.879	1015.398	0.019	5.165
2020-07-12	0.817	1016.215	0.018	5.183
2020-07-13	0.76	1016.975	0.017	5.2
2020-07-14	0.709	1017.684	0.016	5.216
2020-07-15	0.663	1018.347	0.014	5.23
2020-07-16	0.622	1018.969	0.013	5.243
2020-07-17	0.585	1019.554	0.013	5.256
2020-07-18	0.548	1020.102	0.012	5.268
2020-07-19	0.511	1020.613	0.011	5.279
2020-07-20	0.474	1021.087	0.01	5.289
2020-07-21	0.437	1021.524	0.01	5.299
2020-07-22	0.4	1021.924	0.009	5.308
2020-07-23	0.363	1022.287	0.008	5.316
2020-07-24	0.327	1022.614	0.008	5.324
2020-07-25	0.294	1022.908	0.007	5.331
2020-07-26	0.263	1023.171	0.006	5.337
2020-07-27	0.235	1023.406	0.006	5.343
2020-07-28	0.209	1023.615	0.005	5.348
2020-07-29	0.185	1023.8	0.005	5.353
2020-07-30	0.161	1023.961	0.004	5.357
2020-07-31	0.137	1024.098	0.004	5.361
2020-08-01	0.113	1024.211	0.003	5.364
2020-08-02	0.088	1024.299	0.003	5.367
2020-08-03	0.063	1024.362	0.002	5.369
2020-08-04	0.04	1024.402	0.002	5.371
2020-08-05	0.025	1024.427	0.002	5.373
2020-08-06	0.016	1024.443	0.001	5.374
2020-08-07	0.01	1024.453	0.001	5.375
2020-08-08	0.007	1024.46	0.0	5.375
2020-08-09	0.006	1024.466	0.0	5.375
2020-08-10	0.005	1024.471	0.0	5.375
2020-08-11	0.004	1024.475	0.0	5.375
2020-08-12	0.003	1024.478	0.0	5.375
2020-08-13	0.002	1024.48	0.0	5.375
2020-08-14	0.002	1024.482	0.0	5.375
2020-08-15	0.0	1024.482	0.0	5.375
2020-08-16	0.0	1024.482	0.0	5.375
2020-08-17	0.0	1024.482	0.0	5.375
2020-08-18	0.0	1024.482	0.0	5.375
2020-08-19	0.0	1024.482	0.0	5.375
2020-08-20	0.0	1024.482	0.0	5.375
2020-08-21	0.0	1024.482	0.0	5.375
2020-08-22	0.0	1024.482	0.0	5.375
2020-08-23	0.0	1024.482	0.0	5.375
2020-08-24	0.0	1024.482	0.0	5.375
2020-08-25	0.0	1024.482	0.0	5.375
2020-08-26	0.0	1024.482	0.0	5.375
2020-08-27	0.0	1024.482	0.0	5.375
2020-08-28	0.0	1024.482	0.0	5.375
2020-08-29	0.0	1024.482	0.0	5.375
2020-08-30	0.0	1024.482	0.0	5.375
