Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-25	13.418	1276.418	0.462	71.462
2020-05-26	13.294	1289.712	0.413	71.875
2020-05-27	13.122	1302.834	0.368	72.243
2020-05-28	12.924	1315.758	0.325	72.568
2020-05-29	12.675	1328.433	0.283	72.851
2020-05-30	12.375	1340.808	0.241	73.092
2020-05-31	12.053	1352.861	0.198	73.29
2020-06-01	11.731	1364.592	0.155	73.445
2020-06-02	11.411	1376.003	0.11	73.555
2020-06-03	11.117	1387.12	0.071	73.626
2020-06-04	10.847	1397.967	0.044	73.67
2020-06-05	10.572	1408.539	0.028	73.698
2020-06-06	10.272	1418.811	0.018	73.716
2020-06-07	9.947	1428.758	0.013	73.729
2020-06-08	9.596	1438.354	0.01	73.739
2020-06-09	9.221	1447.575	0.008	73.747
2020-06-10	8.846	1456.421	0.006	73.753
2020-06-11	8.47	1464.891	0.005	73.758
2020-06-12	8.099	1472.99	0.004	73.762
2020-06-13	7.736	1480.726	0.003	73.765
2020-06-14	7.383	1488.109	0.0	73.765
2020-06-15	7.035	1495.144	0.0	73.765
2020-06-16	6.695	1501.839	0.0	73.765
2020-06-17	6.364	1508.203	0.0	73.765
2020-06-18	6.046	1514.249	0.0	73.765
2020-06-19	5.736	1519.985	0.0	73.765
2020-06-20	5.44	1525.425	0.0	73.765
2020-06-21	5.159	1530.584	0.0	73.765
2020-06-22	4.89	1535.474	0.0	73.765
2020-06-23	4.631	1540.105	0.0	73.765
2020-06-24	4.382	1544.487	0.0	73.765
2020-06-25	4.14	1548.627	0.0	73.765
2020-06-26	3.902	1552.529	0.0	73.765
2020-06-27	3.667	1556.196	0.0	73.765
2020-06-28	3.431	1559.627	0.0	73.765
2020-06-29	3.196	1562.823	0.0	73.765
2020-06-30	2.964	1565.787	0.0	73.765
2020-07-01	2.75	1568.537	0.0	73.765
2020-07-02	2.56	1571.097	0.0	73.765
2020-07-03	2.396	1573.493	0.0	73.765
2020-07-04	2.255	1575.748	0.0	73.765
2020-07-05	2.132	1577.88	0.0	73.765
2020-07-06	2.018	1579.898	0.0	73.765
2020-07-07	1.905	1581.803	0.0	73.765
2020-07-08	1.792	1583.595	0.0	73.765
2020-07-09	1.68	1585.275	0.0	73.765
2020-07-10	1.567	1586.842	0.0	73.765
2020-07-11	1.456	1588.298	0.0	73.765
2020-07-12	1.354	1589.652	0.0	73.765
2020-07-13	1.263	1590.915	0.0	73.765
2020-07-14	1.181	1592.096	0.0	73.765
2020-07-15	1.108	1593.204	0.0	73.765
2020-07-16	1.042	1594.246	0.0	73.765
2020-07-17	0.976	1595.222	0.0	73.765
2020-07-18	0.911	1596.133	0.0	73.765
2020-07-19	0.845	1596.978	0.0	73.765
2020-07-20	0.779	1597.757	0.0	73.765
2020-07-21	0.713	1598.47	0.0	73.765
2020-07-22	0.647	1599.117	0.0	73.765
2020-07-23	0.583	1599.7	0.0	73.765
2020-07-24	0.523	1600.223	0.0	73.765
2020-07-25	0.469	1600.692	0.0	73.765
2020-07-26	0.419	1601.111	0.0	73.765
2020-07-27	0.373	1601.484	0.0	73.765
2020-07-28	0.33	1601.814	0.0	73.765
2020-07-29	0.287	1602.101	0.0	73.765
2020-07-30	0.244	1602.345	0.0	73.765
2020-07-31	0.201	1602.546	0.0	73.765
2020-08-01	0.157	1602.703	0.0	73.765
2020-08-02	0.112	1602.815	0.0	73.765
2020-08-03	0.072	1602.887	0.0	73.765
2020-08-04	0.044	1602.931	0.0	73.765
2020-08-05	0.028	1602.959	0.0	73.765
2020-08-06	0.018	1602.977	0.0	73.765
2020-08-07	0.013	1602.99	0.0	73.765
2020-08-08	0.01	1603.0	0.0	73.765
2020-08-09	0.008	1603.008	0.0	73.765
2020-08-10	0.006	1603.014	0.0	73.765
2020-08-11	0.005	1603.019	0.0	73.765
2020-08-12	0.004	1603.023	0.0	73.765
2020-08-13	0.003	1603.026	0.0	73.765
2020-08-14	0.0	1603.026	0.0	73.765
2020-08-15	0.0	1603.026	0.0	73.765
2020-08-16	0.0	1603.026	0.0	73.765
2020-08-17	0.0	1603.026	0.0	73.765
2020-08-18	0.0	1603.026	0.0	73.765
2020-08-19	0.0	1603.026	0.0	73.765
2020-08-20	0.0	1603.026	0.0	73.765
2020-08-21	0.0	1603.026	0.0	73.765
2020-08-22	0.0	1603.026	0.0	73.765
2020-08-23	0.0	1603.026	0.0	73.765
2020-08-24	0.0	1603.026	0.0	73.765
2020-08-25	0.0	1603.026	0.0	73.765
2020-08-26	0.0	1603.026	0.0	73.765
2020-08-27	0.0	1603.026	0.0	73.765
2020-08-28	0.0	1603.026	0.0	73.765
2020-08-29	0.0	1603.026	0.0	73.765
2020-08-30	0.0	1603.026	0.0	73.765
