Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Date
Allen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-03-22
Allen	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	2020-03-23
Allen	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	2020-03-24
Allen	1	0	0	0	4.734e-05	0.0	5	2	1.25	0.0002367	9.468e-05	5.9175e-05	2020-03-25
Allen	1	0	0	0	4.734e-05	0.0	5	2	1.25	0.0002367	9.468e-05	5.9175e-05	2020-03-26
Allen	1	0	0	0	4.734e-05	0.0	5	2	1.25	0.0002367	9.468e-05	5.9175e-05	2020-03-27
Allen	1	0	0	0	4.734e-05	0.0	5	2	1.25	0.0002367	9.468e-05	5.9175e-05	2020-03-28
Allen	1.0	0.0	0.0	0.0	4.734e-05	0.0	5.0	2.0	1.25	0.0002367	9.468e-05	5.9175e-05	2020-03-29
Allen	1.0	0.0	0.0	0.0	4.734e-05	0.0	5.0	2.0	1.25	0.0002367	9.468e-05	5.9175e-05	2020-03-30
Allen	2.0	0.0	0.0	0.0	9.469e-05	0.0	10.0	4.0	2.5	0.00047345	0.00018938	0.0001183625	2020-03-31
Allen	2.0	0.0	0.0	0.0	9.469e-05	0.0	10.0	4.0	2.5	0.00047345	0.00018938	0.0001183625	2020-04-01
Allen	2.0	0.0	0.0	0.0	9.469e-05	0.0	10.0	4.0	2.5	0.00047345	0.00018938	0.0001183625	2020-04-02
Allen	2.0	0.0	0.0	0.0	9.469e-05	0.0	10.0	4.0	2.5	0.00047345	0.00018938	0.0001183625	2020-04-03
Allen	2.0	0.0	0.0	0.0	9.469e-05	0.0	10.0	4.0	2.5	0.00047345	0.00018938	0.0001183625	2020-04-04
Allen	2.0	0.0	0.0	0.0	9.469e-05	0.0	10.0	4.0	2.5	0.00047345	0.00018938	0.0001183625	2020-04-05
Allen	2.0	0.0	0.0	0.0	9.469e-05	0.0	10.0	4.0	2.5	0.00047345	0.00018938	0.0001183625	2020-04-06
Allen	2.0	0.0	0.0	0.0	9.469e-05	0.0	10.0	4.0	2.5	0.00047345	0.00018938	0.0001183625	2020-04-07
Allen	2.0	0.0	0.0	0.0	9.469e-05	0.0	10.0	4.0	2.5	0.00047345	0.00018938	0.0001183625	2020-04-08
Allen	3.0	0.0	0.0	0.0	0.00014203	0.0	15.0	6.0	3.75	0.00071015	0.00028406	0.0001775375	2020-04-09
Allen	3.0	0.0	0.0	0.0	0.00014203	0.0	15.0	6.0	3.75	0.00071015	0.00028406	0.0001775375	2020-04-10
Allen	3.0	0.0	0.0	0.0	0.00014203	0.0	15.0	6.0	3.75	0.00071015	0.00028406	0.0001775375	2020-04-11
Allen	4.0	0.0	0.0	4.0	0.00018938	0.0	20.0	8.0	5.0	0.0009469	0.00037876	0.000236725	2020-04-12
Allen	4.0	0.0	0.0	4.0	0.00018938	0.0	20.0	8.0	5.0	0.0009469	0.00037876	0.000236725	2020-04-13
Allen	2.0	0.0	0.0	2.0	9.469e-05	0.0	10.0	4.0	2.5	0.00047345	0.00018938	0.0001183625	2020-04-14
Allen	2.0	0.0	0.0	2.0	9.469e-05	0.0	10.0	4.0	2.5	0.00047345	0.00018938	0.0001183625	2020-04-15
Allen	3.0	0.0	0.0	3.0	0.00014203	0.0	15.0	6.0	3.75	0.00071015	0.00028406	0.0001775375	2020-04-16
Allen	4.0	0.0	0.0	4.0	0.00018938	0.0	20.0	8.0	5.0	0.0009469	0.00037876	0.000236725	2020-04-17
Allen	4.0	0.0	0.0	4.0	0.00018938	0.0	20.0	8.0	5.0	0.0009469	0.00037876	0.000236725	2020-04-18
Allen	4.0	0.0	0.0	4.0	0.00018938	0.0	20.0	8.0	5.0	0.0009469	0.00037876	0.000236725	2020-04-19
Allen	4.0	0.0	0.0	4.0	0.00018938	0.0	20.0	8.0	5.0	0.0009469	0.00037876	0.000236725	2020-04-20
Allen	4.0	0.0	0.0	4.0	0.00018938	0.0	20.0	8.0	5.0	0.0009469	0.00037876	0.000236725	2020-04-21
Allen	5.0	0.0	0.0	5.0	0.00023672	0.0	25.0	10.0	6.25	0.0011836	0.00047344	0.0002959	2020-04-22
Allen	5.0	0.0	0.0	5.0	0.00023672	0.0	25.0	10.0	6.25	0.0011836	0.00047344	0.0002959	2020-04-23
Allen	6.0	0.0	0.0	6.0	0.00028406	0.0	30.0	12.0	7.5	0.0014203	0.00056812	0.000355075	2020-04-24
Allen	7.0	0.0	0.0	7.0	0.00033141	0.0	35.0	14.0	8.75	0.00165705	0.00066282	0.0004142625	2020-04-25
Allen	7.0	0.0	0.0	7.0	0.00033141	0.0	35.0	14.0	8.75	0.00165705	0.00066282	0.0004142625	2020-04-26
Allen	8.0	0.0	0.0	8.0	0.00037875	0.0	40.0	16.0	10.0	0.00189375	0.0007575	0.0004734375	2020-04-27
Allen	9.0	0.0	0.0	9.0	0.0004261	0.0	45.0	18.0	11.25	0.0021305	0.0008522	0.000532625	2020-04-28
Allen	12.0	0.0	0.0	12.0	0.00056813	0.0	60.0	24.0	15.0	0.00284065	0.00113626	0.0007101625	2020-04-29
Allen	13.0	0.0	0.0	13.0	0.00061547	0.0	65.0	26.0	16.25	0.00307735	0.00123094	0.0007693375	2020-04-30
Allen	14.0	0.0	0.0	14.0	0.00066282	0.0	70.0	28.0	17.5	0.0033141	0.00132564	0.000828525	2020-05-01
Allen	14.0	0.0	0.0	14.0	0.00066282	0.0	70.0	28.0	17.5	0.0033141	0.00132564	0.000828525	2020-05-02
Allen	14.0	0.0	0.0	14.0	0.00066282	0.0	70.0	28.0	17.5	0.0033141	0.00132564	0.000828525	2020-05-03
Allen	14.0	0.0	0.0	14.0	0.00066282	0.0	70.0	28.0	17.5	0.0033141	0.00132564	0.000828525	2020-05-04
Allen	16.0	0.0	0.0	16.0	0.0007575	0.0	80.0	32.0	20.0	0.0037875	0.001515	0.000946875	2020-05-05
Allen	19.0	0.0	0.0	19.0	0.00089954	0.0	95.0	38.0	23.75	0.0044977	0.00179908	0.001124425	2020-05-06
Allen	25.0	0.0	0.0	25.0	0.0011836	0.0	125.0	50.0	31.25	0.005918	0.0023672	0.0014795	2020-05-07
Allen	25.0	0.0	0.0	25.0	0.0011836	0.0	125.0	50.0	31.25	0.005918	0.0023672	0.0014795	2020-05-08
Allen	25.0	0.0	0.0	25.0	0.0011836	0.0	125.0	50.0	31.25	0.005918	0.0023672	0.0014795	2020-05-09
Allen	25.0	0.0	0.0	25.0	0.0011836	0.0	125.0	50.0	31.25	0.005918	0.0023672	0.0014795	2020-05-10
Allen	29.0	1.0	0.0	28.0	0.00137298	4.734e-05	333.333333333	153.846153846	100.0	0.01578	0.00728307692308	0.004734	2020-05-11
Allen	30.0	1.0	0.0	29.0	0.00142032	4.734e-05	333.333333333	153.846153846	100.0	0.01578	0.00728307692308	0.004734	2020-05-12
Allen	30.0	1.0	0.0	29.0	0.00142032	4.734e-05	333.333333333	153.846153846	100.0	0.01578	0.00728307692308	0.004734	2020-05-13
Allen	33.0	1.0	0.0	32.0	0.00156235	4.734e-05	333.333333333	153.846153846	100.0	0.01578	0.00728307692308	0.004734	2020-05-14
Allen	37.0	1.0	0.0	36.0	0.00175173	4.734e-05	333.333333333	153.846153846	100.0	0.01578	0.00728307692308	0.004734	2020-05-15
Allen	38.0	1.0	0.0	37.0	0.00179907	4.734e-05	333.333333333	153.846153846	100.0	0.01578	0.00728307692308	0.004734	2020-05-16
Allen	38.0	1.0	0.0	37.0	0.00179907	4.734e-05	333.333333333	153.846153846	100.0	0.01578	0.00728307692308	0.004734	2020-05-17
Allen	39.0	1.0	0.0	38.0	0.00184642	4.734e-05	333.333333333	153.846153846	100.0	0.01578	0.00728307692308	0.004734	2020-05-18
Allen	41.0	2.0	0.0	39.0	0.0019411	9.469e-05	666.666666667	307.692307692	200.0	0.0315633333333	0.0145676923077	0.009469	2020-05-19
Allen	43.0	2.0	0.0	41.0	0.00203579	9.469e-05	666.666666667	307.692307692	200.0	0.0315633333333	0.0145676923077	0.009469	2020-05-20
Allen	44.0	2.0	0.0	42.0	0.00208314	9.469e-05	666.666666667	307.692307692	200.0	0.0315633333333	0.0145676923077	0.009469	2020-05-21
Allen	44.0	2.0	0.0	42.0	0.00208314	9.469e-05	666.666666667	307.692307692	200.0	0.0315633333333	0.0145676923077	0.009469	2020-05-22
Allen	47.0	2.0	0.0	45.0	0.00222517	9.469e-05	666.666666667	307.692307692	200.0	0.0315633333333	0.0145676923077	0.009469	2020-05-23
Allen	47.0	2.0	0.0	45.0	0.00222517	9.469e-05	666.666666667	307.692307692	200.0	0.0315633333333	0.0145676923077	0.009469	2020-05-24
Allen	47.0	2.0	0.0	45.0	0.00222517	9.469e-05	666.666666667	307.692307692	200.0	0.0315633333333	0.0145676923077	0.009469	2020-05-25
