Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-22	5.031	110.031	0.0	2.0
2020-07-23	5.644	115.675	0.0	2.0
2020-07-24	6.264	121.939	0.0	2.0
2020-07-25	6.88	128.819	0.0	2.0
2020-07-26	7.503	136.322	0.0	2.0
2020-07-27	8.15	144.472	0.0	2.0
2020-07-28	8.863	153.335	0.0	2.0
2020-07-29	9.575	162.91	0.0	2.0
2020-07-30	10.264	173.174	0.0	2.0
2020-07-31	10.849	184.023	0.0	2.0
2020-08-01	11.303	195.326	0.0	2.0
2020-08-02	11.564	206.89	0.0	2.0
2020-08-03	11.713	218.603	0.0	2.0
2020-08-04	11.755	230.358	0.0	2.0
2020-08-05	11.733	242.091	0.0	2.0
2020-08-06	11.625	253.716	0.0	2.0
2020-08-07	11.474	265.19	0.0	2.0
2020-08-08	11.3	276.49	0.0	2.0
2020-08-09	11.083	287.573	0.0	2.0
2020-08-10	10.821	298.394	0.0	2.0
2020-08-11	10.539	308.933	0.0	2.0
2020-08-12	10.258	319.191	0.0	2.0
2020-08-13	9.978	329.169	0.0	2.0
2020-08-14	9.72	338.889	0.0	2.0
2020-08-15	9.485	348.374	0.0	2.0
2020-08-16	9.244	357.618	0.0	2.0
2020-08-17	8.982	366.6	0.0	2.0
2020-08-18	8.697	375.297	0.0	2.0
2020-08-19	8.39	383.687	0.0	2.0
2020-08-20	8.063	391.75	0.0	2.0
2020-08-21	7.735	399.485	0.0	2.0
2020-08-22	7.407	406.892	0.0	2.0
2020-08-23	7.082	413.974	0.0	2.0
2020-08-24	6.764	420.738	0.0	2.0
2020-08-25	6.456	427.194	0.0	2.0
2020-08-26	6.151	433.345	0.0	2.0
2020-08-27	5.854	439.199	0.0	2.0
2020-08-28	5.565	444.764	0.0	2.0
2020-08-29	5.286	450.05	0.0	2.0
2020-08-30	5.015	455.065	0.0	2.0
2020-08-31	4.757	459.822	0.0	2.0
2020-09-01	4.511	464.333	0.0	2.0
2020-09-02	4.276	468.609	0.0	2.0
2020-09-03	4.05	472.659	0.0	2.0
2020-09-04	3.831	476.49	0.0	2.0
2020-09-05	3.62	480.11	0.0	2.0
2020-09-06	3.412	483.522	0.0	2.0
2020-09-07	3.206	486.728	0.0	2.0
2020-09-08	3.0	489.728	0.0	2.0
2020-09-09	2.794	492.522	0.0	2.0
2020-09-10	2.592	495.114	0.0	2.0
2020-09-11	2.404	497.518	0.0	2.0
2020-09-12	2.239	499.757	0.0	2.0
2020-09-13	2.095	501.852	0.0	2.0
2020-09-14	1.971	503.823	0.0	2.0
2020-09-15	1.864	505.687	0.0	2.0
2020-09-16	1.765	507.452	0.0	2.0
2020-09-17	1.666	509.118	0.0	2.0
2020-09-18	1.567	510.685	0.0	2.0
2020-09-19	1.469	512.154	0.0	2.0
2020-09-20	1.37	513.524	0.0	2.0
2020-09-21	1.273	514.797	0.0	2.0
2020-09-22	1.184	515.981	0.0	2.0
2020-09-23	1.105	517.086	0.0	2.0
2020-09-24	1.033	518.119	0.0	2.0
2020-09-25	0.969	519.088	0.0	2.0
2020-09-26	0.911	519.999	0.0	2.0
2020-09-27	0.854	520.853	0.0	2.0
2020-09-28	0.796	521.649	0.0	2.0
2020-09-29	0.739	522.388	0.0	2.0
2020-09-30	0.681	523.069	0.0	2.0
2020-10-01	0.624	523.693	0.0	2.0
2020-10-02	0.566	524.259	0.0	2.0
2020-10-03	0.51	524.769	0.0	2.0
2020-10-04	0.458	525.227	0.0	2.0
2020-10-05	0.41	525.637	0.0	2.0
2020-10-06	0.366	526.003	0.0	2.0
2020-10-07	0.326	526.329	0.0	2.0
2020-10-08	0.288	526.617	0.0	2.0
2020-10-09	0.251	526.868	0.0	2.0
2020-10-10	0.214	527.082	0.0	2.0
2020-10-11	0.176	527.258	0.0	2.0
2020-10-12	0.137	527.395	0.0	2.0
2020-10-13	0.098	527.493	0.0	2.0
2020-10-14	0.063	527.556	0.0	2.0
2020-10-15	0.039	527.595	0.0	2.0
2020-10-16	0.024	527.619	0.0	2.0
2020-10-17	0.016	527.635	0.0	2.0
2020-10-18	0.012	527.647	0.0	2.0
2020-10-19	0.009	527.656	0.0	2.0
2020-10-20	0.007	527.663	0.0	2.0
2020-10-21	0.006	527.669	0.0	2.0
2020-10-22	0.004	527.673	0.0	2.0
2020-10-23	0.003	527.676	0.0	2.0
2020-10-24	0.002	527.678	0.0	2.0
