Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-24	1.08	17.08	0.018	0.018
2020-07-25	1.186	18.266	0.017	0.035
2020-07-26	1.294	19.56	0.017	0.052
2020-07-27	1.405	20.965	0.016	0.068
2020-07-28	1.528	22.493	0.015	0.083
2020-07-29	1.651	24.144	0.015	0.098
2020-07-30	1.77	25.914	0.014	0.112
2020-07-31	1.871	27.785	0.013	0.125
2020-08-01	1.949	29.734	0.013	0.138
2020-08-02	1.994	31.728	0.012	0.15
2020-08-03	2.02	33.748	0.012	0.162
2020-08-04	2.027	35.775	0.011	0.173
2020-08-05	2.023	37.798	0.01	0.183
2020-08-06	2.004	39.802	0.01	0.193
2020-08-07	1.978	41.78	0.009	0.202
2020-08-08	1.948	43.728	0.009	0.211
2020-08-09	1.911	45.639	0.008	0.219
2020-08-10	1.866	47.505	0.008	0.227
2020-08-11	1.817	49.322	0.008	0.235
2020-08-12	1.769	51.091	0.007	0.242
2020-08-13	1.72	52.811	0.007	0.249
2020-08-14	1.676	54.487	0.006	0.255
2020-08-15	1.635	56.122	0.006	0.261
2020-08-16	1.594	57.716	0.006	0.267
2020-08-17	1.549	59.265	0.005	0.272
2020-08-18	1.5	60.765	0.005	0.277
2020-08-19	1.447	62.212	0.004	0.281
2020-08-20	1.39	63.602	0.004	0.285
2020-08-21	1.334	64.936	0.004	0.289
2020-08-22	1.277	66.213	0.004	0.293
2020-08-23	1.221	67.434	0.003	0.296
2020-08-24	1.166	68.6	0.003	0.299
2020-08-25	1.113	69.713	0.003	0.302
2020-08-26	1.061	70.774	0.003	0.305
2020-08-27	1.009	71.783	0.003	0.308
2020-08-28	0.96	72.743	0.003	0.311
2020-08-29	0.912	73.655	0.002	0.313
2020-08-30	0.865	74.52	0.002	0.315
2020-08-31	0.82	75.34	0.002	0.317
2020-09-01	0.778	76.118	0.002	0.319
2020-09-02	0.737	76.855	0.002	0.321
2020-09-03	0.698	77.553	0.002	0.323
2020-09-04	0.661	78.214	0.002	0.325
2020-09-05	0.624	78.838	0.001	0.326
2020-09-06	0.588	79.426	0.001	0.327
2020-09-07	0.553	79.979	0.001	0.328
2020-09-08	0.517	80.496	0.001	0.329
2020-09-09	0.482	80.978	0.001	0.33
2020-09-10	0.447	81.425	0.001	0.331
2020-09-11	0.415	81.84	0.001	0.332
2020-09-12	0.386	82.226	0.001	0.333
2020-09-13	0.361	82.587	0.001	0.334
2020-09-14	0.34	82.927	0.001	0.335
2020-09-15	0.321	83.248	0.0	0.335
2020-09-16	0.304	83.552	0.0	0.335
2020-09-17	0.287	83.839	0.0	0.335
2020-09-18	0.27	84.109	0.0	0.335
2020-09-19	0.253	84.362	0.0	0.335
2020-09-20	0.236	84.598	0.0	0.335
2020-09-21	0.219	84.817	0.0	0.335
2020-09-22	0.204	85.021	0.0	0.335
2020-09-23	0.19	85.211	0.0	0.335
2020-09-24	0.178	85.389	0.0	0.335
2020-09-25	0.167	85.556	0.0	0.335
2020-09-26	0.157	85.713	0.0	0.335
2020-09-27	0.147	85.86	0.0	0.335
2020-09-28	0.137	85.997	0.0	0.335
2020-09-29	0.127	86.124	0.0	0.335
2020-09-30	0.117	86.241	0.0	0.335
2020-10-01	0.108	86.349	0.0	0.335
2020-10-02	0.098	86.447	0.0	0.335
2020-10-03	0.088	86.535	0.0	0.335
2020-10-04	0.079	86.614	0.0	0.335
2020-10-05	0.071	86.685	0.0	0.335
2020-10-06	0.063	86.748	0.0	0.335
2020-10-07	0.056	86.804	0.0	0.335
2020-10-08	0.05	86.854	0.0	0.335
2020-10-09	0.043	86.897	0.0	0.335
2020-10-10	0.037	86.934	0.0	0.335
2020-10-11	0.03	86.964	0.0	0.335
2020-10-12	0.024	86.988	0.0	0.335
2020-10-13	0.017	87.005	0.0	0.335
2020-10-14	0.011	87.016	0.0	0.335
2020-10-15	0.007	87.023	0.0	0.335
2020-10-16	0.004	87.027	0.0	0.335
2020-10-17	0.003	87.03	0.0	0.335
2020-10-18	0.002	87.032	0.0	0.335
2020-10-19	0.002	87.034	0.0	0.335
2020-10-20	0.001	87.035	0.0	0.335
2020-10-21	0.001	87.036	0.0	0.335
2020-10-22	0.001	87.037	0.0	0.335
2020-10-23	0.001	87.038	0.0	0.335
2020-10-24	0.0	87.038	0.0	0.335
