Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-28	0.107	56.107	3.467	3.467
2020-05-29	0.106	56.213	3.435	6.902
2020-05-30	0.104	56.317	3.39	10.292
2020-05-31	0.103	56.42	3.339	13.631
2020-06-01	0.101	56.521	3.275	16.906
2020-06-02	0.098	56.619	3.197	20.103
2020-06-03	0.096	56.715	3.114	23.217
2020-06-04	0.093	56.808	3.031	26.248
2020-06-05	0.091	56.899	2.948	29.196
2020-06-06	0.088	56.987	2.872	32.068
2020-06-07	0.086	57.073	2.802	34.87
2020-06-08	0.084	57.157	2.731	37.601
2020-06-09	0.082	57.239	2.654	40.255
2020-06-10	0.079	57.318	2.57	42.825
2020-06-11	0.076	57.394	2.479	45.304
2020-06-12	0.073	57.467	2.382	47.686
2020-06-13	0.07	57.537	2.285	49.971
2020-06-14	0.067	57.604	2.188	52.159
2020-06-15	0.064	57.668	2.093	54.252
2020-06-16	0.061	57.729	1.999	56.251
2020-06-17	0.059	57.788	1.907	58.158
2020-06-18	0.056	57.844	1.818	59.976
2020-06-19	0.053	57.897	1.73	61.706
2020-06-20	0.051	57.948	1.644	63.35
2020-06-21	0.048	57.996	1.562	64.912
2020-06-22	0.046	58.042	1.482	66.394
2020-06-23	0.043	58.085	1.406	67.8
2020-06-24	0.041	58.126	1.333	69.133
2020-06-25	0.039	58.165	1.263	70.396
2020-06-26	0.037	58.202	1.197	71.593
2020-06-27	0.035	58.237	1.132	72.725
2020-06-28	0.033	58.27	1.07	73.795
2020-06-29	0.031	58.301	1.008	74.803
2020-06-30	0.029	58.33	0.947	75.75
2020-07-01	0.027	58.357	0.887	76.637
2020-07-02	0.025	58.382	0.826	77.463
2020-07-03	0.024	58.406	0.766	78.229
2020-07-04	0.022	58.428	0.71	78.939
2020-07-05	0.02	58.448	0.662	79.601
2020-07-06	0.019	58.467	0.619	80.22
2020-07-07	0.018	58.485	0.583	80.803
2020-07-08	0.017	58.502	0.551	81.354
2020-07-09	0.016	58.518	0.521	81.875
2020-07-10	0.015	58.533	0.492	82.367
2020-07-11	0.014	58.547	0.463	82.83
2020-07-12	0.013	58.56	0.434	83.264
2020-07-13	0.012	58.572	0.405	83.669
2020-07-14	0.012	58.584	0.376	84.045
2020-07-15	0.011	58.595	0.35	84.395
2020-07-16	0.01	58.605	0.326	84.721
2020-07-17	0.009	58.614	0.305	85.026
2020-07-18	0.009	58.623	0.286	85.312
2020-07-19	0.008	58.631	0.269	85.581
2020-07-20	0.008	58.639	0.252	85.833
2020-07-21	0.007	58.646	0.235	86.068
2020-07-22	0.007	58.653	0.218	86.286
2020-07-23	0.006	58.659	0.201	86.487
2020-07-24	0.006	58.665	0.184	86.671
2020-07-25	0.005	58.67	0.167	86.838
2020-07-26	0.005	58.675	0.151	86.989
2020-07-27	0.004	58.679	0.135	87.124
2020-07-28	0.004	58.683	0.121	87.245
2020-07-29	0.003	58.686	0.108	87.353
2020-07-30	0.003	58.689	0.096	87.449
2020-07-31	0.003	58.692	0.085	87.534
2020-08-01	0.002	58.694	0.074	87.608
2020-08-02	0.002	58.696	0.063	87.671
2020-08-03	0.002	58.698	0.052	87.723
2020-08-04	0.001	58.699	0.041	87.764
2020-08-05	0.001	58.7	0.029	87.793
2020-08-06	0.001	58.701	0.019	87.812
2020-08-07	0.0	58.701	0.011	87.823
2020-08-08	0.0	58.701	0.007	87.83
2020-08-09	0.0	58.701	0.005	87.835
2020-08-10	0.0	58.701	0.003	87.838
2020-08-11	0.0	58.701	0.003	87.841
2020-08-12	0.0	58.701	0.002	87.843
2020-08-13	0.0	58.701	0.002	87.845
2020-08-14	0.0	58.701	0.001	87.846
2020-08-15	0.0	58.701	0.001	87.847
2020-08-16	0.0	58.701	0.001	87.848
2020-08-17	0.0	58.701	0.0	87.848
2020-08-18	0.0	58.701	0.0	87.848
2020-08-19	0.0	58.701	0.0	87.848
2020-08-20	0.0	58.701	0.0	87.848
2020-08-21	0.0	58.701	0.0	87.848
2020-08-22	0.0	58.701	0.0	87.848
2020-08-23	0.0	58.701	0.0	87.848
2020-08-24	0.0	58.701	0.0	87.848
2020-08-25	0.0	58.701	0.0	87.848
2020-08-26	0.0	58.701	0.0	87.848
2020-08-27	0.0	58.701	0.0	87.848
2020-08-28	0.0	58.701	0.0	87.848
2020-08-29	0.0	58.701	0.0	87.848
2020-08-30	0.0	58.701	0.0	87.848
