Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Cumberland	0.0	212.711	0.0	0.0319434
Logan	0.002	3.724	9e-08	0.00013799
Oldham	0.0	0.043	0.0	6.4e-07
Pike	-0.002	-2.483	-3e-08	-4.251e-05
Wayne	0.0	0.0	0.0	0.0
Powell	0.0	0.0	0.0	0.0
Pendleton	0.0	0.0	0.0	0.0
Lewis	0.0	0.0	0.0	0.0
Montgomery	0.009	11.704	3.2e-07	0.00041499
McCreary	0.0	0.0	0.0	0.0
Webster	0.002	3.724	1.8e-07	0.00028404
Bath	0.0	0.0	0.0	0.0
Larue	-0.0	0.0	-0.0	0.0
Russell	0.0	0.0	0.0	0.0
Woodford	0.0	0.0	0.0	0.0
Henderson	0.0	0.079	0.0	1.72e-06
Caldwell	-0.002	-2.483	-1.2e-07	-0.00019526
Washington	0.0	0.0	0.0	0.0
Graves	0.0	0.0	0.0	0.0
Breckinridge	0.0	0.0	0.0	0.0
Hardin	0.009	11.704	8e-08	0.00010606
Martin	0.0	0.0	0.0	0.0
Fayette	0.0	0.839	0.0	2.59e-06
Jefferson	0.0	192.474	0.0	0.0002498
Pulaski	0.015	19.507	2.3e-07	0.00030186
Hopkins	0.0	0.0	0.0	0.0
Ohio	0.0	0.0	0.0	0.0
Lyon	0.009	11.704	1.12e-06	0.00146137
Lawrence	0.0	0.0	0.0	0.0
Marion	-1.288	-257.67	-6.635e-05	-0.0132792
Grayson	0.0	0.0	0.0	0.0
Mercer	0.0	0.0	0.0	0.0
McLean	0.0	0.0	0.0	0.0
Laurel	0.0	0.0	0.0	0.0
McCracken	0.012	18.62	1.8e-07	0.00028495
Simpson	0.0	0.223	0.0	1.204e-05
Henry	-1.252	-282.001	-7.775e-05	-0.01750909
Carter	0.0	0.0	0.0	0.0
Madison	0.0	0.043	0.0	4.6e-07
Boone	0.009	14.896	7e-08	0.00011325
Edmonson	-0.429	-85.89	-3.497e-05	-0.00699771
Scott	0.121	70.149	2.15e-06	0.00125196
Bullitt	0.0	0.0	0.0	0.0
Breathitt	-0.003	-3.901	-2.4e-07	-0.00030657
Christian	0.063	81.929	8.8e-07	0.00114312
Marshall	0.0	0.0	0.0	0.0
Muhlenberg	-0.021	-33.516	-6.8e-07	-0.00108912
Unassigned	0.0	0.0	N/A	N/A
Mason	0.0	-0.229	0.0	-1.336e-05
Jessamine	0.009	11.704	1.7e-07	0.00021706
Boyle	-0.001	-1.241	-3e-08	-4.124e-05
Calloway	0.006	7.803	1.5e-07	0.00019938
Shelby	0.0	0.0	0.0	0.0
Allen	0.0	0.0	0.0	0.0
Franklin	0.003	3.901	6e-08	7.678e-05
Butler	0.0	0.0	0.0	0.0
Crittenden	0.0	0.0	0.0	0.0
Bourbon	0.006	7.803	3e-07	0.00038658
Anderson	0.003	3.901	1.3e-07	0.00017215
Campbell	0.009	14.896	1e-07	0.00015991
Daviess	0.063	81.929	6.2e-07	0.00081034
Hancock	0.0	0.0	0.0	0.0
Union	-3.004	-601.229	-0.00020712	-0.04144978
Perry	0.0	0.0	0.0	0.0
Clark	0.0	1.43	0.0	3.944e-05
Meade	-0.001	-1.241	-3e-08	-4.323e-05
Greenup	0.0	0.0	0.0	0.0
Bracken	0.0	0.0	0.0	0.0
Carroll	-0.0	0.0	-0.0	0.0
Nicholas	0.0	0.0	0.0	0.0
Spencer	0.0	0.0	0.0	0.0
Barren	0.0	0.0	0.0	0.0
Menifee	0.003	3.901	4.7e-07	0.00060477
Kenton	0.034	44.215	2e-07	0.00026628
Warren	0.022	28.61	1.7e-07	0.00021796
Johnson	0.0	0.0	0.0	0.0
Harrison	0.002	2.601	1.1e-07	0.00013851
Taylor	0.0	0.0	0.0	0.0
Clinton	0.0	0.0	0.0	0.0
Boyd	0.0	0.0	0.0	0.0
Grant	0.0	0.0	0.0	0.0
Rockcastle	0.0	0.0	0.0	0.0
Adair	0.0	0.0	0.0	0.0
Nelson	0.003	3.901	7e-08	8.509e-05
